 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
OLB,David,Doherty,6 - 1,228,R,82,TEN,11,81,0,1,1,1,0,0,"0
"
DT,Shawn,Bowers,6 - 1,305,2,85,DAL,3,18,0,1.5,0,0,0,0,"0
"
OLB,Ray,Flores,6 - 1,234,3,84,NO,9,46,0,2,1,0,0,0,"0
"
SS,Darren,Manning,6 - 4,189,1,85,MIN,3,17,2,0,0,0,0,1,"0
"
CB,Marques,Warner,6 - 1,193,1,82,NYJ,4,19,1,0,0,0,0,0,"0
"
CB,Jamie,Mixon,6 - 1,187,1,78,NE,5,21,3,0,0,0,0,0,"0
"
CB,Maury,Gregg,6 - 0,168,R,80,CAR,2,3,2,0,0,0,0,2,"0
"
OLB,Keyuo,Clark,6 - 1,242,2,81,IND,3,15,0,1.5,0,0,0,0,"0
"
DE,Brian,Glenn,6 - 6,291,2,81,SEA,4,15,0,4,0,0,0,0,"0
"
SS,Warren,McNabb,6 - 2,198,1,75,CAR,1,2,1,0,0,0,0,0,"0
"
OLB,Ben,Lane,6 - 1,236,2,70,PHI,1,3,0,0,1,0,0,0,"0
"
ILB,Phillip,Moore,5 - 11,216,R,81,MIA,4,31,1,0,0,0,0,0,"0
"
DE,Alex,Fulcher,6 - 2,268,1,74,MIA,1,3,0,0.5,0,0,0,0,"0
"
CB,Jason,Brown,6 - 1,186,R,73,SF,3,6,3,0,0,0,0,0,"0
"
CB,Drew,Jaynes,6 - 1,168,2,63,KC,1,6,0,0,0,0,0,0,"0
"
OLB,Chester,Williams,6 - 2,219,1,83,HOU,9,53,0,2,0,0,0,0,"0
"
ILB,Zion,Adakwa,6 - 2,224,R,76,NYJ,8,53,1,0,0,0,0,0,"0
"
SS,Larry,Reeves,5 - 11,204,3,89,JAX,3,15,3,0,0,0,0,1,"0
"
DT,Kendall,Hill,6 - 6,312,2,83,BUF,6,22,0,5.5,0,0,0,0,"0
"
DT,Fred,Romanowski,6 - 2,279,2,86,OAK,7,40,0,3,0,0,0,0,"0
"
SS,Mark,Brown,6 - 2,180,2,81,CLE,5,22,2,0,1,0,0,0,"0
"
SS,Louis,Richter,6 - 1,175,2,74,WAS,5,26,0,0,0,0,0,0,"0
"
DT,Brad,Mungro,6 - 6,284,1,81,NYG,1,4,0,1,0,0,0,0,"0
"
CB,Corey,Quinn,6 - 0,191,R,81,SEA,5,17,4,0,0,0,0,0,"0
"
DE,Justin,Glass,6 - 3,283,2,78,TEN,5,16,0,6,0,0,0,0,"0
"
OLB,Hugh,Boerigter,6 - 2,251,1,79,JAX,4,20,0,0.5,0,0,0,0,"0
"
DE,Steven,Jordan,6 - 7,279,2,80,SEA,2,6,0,3,0,0,0,0,"0
"
SS,Darrell,Brown,6 - 0,197,2,74,GB,4,16,3,0,0,0,0,1,"0
"
OLB,Craig,Davis,6 - 1,221,1,78,SEA,6,34,0,1,0,0,0,0,"0
"
FS,Randy,Moulds,6 - 2,198,3,81,GB,3,12,1,0,0,1,0,1,"0
"
CB,Tony,Fouts,6 - 0,166,1,69,DET,1,0,1,0,0,0,0,1,"0
"
SS,Keyshawn,Ayanbadejo,6 - 1,217,3,87,OAK,4,23,1,0,0,0,0,0,"0
"
CB,Henri,Muhammad,5 - 10,186,3,77,WAS,1,5,0,0,0,0,0,0,"0
"
DE,Chuck,Smith,6 - 6,268,3,77,CHI,2,7,0,1,0,0,0,0,"0
"
CB,Kevin,Hasselbeck,5 - 9,182,3,64,CHI,1,4,1,0,0,0,0,1,"0
"
OLB,Garrison,Jackson,6 - 1,226,1,68,PIT,1,4,0,0,0,0,0,0,"0
"
ILB,Randy,Humphreys,6 - 1,252,1,84,TEN,9,62,0,1,1,1,0,0,"1
"
FS,Randall,Jones,6 - 2,190,2,85,OAK,2,8,1,0,0,0,0,0,"0
"
ILB,Rodrick,Milligan,6 - 2,254,3,87,PHI,13,106,2,0,0,1,0,0,"0
"
FS,Christopher,Payne,6 - 1,205,R,71,SF,2,10,0,0,0,0,0,0,"0
"
OLB,Bill,Gehrke,5 - 11,241,1,81,NE,4,25,0,0,0,0,0,0,"0
"
OLB,W.M.,Mitchell,5 - 10,217,1,80,GB,1,5,0,0,0,0,0,0,"0
"
ILB,Jack,Muhammad,6 - 2,248,2,79,PIT,14,99,1,0,0,0,0,0,"0
"
DE,Joey,Davis,6 - 5,268,2,81,WAS,8,36,0,5.5,0,0,0,0,"0
"
DE,Jeff,Holleyman,6 - 3,297,3,84,OAK,6,24,0,5,0,0,0,0,"0
"
DT,Frank,Williams,6 - 8,293,2,92,TB,7,25,0,6.5,0,0,0,0,"1
"
CB,Kenny,Allen,5 - 8,182,2,73,IND,2,9,1,0,0,0,0,0,"0
"
DT,Reggie,Howard,6 - 6,306,2,77,SEA,1,5,0,0,0,0,0,0,"0
"
FS,Patrick,Parks,5 - 9,184,R,76,WAS,3,12,1,1,0,0,0,1,"0
"
DT,Bob,Ballard,6 - 1,292,2,85,NYJ,4,16,0,3,1,0,0,0,"0
"
OLB,Germane,Dixon,6 - 2,253,3,87,CIN,5,31,0,1,0,0,0,0,"0
"
SS,Willie,Bratkowski,6 - 2,190,R,68,SD,3,9,2,0,0,0,0,0,"0
"
DT,Earl,Jackson,6 - 3,293,2,93,DET,11,52,0,9,1,0,0,0,"0
"
DT,Kris,Lewis,6 - 3,274,R,73,NYJ,1,5,0,0,0,0,0,0,"0
"
DT,Cris,LeBaron,6 - 7,282,R,74,ATL,3,15,0,1,0,0,0,0,"0
"
FS,James,Klein,5 - 8,180,R,72,NE,6,28,2,0,0,0,0,1,"0
"
DE,Mike,Hill,6 - 7,289,2,86,CLE,7,22,0,8.5,0,0,0,0,"0
"
ILB,Mark,Craig,6 - 1,230,2,92,DET,8,57,1,0,0,1,0,0,"0
"
OLB,Mike,Johnson,6 - 0,240,R,75,MIN,7,34,0,1,0,0,0,0,"0
"
DT,Mark,Bassett,6 - 5,299,2,83,GB,5,22,0,3,0,0,0,0,"0
"
SS,Robert,Medina,5 - 11,210,2,78,CHI,4,22,1,0,0,0,0,0,"0
"
DE,Dennis,Niland,6 - 4,284,1,87,MIN,6,21,0,5.5,0,0,0,0,"0
"
ILB,Andre,Brooks,6 - 1,256,3,96,NE,14,114,1,1,0,1,0,0,"0
"
SS,Luis,Nelson,6 - 4,201,3,74,DET,3,14,0,0,1,0,0,0,"0
"
OLB,Thomas,Stewart,6 - 2,254,2,81,CLE,12,74,0,2,0,0,0,0,"0
"
FS,Jake,Pugh,5 - 11,193,R,69,JAX,4,19,0,0,0,0,0,0,"0
"
OLB,Rob,Walls,6 - 1,227,R,72,IND,7,31,1,0.5,0,0,0,0,"0
"
DT,Rich,Moore,6 - 7,307,2,89,JAX,3,11,0,2,0,0,0,0,"0
"
DE,Eric,Scott,6 - 4,300,2,72,DEN,7,30,0,3.5,0,0,0,0,"0
"
OLB,Vince,Smith,6 - 1,234,2,79,WAS,6,30,1,0.5,0,0,0,0,"0
"
CB,Scott,Cartwright,5 - 11,187,R,75,DET,2,6,1,0,0,0,0,0,"0
"
OLB,James,Turner,6 - 2,237,2,86,ATL,5,28,0,0.5,0,0,0,0,"0
"
DE,Andrew,Fazande,6 - 4,265,2,90,STL,6,12,0,5.5,0,0,0,0,"0
"
OLB,Randy,Lehr,6 - 1,231,3,86,DET,7,42,0,1,0,0,0,0,"0
"
CB,Antonio,Powers,5 - 11,158,2,70,ARI,1,2,1,0,0,0,0,0,"0
"
CB,Bashir,Rodriguez,6 - 1,194,2,85,SF,7,34,4,0,0,0,0,2,"0
"
CB,Bob,Brewer,6 - 1,179,3,82,NO,4,10,3,0,0,0,0,0,"0
"
FS,Mike,Jimenez,6 - 0,199,R,74,NO,4,16,2,0,0,0,0,0,"0
"
OLB,Carlton,Houser,6 - 2,236,R,65,ARI,1,6,0,0,0,0,0,0,"0
"
DE,Mike,Taylor,6 - 4,295,2,83,GB,8,23,1,7.5,0,0,0,1,"0
"
SS,R.C.,Rone,6 - 1,204,3,93,ATL,7,41,0,0,0,0,0,0,"0
"
DT,Je'Rod,Wimbush,6 - 4,277,2,84,CLE,5,27,0,0,0,0,0,0,"0
"
SS,Tywan,Tafoya,6 - 2,185,2,82,HOU,4,18,1,0,0,0,0,0,"0
"
DE,Rodney,Galbreath,6 - 8,301,3,89,SD,11,49,0,8,0,1,0,0,"0
"
CB,Cade,Donovan,5 - 11,172,1,79,PIT,1,6,0,0,0,0,0,0,"0
"
DT,Gregg,Martin,6 - 6,274,1,83,OAK,1,5,1,0.5,0,0,0,0,"0
"
DE,Josh,Swift,6 - 4,264,1,72,TEN,3,17,0,1.5,0,0,0,0,"0
"
DE,Adam,Scott,6 - 4,281,2,75,DEN,2,12,0,0,0,0,0,0,"0
"
ILB,Cleo,Blair,6 - 1,251,2,85,DAL,10,69,1,0,0,1,0,0,"0
"
CB,Sammy,Muhammad,5 - 10,178,1,83,BAL,5,22,4,0,0,0,0,0,"0
"
DT,Carnell,Meadows,6 - 5,273,R,80,PIT,9,51,0,4,0,0,0,0,"0
"
DE,Terry,Patton,6 - 3,275,2,79,KC,6,27,0,2.5,0,0,0,0,"0
"
CB,Cameron,Newhouse,5 - 11,177,2,80,TB,11,51,7,0,0,0,0,1,"0
"
ILB,Tim,McDuffie,6 - 2,238,1,73,CAR,9,52,1,0,0,0,0,0,"0
"
OLB,Damione,Ellis,6 - 2,249,3,82,GB,9,54,1,3,0,0,0,0,"1
"
OLB,Kyries,Brown,6 - 0,227,1,75,SEA,5,28,0,1,0,0,0,0,"0
"
OLB,Jason,Bryant,6 - 2,227,3,82,MIA,6,34,0,4,1,0,0,0,"0
"
FS,Robert,Wozniak,6 - 2,200,1,72,CAR,2,4,2,0,0,0,0,0,"0
"
OLB,Andre,Gasaway,6 - 0,220,R,78,CAR,4,19,0,0.5,1,0,0,0,"0
"
CB,Joshua,Sloan,5 - 11,208,3,81,JAX,5,23,2,0,0,0,0,1,"0
"
CB,Ronyell,Buchanon,6 - 1,171,R,73,DAL,3,4,3,0,0,0,0,0,"0
"
DE,Kevin,Olford,6 - 5,275,R,75,DAL,3,13,0,2,0,0,0,0,"0
"
OLB,Keyon,Greene,6 - 0,223,3,65,TEN,6,25,0,2.5,0,0,0,0,"0
"
OLB,Steve,Windsor,6 - 0,241,R,74,DEN,6,36,0,0,0,0,0,0,"0
"
CB,Reggie,Griffin,5 - 10,192,1,82,DEN,9,40,3,0,0,0,0,0,"0
"
CB,Gary,Chamberlain,6 - 1,174,1,76,JAX,2,4,2,0,0,0,0,0,"0
"
OLB,Kwazi,Robb,6 - 1,232,3,88,NYJ,4,22,0,1,0,0,0,0,"0
"
CB,B.J.,Dawkins,5 - 11,176,3,75,ATL,1,4,0,0,0,0,0,0,"0
"
DE,Curtis,Lewis,6 - 8,283,1,88,NYG,6,25,0,3.5,0,0,0,0,"0
"
DE,Mark,Logan,6 - 3,287,2,86,NE,9,38,0,6.5,0,0,0,0,"0
"
FS,LaMichael,Jones,6 - 3,173,R,71,CLE,5,23,2,0,0,1,0,0,"0
"
DE,Brant,Thomas,6 - 2,270,2,84,MIN,5,21,0,4.5,0,0,0,0,"0
"
DE,Bobby,Johnson,6 - 6,276,3,72,SF,7,27,0,4.5,1,0,0,0,"0
"
CB,Dave,Stokley,6 - 2,199,2,84,GB,11,45,6,0,0,0,0,1,"0
"
ILB,J.T.,Holcomb,5 - 11,230,1,78,CLE,7,46,0,0,1,1,0,0,"0
"
ILB,Frank,Lee,6 - 1,227,3,79,BAL,6,42,1,0.5,0,0,0,0,"0
"
DT,Ken,Wells,6 - 4,316,2,71,ARI,7,28,0,3,0,1,0,0,"1
"
SS,Brandon,Sauter,6 - 2,200,R,82,STL,9,48,2,0,0,0,0,2,"0
"
SS,Norris,Nolan,5 - 10,178,R,75,NE,4,20,2,0,0,0,0,1,"0
"
CB,Cris,Butler,5 - 11,171,2,61,GB,1,0,0,0,0,1,0,0,"0
"
SS,Gerald,Foreman,5 - 9,167,1,62,GB,1,0,0,0,1,0,0,0,"0
"
OLB,Ben,Lane,6 - 1,236,2,70,NYG,1,3,0,0,1,0,0,0,"0
"
DE,Tony,Shaw,6 - 6,280,1,72,JAX,3,15,0,1.5,0,0,0,0,"0
"
DE,Dennis,Abdullah,6 - 5,281,3,78,WAS,1,2,0,0.5,0,0,0,0,"0
"
FS,Rob,Hamilton,5 - 11,188,R,75,KC,8,53,2,0,0,0,0,0,"0
"
DT,Joe,Micho,6 - 7,300,3,82,NYG,7,37,0,3,0,1,0,0,"0
"
CB,Joel,Prince,6 - 1,207,3,86,PIT,8,32,6,0,0,0,0,1,"0
"
ILB,Cameron,Jonah,6 - 1,243,1,82,DEN,10,76,0,0,0,0,0,0,"0
"
SS,Romulus,Jackson,6 - 0,193,R,81,DAL,7,40,5,0,0,0,0,1,"0
"
CB,Archie,Velasquez,5 - 9,186,1,78,BUF,5,21,3,0,0,0,0,0,"0
"
CB,Kevin,Potts,6 - 1,183,R,76,SD,9,40,3,1,0,0,0,1,"0
"
FS,Stephen,Elliott,6 - 3,197,3,91,SD,5,27,2,0,0,0,0,1,"0
"
CB,David,Wilburn,5 - 10,195,3,99,ATL,14,71,8,0,0,0,0,2,"0
"
CB,Nate,Tensi,6 - 0,196,2,90,CAR,5,18,5,0,0,0,0,0,"0
"
ILB,Jimmy,Workman,6 - 0,226,R,78,CAR,2,11,0,0,0,0,0,0,"0
"
FS,Jim,Sisemore,5 - 10,181,3,89,CIN,6,24,2,0,0,0,0,0,"0
"
DE,Dhani,Panfil,6 - 2,284,2,76,SD,2,7,0,2.5,0,0,0,0,"0
"
FS,Reynaldo,Harris,5 - 9,174,1,82,HOU,6,35,2,0,0,0,0,0,"0
"
DE,Brett,Bailey,6 - 3,261,R,80,CIN,6,23,0,4.5,0,0,0,0,"0
"
SS,Walter,Valdez,5 - 11,178,R,78,PIT,5,26,1,0,0,0,0,1,"0
"
DE,Kendrick,Droughns,6 - 6,294,1,85,CAR,3,11,0,1.5,0,0,0,0,"0
"
DE,Cory,Fonoti,6 - 7,279,2,71,DET,2,10,0,2.5,0,0,0,0,"0
"
OLB,Charley,Rivers,6 - 2,254,3,80,ARI,10,56,1,2,1,0,0,0,"0
"
OLB,Leigh,Davey,6 - 1,232,R,80,STL,11,69,1,0.5,1,0,0,0,"0
"
FS,Alyn,Namath,6 - 1,172,3,78,BAL,3,7,3,0,0,0,0,0,"0
"
DE,Ulysses,Smith,6 - 8,290,1,80,BUF,1,5,0,0,0,0,0,0,"0
"
FS,Rob,O'Neal,6 - 1,192,2,72,PHI,4,21,0,0,0,0,0,0,"0
"
FS,Keith,Farr,6 - 1,174,2,83,DET,1,4,1,0,0,0,0,0,"0
"
CB,Kadeem,Martin,5 - 9,175,1,80,CLE,5,17,5,0,0,0,0,1,"0
"
OLB,Casey,Brzezinski,5 - 11,227,2,77,WAS,1,3,0,0.5,0,0,0,0,"0
"
CB,Michael,Barber,6 - 0,183,R,79,WAS,8,39,3,0,0,0,0,0,"0
"
FS,Albert,White,5 - 10,184,2,79,DAL,4,21,1,0,0,0,0,0,"0
"
OLB,Thomas,Barry,6 - 1,225,R,79,TB,1,6,0,0,1,0,0,0,"0
"
CB,Justin,Davis,5 - 11,173,1,89,MIA,4,16,4,0,0,0,0,1,"0
"
OLB,Eugene,Parker,6 - 2,234,1,69,BAL,1,6,0,0,0,0,0,0,"0
"
FS,Edward,Harrison,5 - 10,168,R,77,TB,4,12,3,0,0,0,0,1,"0
"
CB,Jacoby,Seaverns,6 - 2,190,2,94,CIN,11,57,4,0,0,0,0,1,"0
"
OLB,Morris,Millen,6 - 0,246,2,85,CHI,14,107,1,2,0,0,0,0,"0
"
DT,Reggie,Hedberg,6 - 8,258,R,75,PHI,6,35,0,0,0,0,0,0,"0
"
ILB,Alex,Martin,6 - 0,240,R,79,OAK,9,73,0,0,0,0,0,0,"0
"
OLB,Kenyatta,Henderson,5 - 11,228,1,88,NYG,13,94,0,4.5,1,1,0,0,"0
"
ILB,Cleveland,Merrill,6 - 1,236,2,93,MIN,11,82,0,0,0,1,0,0,"0
"
CB,Shawn,Tennell,6 - 1,179,3,79,NYG,1,4,1,0,0,0,0,0,"0
"
SS,Chris,Brown,5 - 11,176,R,78,IND,5,24,1,0,0,0,0,0,"0
"
OLB,Hal,Rodriguez,6 - 1,251,3,73,DET,2,10,0,0.5,0,0,0,0,"0
"
ILB,Doug,Odoms,6 - 1,235,2,80,IND,7,42,0,0,0,0,0,0,"0
"
OLB,Tommy,Leonard,6 - 1,229,3,79,NYJ,6,32,0,1,0,0,0,0,"0
"
CB,DeAndre,Hawkins,6 - 2,180,1,88,HOU,5,22,3,0,0,0,0,1,"0
"
CB,John,Rogers,6 - 1,197,1,64,PIT,1,1,1,0,0,0,0,1,"0
"
ILB,Ron,Mobley,6 - 1,247,3,89,TB,9,65,1,0,0,1,0,0,"0
"
SS,Willie,Wood,6 - 1,198,2,79,NO,3,12,1,0,0,0,0,0,"0
"
DT,Josh,Wilson,6 - 7,278,1,85,MIA,6,25,0,4.5,1,2,0,0,"0
"
SS,Gregory,Gilmore,6 - 3,201,2,71,ARI,3,15,1,0,0,0,0,0,"0
"
DE,Anthony,Ortiz,6 - 7,262,R,83,BUF,9,33,0,8,1,1,0,1,"0
"
DT,Keith,Hooks,6 - 3,293,3,83,IND,4,12,0,3.5,0,0,0,0,"1
"
FS,Alex,Collins,6 - 0,214,3,87,NYG,4,19,2,0,0,0,0,1,"0
"
CB,Ricky,Rose,6 - 2,198,1,73,SD,1,1,1,0,0,0,0,0,"0
"
ILB,Timmy,Flanigan,5 - 8,233,1,72,SD,1,4,0,0,0,1,0,0,"0
"
FS,Reggie,Beasley,5 - 10,207,2,85,MIA,4,10,4,0,0,0,0,0,"0
"
CB,Nate,Steed,5 - 11,176,2,71,BAL,1,1,1,0,0,0,0,0,"0
"
ILB,Dennis,Smith,6 - 0,251,2,80,NYG,5,35,0,0,0,0,0,0,"0
"
DT,Tommy,Brooks,6 - 7,285,R,78,DEN,6,31,0,2,0,0,0,0,"0
"
