 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,Tom,Hannah,5 - 10,185,(Sr),2.0,2.0,Stanford,6,17,139,0,8.18,"23.17
"
FB,Sammie,Bertelsen,5 - 11,222,Jr,3.5,3.5,Texas A&M,1,1,16,0,16.00,"16.00
"
TE,Charles,Martinez,6 - 4,238,So,2.0,3.0,Navy,1,2,20,0,10.00,"20.00
"
WR,Zach,Fiore,6 - 2,191,Sr,4.0,4.0,Missouri,9,42,523,4,12.45,"58.11
"
RB,Eddie,Anderson,5 - 10,173,So,4.5,5.0,Missouri,1,5,67,1,13.40,"67.00
"
RB,Jason,Clark,5 - 11,190,(Fr),2.5,3.5,North Carolina,2,7,96,2,13.71,"48.00
"
WR,Dick,Schwedes,5 - 9,196,(Jr),1.5,2.0,Minnesota,1,1,74,1,74.00,"74.00
"
WR,George,Hall,5 - 9,181,(Jr),3.5,3.5,Maryland,10,39,413,2,10.59,"41.30
"
FB,Jody,Wilson,6 - 0,237,(Jr),3.0,3.0,Colorado State,1,1,30,0,30.00,"30.00
"
TE,Vaughn St.,Clair,6 - 2,233,Sr,4.0,4.0,Houston,10,33,314,2,9.52,"31.40
"
WR,Aaron,Pagliei,6 - 3,185,So,3.5,4.5,Florida,12,42,473,3,11.26,"39.42
"
WR,Tom,Branch,5 - 9,174,(Fr),3.5,4.0,Boston College,1,6,49,0,8.17,"49.00
"
WR,Ted,Buchanan,5 - 9,175,Jr,2.5,3.5,Arkansas,4,22,255,1,11.59,"63.75
"
TE,Joe,Glenn,6 - 3,239,Jr,3.5,3.5,Missouri,6,34,301,2,8.85,"50.17
"
WR,Ron,Hodson,6 - 2,173,Jr,3.0,3.5,Washington State,8,25,303,0,12.12,"37.88
"
RB,Michael,Pass,5 - 10,208,Sr,4.0,4.0,Wisconsin,1,5,43,1,8.60,"43.00
"
TE,Carl,Brown,6 - 4,215,Jr,1.5,2.0,Colorado State,1,3,19,0,6.33,"19.00
"
TE,John,Mason,6 - 4,238,So,3.0,3.5,Boise State,7,52,598,8,11.50,"85.43
"
WR,Mike,Gandy,5 - 10,200,(Jr),3.0,3.5,Syracuse,12,69,881,10,12.77,"73.42
"
TE,Tiki,Maslowski,6 - 3,229,(Fr),2.5,4.5,California,6,20,343,1,17.15,"57.17
"
RB,Richard,Freeman,5 - 10,193,Jr,4.5,5.0,Miami,2,7,101,1,14.43,"50.50
"
TE,Jesse,Palmer,6 - 8,245,Fr,2.0,4.0,Kansas State,7,40,449,6,11.22,"64.14
"
TE,Francis,Rodriguez,6 - 5,226,Jr,2.5,2.5,Cincinnati,2,8,92,1,11.50,"46.00
"
WR,Thomas,Thornton,5 - 9,175,(Sr),3.5,3.5,Arizona,10,60,829,7,13.82,"82.90
"
TE,Kyle,Oblivion,6 - 0,247,Fr,1.0,2.5,Oklahoma State,2,4,36,0,9.00,"18.00
"
WR,Terry,Barber,6 - 0,172,Jr,3.0,3.5,Texas Tech,11,34,360,1,10.59,"32.73
"
??,Dennis,Hahn,? - ??,???,(??),??,??,Northwestern,8,53,673,9,12.70,"84.12
"
WR,Paul,Urbina,6 - 6,187,(Sr),3.5,3.5,Purdue,5,15,118,0,7.87,"23.60
"
WR,Benjamin,Perez,6 - 4,193,Jr,2.0,2.0,Northwestern,2,9,101,0,11.22,"50.50
"
WR,Bo,Woodall,6 - 1,202,Fr,2.5,5.0,North Carolina,6,37,536,8,14.49,"89.33
"
WR,Curtis,Dunn,6 - 5,177,(Sr),2.0,2.5,Virginia,3,11,112,1,10.18,"37.33
"
WR,Karl,Merrill,6 - 2,173,(Sr),3.0,3.0,Cincinnati,3,9,110,0,12.22,"36.67
"
WR,Kevin,Hoisington,6 - 2,179,(Sr),2.0,2.0,North Carolina,1,1,56,1,56.00,"56.00
"
WR,Carlos,Warren,5 - 11,178,Sr,4.0,4.0,Michigan,10,45,514,2,11.42,"51.40
"
TE,Kenneth,Welsh,6 - 1,245,Jr,1.5,2.0,Illinois,1,2,17,0,8.50,"17.00
"
RB,Marc,Henderson,5 - 10,218,Sr,3.5,4.0,Washington State,3,8,82,0,10.25,"27.33
"
WR,Michael,Day,5 - 11,189,Jr,3.0,3.5,Pittsburgh,13,94,1003,7,10.67,"77.15
"
WR,John,Rowe,5 - 9,184,(Fr),3.0,4.0,Arizona,9,41,530,6,12.93,"58.89
"
TE,Larry,Miller,6 - 5,244,(Jr),3.5,3.5,Rutgers,10,41,429,5,10.46,"42.90
"
RB,Nate,Cochran,5 - 9,196,Sr,4.0,4.5,Ole Miss,2,7,62,1,8.86,"31.00
"
WR,Gene,Wiegert,6 - 6,175,(Jr),3.5,3.5,Iowa,7,41,527,5,12.85,"75.29
"
RB,James,Otero,5 - 8,191,Jr,5.0,5.0,Kansas,2,8,113,0,14.12,"56.50
"
WR,Brandon,Lane,5 - 11,187,Sr,4.0,4.0,Mississippi State,6,26,257,1,9.88,"42.83
"
WR,Michael,Jeffries,6 - 0,165,So,3.0,3.0,Kansas State,10,49,603,2,12.31,"60.30
"
WR,Harry,Kinder,6 - 4,186,Sr,2.0,2.5,Navy,11,37,431,1,11.65,"39.18
"
??,Luther,Brown,? - ??,???,(??),??,??,Arkansas,1,5,67,1,13.40,"67.00
"
WR,Allama,Banta,6 - 0,185,Jr,3.5,4.0,Boston College,3,14,133,0,9.50,"44.33
"
WR,Philip,Lynn,6 - 5,163,So,1.5,1.5,Illinois,3,4,46,0,11.50,"15.33
"
WR,Eric,Dunn,5 - 11,171,(So),2.0,2.5,Rutgers,1,3,20,0,6.67,"20.00
"
WR,Everett,Steele,6 - 2,188,So,1.5,2.5,Indiana,4,16,159,0,9.94,"39.75
"
TE,Mike,Manning,6 - 6,236,Sr,3.5,4.0,Florida,11,32,355,1,11.09,"32.27
"
WR,Richard,Zimmerman,6 - 2,189,Sr,4.0,4.0,Kansas,12,62,844,6,13.61,"70.33
"
WR,Les,Sherer,5 - 10,203,Sr,3.0,4.0,Washington,5,10,123,0,12.30,"24.60
"
WR,Mike,Robinson,5 - 9,165,Sr,3.5,3.5,Wisconsin,5,31,393,3,12.68,"78.60
"
TE,James,Ware,6 - 8,236,(Sr),4.5,4.5,Northwestern,1,4,33,0,8.25,"33.00
"
WR,Curtis,Jeffreys,5 - 11,207,Fr,2.5,4.0,SDSU,12,48,619,5,12.90,"51.58
"
WR,Jermaine,Crowell,6 - 5,185,Jr,2.5,3.0,Virginia Tech,6,27,329,3,12.19,"54.83
"
TE,Gary,MacDonald,6 - 1,228,Sr,2.5,2.5,Colorado State,4,14,134,1,9.57,"33.50
"
TE,Ben,Cotton,6 - 4,229,Jr,1.5,2.0,Arkansas,8,46,524,4,11.39,"65.50
"
FB,Alex,Engram,6 - 1,252,Sr,4.0,4.0,TCU,1,5,17,0,3.40,"17.00
"
WR,Andy,Green,6 - 6,205,Sr,1.5,2.0,Virginia,1,1,22,0,22.00,"22.00
"
TE,Danny,Patrick,6 - 5,223,Jr,4.0,5.0,North Carolina,8,83,872,10,10.51,"109.00
"
WR,Steve,Hill,6 - 2,200,Sr,3.0,3.0,Texas A&M,11,34,417,0,12.26,"37.91
"
WR,Lonie,Rivera,6 - 1,170,So,2.5,3.0,California,6,33,401,3,12.15,"66.83
"
WR,Jan,Roy,6 - 0,165,Jr,2.5,3.5,Ole Miss,11,45,578,5,12.84,"52.55
"
RB,Craig,Grimsley,6 - 1,216,So,3.5,4.0,Louisville,1,4,40,1,10.00,"40.00
"
WR,Troy,Faneca,6 - 3,209,(So),3.0,4.0,UCF,12,40,524,2,13.10,"43.67
"
WR,Andre,Brown,6 - 0,166,Jr,2.5,3.5,Texas A&M,5,19,151,0,7.95,"30.20
"
TE,Charlie,Ouellette,6 - 4,231,Sr,2.5,3.0,Air Force,9,23,234,1,10.17,"26.00
"
TE,Eddie,Givens,6 - 3,206,So,2.0,2.5,UCF,1,1,23,0,23.00,"23.00
"
RB,Jeff,Collett,5 - 11,193,So,3.0,5.0,NC State,1,2,20,0,10.00,"20.00
"
WR,Paul,Howell,6 - 0,191,(Sr),5.0,5.0,Mississippi State,12,70,865,8,12.36,"72.08
"
WR,Keith,Crowell,5 - 9,157,So,4.0,4.0,Minnesota,11,42,497,4,11.83,"45.18
"
WR,Douglas,Chadwick,5 - 10,182,So,3.0,4.5,Indiana,11,90,1252,11,13.91,"113.82
"
WR,Art,Baber,5 - 9,201,Sr,4.5,5.0,Auburn,12,57,725,6,12.72,"60.42
"
WR,Richard,Frazier,5 - 8,181,Jr,4.0,5.0,Iowa,12,96,1143,11,11.91,"95.25
"
WR,James,James,5 - 11,168,Jr,2.5,2.5,SMU,11,48,628,6,13.08,"57.09
"
WR,Chris,Clements,6 - 2,166,So,2.5,3.0,Virginia Tech,1,8,56,0,7.00,"56.00
"
WR,Michael,DeRamus,6 - 5,165,(Fr),2.5,3.0,Florida State,1,4,64,1,16.00,"64.00
"
WR,Eugene,Glover,5 - 9,193,(Sr),3.5,3.5,Kansas State,12,80,1010,9,12.62,"84.17
"
WR,Joshua,Hill,5 - 11,183,(So),1.5,2.0,Navy,6,25,237,4,9.48,"39.50
"
TE,Scott,Brown,6 - 1,250,(Jr),4.0,4.5,Stanford,8,23,254,0,11.04,"31.75
"
TE,John,Perez,6 - 4,217,So,3.5,4.0,Iowa State,7,21,223,0,10.62,"31.86
"
WR,Nick,Shipp,5 - 10,195,(Sr),2.5,2.5,South Carolina,4,17,205,1,12.06,"51.25
"
WR,Darrell,George,6 - 6,187,Jr,3.0,4.0,Louisville,10,34,350,0,10.29,"35.00
"
WR,Adrian,Tuiasosopo,6 - 1,189,Sr,4.0,4.0,Miami,7,24,415,4,17.29,"59.29
"
RB,Robert,Fontenot,5 - 11,171,Jr,3.5,4.0,Baylor,1,5,55,0,11.00,"55.00
"
WR,John,Whisenhunt,6 - 3,170,Sr,4.0,4.5,Notre Dame,12,61,826,7,13.54,"68.83
"
WR,Richard,Richardson,6 - 5,187,(Jr),1.5,1.5,Illinois,1,2,12,0,6.00,"12.00
"
WR,Kevin,Branch,6 - 5,187,(So),4.5,5.0,Mississippi State,12,53,597,2,11.26,"49.75
"
TE,Ron,Jensen,6 - 2,265,Sr,4.0,4.5,Michigan,11,58,634,7,10.93,"57.64
"
RB,Dale,Clemens,6 - 0,189,(Sr),3.0,3.0,Pittsburgh,1,6,73,1,12.17,"73.00
"
WR,Daniel,Pollard,6 - 5,185,Sr,1.5,2.0,TCU,1,4,43,0,10.75,"43.00
"
WR,Richard,Wilson,6 - 5,173,(Jr),5.0,5.0,Purdue,11,52,561,6,10.79,"51.00
"
WR,Eric,Barlow,6 - 4,191,(Sr),3.0,3.0,Air Force,12,42,568,3,13.52,"47.33
"
TE,Joe,Barrett,6 - 3,249,(Sr),4.5,4.5,Mississippi State,6,28,319,2,11.39,"53.17
"
WR,Charles,Corbett,6 - 6,206,(Fr),2.0,3.0,SDSU,10,34,395,1,11.62,"39.50
"
WR,Cliff,Molden,5 - 11,214,(Sr),4.0,4.0,Minnesota,10,40,548,4,13.70,"54.80
"
TE,Quentin,McCullough,6 - 7,240,So,3.5,4.5,Clemson,8,31,358,2,11.55,"44.75
"
WR,Glenn,Franckowiak,6 - 0,201,Jr,4.0,4.5,Nebraska,2,3,32,0,10.67,"16.00
"
WR,Keith,Setzer,6 - 2,213,Fr,1.0,4.5,Boise State,1,5,90,1,18.00,"90.00
"
TE,Joshua,Gilliam,6 - 5,236,Sr,2.5,3.0,TCU,2,2,34,0,17.00,"17.00
"
WR,Alvin,Robinson,6 - 3,171,(Jr),3.0,3.0,Hawaii,11,39,452,1,11.59,"41.09
"
TE,King,Pietrosante,6 - 2,223,(So),2.0,4.0,Washington State,1,5,42,0,8.40,"42.00
"
WR,Jerome,Smith,5 - 11,220,Fr,2.0,4.0,Air Force,4,5,57,0,11.40,"14.25
"
RB,James,Harris,5 - 9,198,(Jr),4.0,4.0,Oregon State,3,10,103,0,10.30,"34.33
"
WR,Jeffrey,McNeill,5 - 9,195,So,2.0,2.5,Illinois,9,35,318,0,9.09,"35.33
"
WR,Jerry,Reed,6 - 2,164,So,2.5,2.5,Stanford,2,9,91,1,10.11,"45.50
"
WR,Tony,Spragan,6 - 6,212,Sr,3.5,3.5,South Carolina,8,52,669,5,12.87,"83.62
"
WR,Tory,Abraham,6 - 0,195,(Jr),4.0,4.0,Oregon,12,47,647,5,13.77,"53.92
"
TE,Jim,Morgan,6 - 6,238,Sr,4.0,4.0,Texas Tech,12,31,348,3,11.23,"29.00
"
TE,Bobby,Smith,6 - 6,228,Jr,2.5,2.5,Texas Tech,2,2,14,0,7.00,"7.00
"
TE,Kelly,Littleton,6 - 3,239,(So),3.0,5.0,Auburn,8,33,386,2,11.70,"48.25
"
WR,Otis,Richardson,6 - 1,165,Sr,3.0,3.0,Notre Dame,3,12,130,0,10.83,"43.33
"
WR,Robert,Tomczak,6 - 6,194,(Sr),4.0,4.0,Wisconsin,10,72,931,9,12.93,"93.10
"
TE,Howard,Kramer,6 - 4,226,Jr,3.0,4.0,Georgia,1,3,34,0,11.33,"34.00
"
WR,Mark,McAdoo,6 - 1,176,(So),2.5,3.0,Virginia,9,27,307,1,11.37,"34.11
"
??,Christopher,Martin,? - ??,???,(??),??,??,Texas,1,1,13,0,13.00,"13.00
"
WR,John,McKinney,6 - 1,195,Sr,3.0,3.0,Michigan State,3,12,116,0,9.67,"38.67
"
WR,Terry,Cole,6 - 1,212,Jr,1.5,1.5,Navy,2,10,145,2,14.50,"72.50
"
??,Edward,Bell,? - ??,???,(??),??,??,Texas,1,2,17,0,8.50,"17.00
"
WR,Malcolm,Larsen,5 - 11,181,So,3.5,3.5,Tennessee,11,53,647,4,12.21,"58.82
"
WR,Reggie,Sayers,5 - 11,205,(Fr),3.0,4.0,Washington,11,38,399,2,10.50,"36.27
"
WR,Cotton,Lewis,6 - 1,182,(So),4.5,5.0,Auburn,11,41,561,3,13.68,"51.00
"
WR,Bill,Hardy,5 - 11,190,(So),4.0,5.0,California,12,58,745,6,12.84,"62.08
"
TE,Oscar,Fisk,6 - 8,245,(Fr),3.0,5.0,Washington,7,17,192,1,11.29,"27.43
"
WR,Jamie,Mitchell,6 - 3,183,(Jr),3.5,3.5,Kentucky,9,39,440,2,11.28,"48.89
"
WR,Matt,Eason,6 - 5,192,Jr,1.5,1.5,Houston,5,15,196,2,13.07,"39.20
"
WR,Tommy,Boiman,6 - 6,154,So,2.5,4.0,Oklahoma State,10,31,438,3,14.13,"43.80
"
WR,Gene,Schweickert,6 - 1,185,So,2.0,2.5,Rice,2,8,82,0,10.25,"41.00
"
WR,Kenneth,McFarland,5 - 11,184,Jr,3.0,3.5,Arizona,8,30,410,1,13.67,"51.25
"
TE,Willie,Raiola,6 - 2,238,(Jr),2.0,2.5,West Virginia,1,1,60,0,60.00,"60.00
"
TE,Arthur,Thomas,6 - 2,239,Jr,2.5,3.5,Baylor,8,59,665,10,11.27,"83.12
"
TE,Ben,Sommer,6 - 2,217,Jr,2.0,3.0,Ohio State,1,2,13,1,6.50,"13.00
"
TE,Rob,Danielson,6 - 5,243,Jr,4.0,4.0,Texas A&M,6,33,322,3,9.76,"53.67
"
WR,J.R.,Brumm,6 - 2,182,So,2.5,3.5,Arizona State,1,1,20,0,20.00,"20.00
"
WR,Samari,Clack,6 - 4,206,(Jr),3.0,3.0,Georgia,4,11,154,2,14.00,"38.50
"
RB,Fred,Preston,5 - 9,191,Sr,4.5,4.5,West Virginia,2,4,92,1,23.00,"46.00
"
RB,Shawn,Cole,5 - 9,188,Sr,4.5,4.5,Washington,2,5,49,1,9.80,"24.50
"
WR,Martavius,King,6 - 5,179,Fr,1.0,2.0,Miami,1,3,28,0,9.33,"28.00
"
??,William,Gibbs,? - ??,???,(??),??,??,Texas,6,22,227,2,10.32,"37.83
"
WR,Eric,Minter,6 - 4,187,Sr,4.0,4.5,Tennessee,12,69,944,9,13.68,"78.67
"
WR,Ron,Hampton,6 - 2,194,So,1.5,2.0,Vanderbilt,1,2,3,0,1.50,"3.00
"
RB,Akili,Wallace,5 - 10,180,(Jr),5.0,5.0,Florida State,1,5,74,1,14.80,"74.00
"
WR,Chris,Beverly,6 - 2,184,Fr,1.5,1.5,Indiana,1,4,40,0,10.00,"40.00
"
WR,Steve,Lucier,6 - 1,200,So,3.0,3.5,Boise State,3,13,165,2,12.69,"55.00
"
WR,Mike,Miller,6 - 5,177,So,2.5,3.5,NC State,5,19,271,0,14.26,"54.20
"
FB,Joshua,Grover,6 - 1,203,Sr,2.0,2.0,Navy,2,3,22,1,7.33,"11.00
"
WR,Kelly,Sanchez,6 - 0,208,Jr,2.0,2.5,Army,1,3,106,0,35.33,"106.00
"
WR,Chris,Cooper,11 - May,172,(So),3.0,3.0,Colorado,7,17,191,0,11.24,"27.29
"
TE,William,Bacon,6 - 3,224,So,2.0,2.5,SDSU,8,24,223,1,9.29,"27.88
"
WR,Michael,Blalock,6 - 3,185,Sr,3.0,3.0,Pittsburgh,10,63,712,4,11.30,"71.20
"
TE,Laverne,Williams,6 - 6,240,(Sr),3.0,3.0,Washington,1,3,10,0,3.33,"10.00
"
TE,Stephen,Coble,6 - 6,247,(Jr),2.5,2.5,Army,10,60,508,5,8.47,"50.80
"
TE,Alexander,Engelberger,6 - 4,221,So,2.5,3.0,Oregon,10,47,485,8,10.32,"48.50
"
TE,Justin,Fletcher,6 - 5,243,(Jr),2.0,2.0,SMU,5,31,349,4,11.26,"69.80
"
WR,David,White,6 - 4,189,Sr,2.5,2.5,Ole Miss,1,1,3,0,3.00,"3.00
"
WR,Marco,Ayanbadejo,6 - 3,188,Sr,3.0,3.0,West Virginia,11,57,829,6,14.54,"75.36
"
TE,Anthony,Bagley,6 - 3,222,Jr,1.5,2.5,Kansas State,1,3,20,0,6.67,"20.00
"
WR,Michael,Chambers,5 - 10,185,So,2.0,3.0,Iowa State,11,33,356,1,10.79,"32.36
"
WR,Frank,Parks,6 - 5,198,(Jr),3.0,3.0,California,11,42,476,2,11.33,"43.27
"
TE,Tony,Huff,6 - 4,225,So,4.0,5.0,Georgia,8,43,546,5,12.70,"68.25
"
WR,Archie,Epperson,5 - 9,175,Sr,2.5,3.0,Duke,12,85,951,6,11.19,"79.25
"
WR,David,Williams,6 - 5,192,(Sr),4.5,4.5,Missouri,7,36,523,4,14.53,"74.71
"
TE,Cookie,Lewis,6 - 6,230,Jr,3.0,3.5,Alabama,6,28,276,2,9.86,"46.00
"
WR,George,Lewis,5 - 11,181,(Fr),3.5,5.0,UCLA,11,21,198,1,9.43,"18.00
"
RB,Ron,Thomas,6 - 0,194,Fr,1.5,5.0,Iowa,1,3,40,1,13.33,"40.00
"
WR,Bob,Standlee,6 - 6,163,Jr,4.0,5.0,Georgia,7,33,438,3,13.27,"62.57
"
WR,Victor,Ramsey,5 - 11,170,(Fr),2.0,3.0,North Carolina,1,4,122,1,30.50,"122.00
"
RB,Dontrell,Jackson,5 - 10,192,Jr,4.0,4.0,Boise State,1,12,100,1,8.33,"100.00
"
TE,Wilfredo,Small,6 - 6,246,Sr,2.0,2.0,Duke,6,38,423,6,11.13,"70.50
"
WR,Frank,Weiss,6 - 4,173,(Jr),4.5,4.5,Boise State,10,58,783,8,13.50,"78.30
"
TE,A.J.,Carter,6 - 6,226,Sr,4.0,4.0,Boston College,8,40,438,3,10.95,"54.75
"
WR,Mark,Hughes,5 - 11,165,Sr,3.0,3.0,Oklahoma,6,31,384,2,12.39,"64.00
"
WR,Quintavius,Pearson,6 - 0,196,Fr,2.5,4.5,Louisville,2,7,66,0,9.43,"33.00
"
TE,Santana,Sellers,6 - 6,240,(Fr),3.0,4.0,Michigan State,10,51,582,8,11.41,"58.20
"
WR,Kordell,Bruener,6 - 6,182,(So),1.5,2.0,Alabama,1,3,38,0,12.67,"38.00
"
WR,Eddie,McFadden,6 - 4,163,So,4.0,5.0,Baylor,11,88,1072,9,12.18,"97.45
"
WR,Kelvin,Harris,6 - 1,178,So,2.0,3.0,UCF,3,6,64,0,10.67,"21.33
"
WR,Andy,Goode,6 - 2,166,Sr,4.5,4.5,Arkansas,10,80,876,8,10.95,"87.60
"
WR,Patrick,Burke,6 - 4,165,So,3.5,5.0,Auburn,3,9,116,0,12.89,"38.67
"
RB,Rickie,Baird,5 - 11,171,Jr,3.5,5.0,Cincinnati,2,7,101,0,14.43,"50.50
"
WR,Tim,Baldacci,6 - 0,193,So,2.5,3.0,LSU,3,10,93,1,9.30,"31.00
"
WR,Tai,Marconi,6 - 2,213,Sr,1.5,2.0,Missouri,1,6,70,1,11.67,"70.00
"
WR,Andrew,Thompson,6 - 3,199,(Sr),2.0,2.0,Pittsburgh,1,4,61,1,15.25,"61.00
"
WR,Ron,Rattay,5 - 11,186,(Jr),3.5,3.5,West Virginia,6,26,408,2,15.69,"68.00
"
WR,Marcus,Erickson,6 - 6,167,Jr,3.5,3.5,South Carolina,12,99,1137,10,11.48,"94.75
"
WR,Sonny,Beckett,6 - 6,188,(So),3.5,5.0,Miami,9,31,377,1,12.16,"41.89
"
WR,Harry,Whiteside,6 - 5,169,(Fr),3.0,5.0,Texas,3,8,64,1,8.00,"21.33
"
FB,Johnny,Mangum,6 - 0,225,So,2.0,3.5,Wake Forest,1,1,8,0,8.00,"8.00
"
TE,Rick,Philcox,6 - 2,221,So,3.5,4.5,Miami,4,14,146,1,10.43,"36.50
"
TE,Loren,Jones,6 - 1,214,Jr,2.0,2.0,Georgia State,8,21,204,0,9.71,"25.50
"
WR,Frisman,Edelman,6 - 2,169,(Fr),3.0,3.5,Arkansas,9,55,575,2,10.45,"63.89
"
TE,Charlie,Wilson,6 - 7,247,(Sr),5.0,5.0,Georgia Tech,10,26,235,0,9.04,"23.50
"
WR,Joe,Wallace,5 - 11,193,Sr,4.0,4.0,Baylor,12,99,1059,9,10.70,"88.25
"
TE,Nate,Blue,6 - 2,239,Jr,4.0,5.0,Notre Dame,9,40,464,5,11.60,"51.56
"
TE,Johnny,Symonette,6 - 6,222,Sr,4.5,4.5,Virginia,4,15,122,0,8.13,"30.50
"
WR,Lance,Bolling,6 - 4,164,(So),4.0,4.5,Stanford,11,49,654,5,13.35,"59.45
"
TE,Scott,Howard,6 - 6,236,Sr,4.5,4.5,Northwestern,11,68,789,5,11.60,"71.73
"
??,Richard,Woodard,? - ??,???,(??),??,??,Colorado State,7,26,250,3,9.62,"35.71
"
TE,Uriel,Leach,6 - 1,239,Fr,2.5,4.0,Arizona,7,29,363,4,12.52,"51.86
"
FB,Mason,Murphy,5 - 11,248,Jr,3.0,3.5,Miami,2,6,54,2,9.00,"27.00
"
WR,Peter,Miller,6 - 0,183,Sr,3.5,3.5,Colorado State,12,46,628,4,13.65,"52.33
"
WR,Curtis,Settles,6 - 0,207,Fr,1.5,5.0,Penn State,4,13,139,1,10.69,"34.75
"
WR,Willie,Davis,6 - 5,165,So,4.0,5.0,Missouri,11,42,682,6,16.24,"62.00
"
TE,Larry,Dean,6 - 5,238,Sr,2.5,3.0,ECU,10,31,274,2,8.84,"27.40
"
TE,Dorne,McMillan,6 - 1,231,Jr,3.0,3.5,Syracuse,9,52,608,3,11.69,"67.56
"
WR,James,Faulkner,6 - 3,193,(Sr),1.5,1.5,Duke,2,9,112,1,12.44,"56.00
"
WR,Arnold,Gardner,6 - 0,208,Jr,3.0,3.0,Colorado State,9,26,312,0,12.00,"34.67
"
WR,Isaac,Campfield,6 - 6,168,Sr,3.5,4.0,Washington,10,33,373,3,11.30,"37.30
"
WR,Carlo,Alvarez,6 - 1,195,(Jr),3.5,3.5,Northwestern,8,49,584,3,11.92,"73.00
"
RB,Charles,Quinn,5 - 9,218,(Jr),2.5,2.5,Indiana,3,8,84,1,10.50,"28.00
"
WR,David,Workman,6 - 3,201,So,3.0,4.0,Maryland,4,10,144,1,14.40,"36.00
"
WR,Dirk,Robustelli,Jun - 00,170,(Fr),2.0,3.5,Colorado,1,4,43,0,10.75,"43.00
"
WR,Jimmy,LeJeune,6 - 1,207,Sr,2.5,2.5,Vanderbilt,11,42,705,6,16.79,"64.09
"
TE,Johnny,Coates,6 - 3,221,(So),2.0,3.5,West Virginia,3,16,127,0,7.94,"42.33
"
WR,David,Sharp,6 - 4,191,Sr,3.0,3.0,Cincinnati,2,2,30,0,15.00,"15.00
"
TE,David,Schafer,6 - 2,238,Sr,2.5,2.5,Kansas State,4,23,253,4,11.00,"63.25
"
WR,Buford,Ingram,6 - 4,203,(Sr),3.0,3.0,Oregon State,2,7,91,1,13.00,"45.50
"
WR,Steve,Heinrich,5 - 11,188,(Jr),2.5,2.5,UCF,7,22,203,1,9.23,"29.00
"
TE,George,Cox,6 - 6,243,(Jr),4.0,5.0,Louisville,8,30,312,0,10.40,"39.00
"
