 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA , YPG , TD PCT ," INT PCT
"
QB,C.J.,Logan,6 - 2,183,1,73,STL,3,33,64,51.56,407,4,4,66.34,6.36,135.67,6.25,"6.25
"
QB,Brian,Brown,6 - 4,228,2,99,MIA,13,264,399,66.17,3854,28,5,115.67,9.66,296.46,7.02,"1.25
"
QB,Keith,Simon,6 - 2,189,2,82,KC,3,7,25,28,67,0,2,6.25,2.68,22.33,0,"8
"
QB,John,Jones,6 - 1,199,2,75,GB,2,5,9,55.56,49,1,0,108.08,5.44,24.5,11.11,"0
"
QB,Darren,Werner,6 - 1,206,3,83,DEN,16,300,455,65.93,3889,31,8,108.02,8.55,243.06,6.81,"1.76
"
QB,Aaron,Devereaux,6 - 6,204,1,88,NO,16,234,398,58.79,3223,27,9,98.01,8.1,201.44,6.78,"2.26
"
QB,Rob,LeCount,6 - 3,212,2,81,DET,16,314,483,65.01,4221,31,11,104.58,8.74,263.81,6.42,"2.28
"
QB,Gary,Baldacci,5 - 11,183,2,78,SF,3,9,17,52.94,122,0,2,36.53,7.18,40.67,0,"11.76
"
QB,Harold,Simmons,6 - 1,180,1,84,HOU,16,315,520,60.58,3847,22,12,87.88,7.4,240.44,4.23,"2.31
"
QB,Thomas,Wheeler,6 - 1,208,2,87,KC,16,412,685,60.15,4585,31,9,89.73,6.69,286.56,4.53,"1.31
"
QB,Dick,Cook,6 - 2,205,R,80,NYG,10,116,208,55.77,1304,8,5,77.52,6.27,130.4,3.85,"2.4
"
QB,Kamau,Davis,6 - 2,218,2,86,DAL,11,101,167,60.48,1395,14,4,105.21,8.35,126.82,8.38,"2.4
"
QB,Reggie,Watkins,6 - 4,200,3,87,BAL,14,206,335,61.49,2819,19,6,99.81,8.41,201.36,5.67,"1.79
"
QB,Greg,Bierria,6 - 3,186,3,86,IND,16,282,470,60,3500,20,14,84.91,7.45,218.75,4.26,"2.98
"
QB,Todd,Lester,6 - 0,194,1,86,SF,16,263,417,63.07,3394,14,6,93.76,8.14,212.13,3.36,"1.44
"
QB,Charles,Quinn,6 - 2,197,2,78,CHI,1,0,5,0,0,0,0,39.58,0,0,0,"0
"
QB,Horace,Johnson,5 - 11,199,R,65,IND,1,2,9,22.22,19,0,2,0,2.11,19,0,"22.22
"
QB,Onterrio,Smith,6 - 1,180,3,82,PIT,11,141,240,58.75,1809,10,7,84.19,7.54,164.45,4.17,"2.92
"
QB,Robert,Martin,6 - 1,184,R,76,OAK,1,10,13,76.92,168,2,0,157.85,12.92,168,15.38,"0
"
QB,Glenn,White,6 - 2,176,1,76,MIA,3,22,34,64.71,354,3,0,128.78,10.41,118,8.82,"0
"
QB,Robert,Price,6 - 4,229,2,77,DEN,1,1,5,20,6,0,1,0,1.2,6,0,"20
"
QB,Christopher,Brooks,5 - 11,207,2,76,JAX,1,3,9,33.33,33,0,2,5.57,3.67,33,0,"22.22
"
QB,Taylor,Heiden,6 - 3,197,1,81,TB,16,293,483,60.66,3855,22,5,96.72,7.98,240.94,4.55,"1.04
"
QB,Alexander,Williams,6 - 0,187,3,88,SEA,16,251,388,64.69,3249,15,8,95.18,8.37,203.06,3.87,"2.06
"
