 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,Curtis,Gordon,5 - 10,179,Sr,1.5,1.5,Duke,12,43,473,2,11.00,"39.42
"
WR,Ted,Buchanan,5 - 9,175,Sr,3.5,3.5,Arkansas,8,28,357,3,12.75,"44.62
"
TE,Joe,Glenn,6 - 3,239,Sr,3.5,3.5,Missouri,1,2,24,0,12.00,"24.00
"
WR,Ron,Hodson,6 - 2,173,Sr,3.5,3.5,Washington State,11,57,766,4,13.44,"69.64
"
TE,Glen,Vann,6 - 6,214,Jr,2.5,3.0,Purdue,2,2,79,1,39.50,"39.50
"
WR,Timothy,Jones,6 - 1,176,Fr,1.0,3.5,Michigan,2,4,62,0,15.50,"31.00
"
WR,Ronald,Elisara,6 - 5,169,(Jr),3.0,3.0,Georgia,1,1,33,0,33.00,"33.00
"
WR,Mike,Gandy,5 - 10,200,(Sr),3.5,3.5,Syracuse,13,46,639,7,13.89,"49.15
"
TE,Jesse,Palmer,6 - 8,245,So,3.0,4.0,Kansas State,9,16,194,2,12.12,"21.56
"
TE,Francis,Rodriguez,6 - 5,226,Sr,2.5,2.5,Cincinnati,1,3,38,0,12.67,"38.00
"
TE,Kyle,Oblivion,6 - 0,247,So,2.0,2.5,Oklahoma State,1,1,19,0,19.00,"19.00
"
TE,Creston,Fuller,6 - 1,215,Jr,3.0,4.0,Minnesota,3,5,69,0,13.80,"23.00
"
WR,Terry,Barber,6 - 0,172,Sr,3.5,3.5,Texas Tech,3,6,78,1,13.00,"26.00
"
RB,Lionel,Dickinson,6 - 0,194,Sr,4.5,4.5,Auburn,1,3,18,1,6.00,"18.00
"
WR,Dennis,Hahn,6 - 0,187,(Jr),4.0,4.0,Northwestern,12,39,635,4,16.28,"52.92
"
TE,Mark,Johnson,6 - 2,221,Sr,1.5,1.5,New Mexico,2,4,57,0,14.25,"28.50
"
RB,Devin,Drake,6 - 1,206,(Fr),3.0,3.0,Virginia,3,7,169,2,24.14,"56.33
"
WR,Roger,Finley,6 - 6,203,(Jr),2.0,2.5,SMU,1,2,24,0,12.00,"24.00
"
TE,Clyde,Goodson,6 - 3,238,Fr,3.0,3.0,SMU,3,9,112,3,12.44,"37.33
"
WR,Mike,Middleton,6 - 0,219,(Fr),3.0,4.0,Hawaii,13,64,950,7,14.84,"73.08
"
RB,Edwin,Forster,6 - 3,221,(Fr),4.0,4.5,Michigan,4,6,121,2,20.17,"30.25
"
TE,Doug,Gottlieb,6 - 1,227,So,1.5,3.5,Georgia,1,1,7,1,7.00,"7.00
"
WR,Bo,Woodall,6 - 1,202,So,3.5,5.0,North Carolina,10,75,926,8,12.35,"92.60
"
RB,Shawn,Anderson,5 - 8,184,Jr,5.0,5.0,Oregon,2,6,32,0,5.33,"16.00
"
RB,Nick,Engelberger,5 - 8,186,(Jr),3.5,4.0,Notre Dame,1,2,30,0,15.00,"30.00
"
TE,Chris,Kelley,6 - 3,239,So,2.0,2.5,Rice,1,4,29,0,7.25,"29.00
"
WR,Matthew,Combs,6 - 3,215,(Fr),1.5,2.5,Illinois,2,4,82,1,20.50,"41.00
"
TE,Keith,Wayne,6 - 2,232,Sr,3.5,3.5,Florida,9,28,348,7,12.43,"38.67
"
WR,John,Rowe,5 - 9,184,(So),3.5,4.0,Arizona,13,66,1005,6,15.23,"77.31
"
TE,Larry,Miller,6 - 5,244,(Sr),3.5,3.5,Rutgers,8,21,215,0,10.24,"26.88
"
WR,Gene,Wiegert,6 - 6,175,(Sr),3.5,3.5,Iowa,7,53,646,4,12.19,"92.29
"
WR,Ben,Drummond,6 - 4,182,Jr,2.0,2.0,Houston,2,3,61,2,20.33,"30.50
"
WR,Billy,Rodgers,6 - 1,164,Sr,5.0,5.0,North Carolina,11,75,1004,9,13.39,"91.27
"
WR,Zach,Croaker,6 - 1,206,(Fr),2.0,4.0,Army,5,14,157,1,11.21,"31.40
"
WR,Michael,Jeffries,6 - 0,165,Jr,3.0,3.0,Kansas State,11,21,239,2,11.38,"21.73
"
WR,William,Luna,6 - 0,182,Jr,2.0,2.0,BYU,4,13,149,1,11.46,"37.25
"
WR,Allama,Banta,6 - 0,185,Sr,4.0,4.0,Boston College,11,63,872,8,13.84,"79.27
"
WR,Gregory,Roberts,6 - 4,187,Sr,2.5,2.5,San Diego State,2,6,88,1,14.67,"44.00
"
RB,Mike,Smith,5 - 9,202,(Fr),1.5,2.5,Colorado State,2,6,57,2,9.50,"28.50
"
WR,Jayshawn,White,6 - 2,224,So,2.0,2.5,Ole Miss,6,19,215,1,11.32,"35.83
"
WR,Ezekiel,Manley,5 - 11,197,So,1.5,1.5,NC State,1,1,22,0,22.00,"22.00
"
WR,Paul,Urlacher,6 - 1,173,Sr,3.5,3.5,Washington,4,12,176,2,14.67,"44.00
"
WR,Everett,Steele,6 - 2,188,Jr,2.0,2.5,Indiana,11,15,179,0,11.93,"16.27
"
WR,Ray,Harrison,6 - 1,197,(Fr),3.0,4.5,Purdue,9,21,380,3,18.10,"42.22
"
TE,Martin,Collins,6 - 2,238,Jr,2.0,3.5,New Mexico,10,23,215,0,9.35,"21.50
"
WR,Jamel,Beckham,6 - 0,213,Fr,2.5,5.0,TCU,11,29,351,1,12.10,"31.91
"
WR,Takeo,Modzelewski,6 - 3,189,Sr,3.5,3.5,Notre Dame,10,30,374,2,12.47,"37.40
"
TE,Thomas,Willis,6 - 2,220,Jr,3.5,3.5,Rutgers,1,2,29,1,14.50,"29.00
"
RB,Dave,Pagac,6 - 0,170,(So),3.0,4.0,Texas Tech,1,2,25,0,12.50,"25.00
"
WR,Saki,Ekiyor,6 - 2,193,(Fr),2.5,3.5,Georgia State,11,46,565,7,12.28,"51.36
"
WR,Jermaine,Crowell,6 - 5,185,Sr,3.0,3.0,Virginia Tech,7,20,220,1,11.00,"31.43
"
WR,Pete,Gresham,6 - 2,186,(So),1.5,1.5,Duke,8,25,332,3,13.28,"41.50
"
TE,Frank,Edwards,6 - 7,248,(So),3.5,4.0,Missouri,5,17,190,2,11.18,"38.00
"
TE,Ben,Cotton,6 - 4,229,Sr,2.0,2.0,Arkansas,3,3,72,0,24.00,"24.00
"
TE,Danny,Patrick,6 - 5,223,Sr,5.0,5.0,North Carolina,12,92,1131,12,12.29,"94.25
"
WR,Lonie,Rivera,6 - 1,170,Jr,3.0,3.0,California,7,21,427,4,20.33,"61.00
"
WR,Jan,Roy,6 - 0,165,Sr,3.5,3.5,Ole Miss,12,48,635,5,13.23,"52.92
"
RB,Christopher,Spann,5 - 8,173,(Jr),2.5,2.5,Kansas State,1,1,13,0,13.00,"13.00
"
WR,Troy,Faneca,6 - 3,209,(Jr),4.0,4.0,UCF,12,31,405,2,13.06,"33.75
"
WR,Tim,Walker,6 - 3,157,Jr,3.5,3.5,Texas Tech,13,38,503,3,13.24,"38.69
"
WR,Andre,Brown,6 - 0,166,Sr,3.5,3.5,Texas A&M,4,13,197,0,15.15,"49.25
"
RB,Jeff,Collett,5 - 11,193,Jr,3.5,5.0,NC State,2,5,78,1,15.60,"39.00
"
WR,David,Joe,6 - 1,183,Jr,3.5,4.0,Clemson,11,56,651,4,11.62,"59.18
"
WR,Keith,Crowell,5 - 9,157,Jr,4.0,4.0,Minnesota,13,34,575,8,16.91,"44.23
"
WR,Douglas,Chadwick,5 - 10,182,Jr,4.0,4.5,Indiana,12,46,521,2,11.33,"43.42
"
TE,Leo,Sumter,6 - 3,230,(So),2.5,3.0,South Carolina,1,1,10,0,10.00,"10.00
"
WR,Richard,Frazier,5 - 8,181,Sr,5.0,5.0,Iowa,14,100,1266,9,12.66,"90.43
"
WR,James,James,5 - 11,168,Sr,2.5,2.5,SMU,11,27,422,2,15.63,"38.36
"
TE,Denario,Jackson,6 - 1,219,So,3.0,4.0,Pittsburgh,9,38,509,9,13.39,"56.56
"
WR,David,Singh,6 - 6,186,(Sr),2.5,2.5,Kansas State,1,2,20,0,10.00,"20.00
"
TE,Scott,Brown,6 - 1,250,(Sr),4.5,4.5,Stanford,10,52,557,5,10.71,"55.70
"
WR,Darrell,George,6 - 6,187,Sr,3.0,4.0,Louisville,12,41,561,5,13.68,"46.75
"
RB,Michael,Shoemaker,6 - 0,187,Jr,5.0,5.0,Northwestern,1,3,20,0,6.67,"20.00
"
TE,Samuel,Mulberry,6 - 1,233,So,3.0,3.0,Houston,2,6,53,1,8.83,"26.50
"
TE,Kendall,Brandon,6 - 6,240,(Jr),4.0,4.0,Georgia Tech,6,34,322,6,9.47,"53.67
"
WR,Kerry,Cooley,5 - 11,210,(Jr),2.5,2.5,Oregon State,1,4,53,0,13.25,"53.00
"
WR,Alexei,Maslowski,5 - 11,188,(Fr),2.5,3.5,Michigan State,6,9,107,0,11.89,"17.83
"
WR,Kevin,Branch,6 - 5,187,(Jr),5.0,5.0,Mississippi State,11,71,1106,10,15.58,"100.55
"
TE,Craig,White,6 - 0,221,(Jr),2.0,2.0,Northwestern,2,3,33,0,11.00,"16.50
"
WR,John,Fiedler,6 - 4,179,(So),3.5,3.5,Wisconsin,13,57,1087,14,19.07,"83.62
"
WR,Kenny,Cross,6 - 1,179,(Sr),4.5,4.5,BYU,13,46,666,7,14.48,"51.23
"
RB,Adrian,Robinson,5 - 11,203,So,3.0,4.5,Houston,6,19,304,4,16.00,"50.67
"
TE,Quentin,McCullough,6 - 7,240,Jr,4.5,4.5,Clemson,9,51,630,7,12.35,"70.00
"
WR,Glenn,Franckowiak,6 - 0,201,Sr,4.5,4.5,Nebraska,12,25,322,2,12.88,"26.83
"
WR,Ron,Crouse,5 - 9,177,Jr,4.0,4.0,UCLA,9,28,400,2,14.29,"44.44
"
WR,Chris,Betts,5 - 8,162,Sr,3.0,3.0,Michigan State,10,18,246,0,13.67,"24.60
"
WR,Keith,Setzer,6 - 2,213,So,2.5,4.5,Boise State,2,7,81,2,11.57,"40.50
"
WR,Alvin,Robinson,6 - 3,171,(Sr),3.0,3.0,Hawaii,5,19,188,0,9.89,"37.60
"
WR,Charles,Corbett,6 - 6,206,(So),3.0,3.0,San Diego State,12,28,396,4,14.14,"33.00
"
WR,Jerome,Smith,5 - 11,220,So,3.5,4.0,Air Force,11,32,641,4,20.03,"58.27
"
TE,Charles,Williams,6 - 8,231,(So),3.5,4.0,Maryland,8,18,215,1,11.94,"26.88
"
RB,James,Harris,5 - 9,198,(Sr),4.0,4.0,Oregon State,2,8,93,1,11.62,"46.50
"
WR,Jeffrey,McNeill,5 - 9,195,Jr,2.0,2.5,Illinois,9,19,216,1,11.37,"24.00
"
TE,Walt,Trainor,6 - 0,221,(Fr),3.0,3.5,UCF,7,14,217,2,15.50,"31.00
"
WR,Tory,Abraham,6 - 0,195,(Sr),4.0,4.0,Oregon,13,38,592,7,15.58,"45.54
"
TE,Bobby,Smith,6 - 6,228,Sr,2.5,2.5,Texas Tech,10,30,376,6,12.53,"37.60
"
TE,Kelly,Littleton,6 - 3,239,(Jr),4.5,5.0,Auburn,5,13,174,2,13.38,"34.80
"
WR,Clarence,Tran,6 - 2,227,Fr,1.0,3.5,Kentucky,2,3,58,0,19.33,"29.00
"
TE,Robert,Kelley,6 - 4,261,Fr,1.5,4.0,Penn State,1,1,10,1,10.00,"10.00
"
WR,Robert,Friedman,5 - 9,183,(Sr),3.5,3.5,Mississippi State,10,36,507,5,14.08,"50.70
"
WR,Mark,McAdoo,6 - 1,176,(Jr),3.0,3.0,Virginia,11,74,840,5,11.35,"76.36
"
WR,Carl,Irvin,6 - 6,190,Jr,3.5,3.5,Mississippi State,7,18,229,2,12.72,"32.71
"
WR,John,Sheldon,6 - 2,186,(Jr),3.0,3.5,Nevada,10,30,426,3,14.20,"42.60
"
WR,Warley,Fisher,6 - 5,161,So,2.0,2.0,LSU,5,16,188,1,11.75,"37.60
"
WR,Alfredo,Martin,5 - 11,174,So,1.5,3.5,Nevada,2,3,44,0,14.67,"22.00
"
WR,Markus,Hill,5 - 10,194,(Fr),3.0,3.0,Notre Dame,3,6,96,0,16.00,"32.00
"
WR,Anthony,McCardell,6 - 1,186,(Jr),4.5,4.5,Clemson,11,87,1246,12,14.32,"113.27
"
FB,Thomas,Curry,5 - 11,209,(Jr),3.0,3.0,Cincinnati,1,1,18,0,18.00,"18.00
"
WR,Malcolm,Larsen,5 - 11,181,Jr,3.5,3.5,Tennessee,13,47,701,7,14.91,"53.92
"
WR,Bob,Armour,5 - 9,165,(Jr),4.0,4.0,Oklahoma,11,36,510,3,14.17,"46.36
"
WR,Reggie,Sayers,5 - 11,205,(So),4.0,4.0,Washington,11,39,625,7,16.03,"56.82
"
WR,Cotton,Lewis,6 - 1,182,(Jr),5.0,5.0,Auburn,13,56,961,13,17.16,"73.92
"
WR,T.J.,Hunter,6 - 3,177,Jr,2.5,2.5,Virginia,11,63,699,3,11.10,"63.55
"
WR,Dan,Murphy,6 - 1,196,(Fr),3.0,4.0,Iowa,1,3,29,1,9.67,"29.00
"
WR,Bill,Hardy,5 - 11,190,(Jr),5.0,5.0,California,13,55,939,7,17.07,"72.23
"
TE,Oscar,Fisk,6 - 8,245,(So),4.0,5.0,Washington,9,30,370,3,12.33,"41.11
"
WR,Jamie,Mitchell,6 - 3,183,(Sr),3.5,3.5,Kentucky,13,44,511,5,11.61,"39.31
"
WR,Christopher,Johnson,6 - 1,173,(Sr),4.5,4.5,Virginia Tech,12,37,612,1,16.54,"51.00
"
TE,Victor,Stover,6 - 2,250,Fr,1.5,3.5,Indiana,9,14,169,1,12.07,"18.78
"
WR,Tommy,Boiman,6 - 6,154,Jr,3.5,4.0,Oklahoma State,10,35,424,1,12.11,"42.40
"
WR,Gene,Schweickert,6 - 1,185,Jr,2.5,2.5,Rice,10,35,415,0,11.86,"41.50
"
WR,Kenneth,McFarland,5 - 11,184,Sr,3.5,3.5,Arizona,9,31,410,3,13.23,"45.56
"
WR,Marion,Reeder,5 - 11,210,Sr,4.5,4.5,Nebraska,12,20,271,2,13.55,"22.58
"
TE,Arthur,Thomas,6 - 2,239,Sr,3.5,3.5,Baylor,12,29,356,1,12.28,"29.67
"
WR,J.R.,Brumm,6 - 2,182,Jr,3.5,3.5,Arizona State,6,10,91,1,9.10,"15.17
"
WR,Samari,Clack,6 - 4,206,(Sr),3.0,3.0,Georgia,5,13,173,2,13.31,"34.60
"
TE,Tony,Thomas,6 - 3,229,Jr,3.5,3.5,Kansas,9,22,330,4,15.00,"36.67
"
RB,Rasheed,Kent,6 - 1,205,Sr,4.5,4.5,Minnesota,1,3,32,1,10.67,"32.00
"
TE,Benjamin,Carter,6 - 4,225,Jr,2.5,3.5,ECU,11,40,624,8,15.60,"56.73
"
RB,Robert,Lewis,5 - 10,172,Jr,3.0,3.0,Pittsburgh,1,1,12,1,12.00,"12.00
"
WR,Bob,Wade,5 - 11,196,Jr,2.0,2.0,Wake Forest,1,2,41,0,20.50,"41.00
"
TE,John,Perez,6 - 4,217,Jr,4.0,4.0,Iowa State,8,18,199,1,11.06,"24.88
"
RB,Jose,Melendez,5 - 11,186,(Jr),2.5,3.0,Fresno State,1,3,30,1,10.00,"30.00
"
TE,Eddie,Givens,6 - 3,206,Jr,2.5,2.5,UCF,2,5,47,0,9.40,"23.50
"
WR,Steve,Lucier,6 - 1,200,Jr,3.5,3.5,Boise State,8,32,408,3,12.75,"51.00
"
WR,Mike,Miller,6 - 5,177,Jr,3.5,3.5,NC State,7,33,445,3,13.48,"63.57
"
WR,Samuel,Jolley,6 - 2,218,So,2.5,5.0,Houston,13,50,774,8,15.48,"59.54
"
WR,Kelly,Sanchez,6 - 0,208,Sr,2.5,2.5,Army,5,9,138,1,15.33,"27.60
"
WR,David,Brown,6 - 4,172,Jr,2.5,3.5,Nevada,10,22,311,1,14.14,"31.10
"
RB,Chris,Bell,6 - 3,198,(Fr),2.5,5.0,Navy,1,1,15,0,15.00,"15.00
"
WR,Chris,Cooper,11 - May,172,(Jr),3.0,3.0,Colorado,12,30,434,3,14.47,"36.17
"
WR,Jamaal,Brown - Sanderson,73,211,Fr,1.0,4.5,Penn State,10,32,497,6,15.53,"49.70
"
TE,Stephen,Coble,6 - 6,247,(Sr),2.5,2.5,Army,4,9,109,1,12.11,"27.25
"
WR,Joshua,Reynolds,6 - 1,159,So,2.0,2.0,West Virginia,5,11,128,0,11.64,"25.60
"
TE,Alexander,Engelberger,6 - 4,221,Jr,3.0,3.0,Oregon,2,4,46,1,11.50,"23.00
"
TE,Anthony,Bagley,6 - 3,222,Sr,2.5,2.5,Kansas State,2,3,34,0,11.33,"17.00
"
WR,Michael,Chambers,5 - 10,185,Jr,3.0,3.0,Iowa State,12,36,555,6,15.42,"46.25
"
WR,Frank,Parks,6 - 5,198,(Sr),3.0,3.0,California,8,24,312,0,13.00,"39.00
"
WR,Cameron,Whelahan,6 - 4,211,So,2.5,4.5,Arkansas,7,33,448,4,13.58,"64.00
"
WR,James,Montgomery,6 - 1,161,Fr,2.0,4.0,Florida State,4,12,147,2,12.25,"36.75
"
TE,Tony,Huff,6 - 4,225,Jr,5.0,5.0,Georgia,12,39,537,7,13.77,"44.75
"
WR,Marcus,Ratterman,6 - 4,190,(Fr),2.5,5.0,Hawaii,13,69,898,8,13.01,"69.08
"
TE,Ethan,Bridges,6 - 3,224,Jr,2.5,3.0,Utah,6,13,149,0,11.46,"24.83
"
TE,Cookie,Lewis,6 - 6,230,Sr,3.5,3.5,Alabama,1,1,5,1,5.00,"5.00
"
WR,George,Lewis,5 - 11,181,(So),4.0,5.0,UCLA,10,39,545,3,13.97,"54.50
"
RB,Mike,Latta,6 - 0,209,(So),5.0,5.0,Florida State,5,15,209,2,13.93,"41.80
"
WR,David,Odle,6 - 1,181,(Jr),4.0,4.0,Michigan,11,34,405,4,11.91,"36.82
"
WR,Will,Allen,5 - 10,183,So,2.5,2.5,Auburn,1,2,6,1,3.00,"6.00
"
WR,Bob,Standlee,6 - 6,163,Sr,5.0,5.0,Georgia,13,33,474,2,14.36,"36.46
"
WR,Victor,Ramsey,5 - 11,170,(So),3.0,3.0,North Carolina,2,6,82,2,13.67,"41.00
"
WR,Ralph,Johnson,6 - 5,213,Sr,3.0,3.0,Connecticut,12,32,357,0,11.16,"29.75
"
FB,Marq,Walsh,6 - 1,229,(Jr),5.0,5.0,Washington,1,1,24,0,24.00,"24.00
"
TE,Kavika,Russell,6 - 1,223,(So),3.5,4.0,Oklahoma,4,7,109,2,15.57,"27.25
"
WR,Kenneth,Garcia,6 - 3,161,Fr,2.5,3.0,Georgia State,8,19,230,0,12.11,"28.75
"
WR,Brendan,Hevesy,6 - 4,180,(Fr),2.5,3.0,Georgia Tech,7,31,355,1,11.45,"50.71
"
FB,Joe,Taylor,6 - 2,220,Jr,3.5,3.5,UCF,1,1,13,0,13.00,"13.00
"
TE,Josh,Peller,6 - 1,231,(Fr),3.0,4.0,San Diego State,8,17,191,1,11.24,"23.88
"
TE,Jason,Gibson,1 - Jun,223,Jr,3.0,3.5,Colorado,9,15,206,4,13.73,"22.89
"
WR,Artemio,Ramirez,6 - 1,171,Fr,2.5,5.0,Oregon,12,24,368,4,15.33,"30.67
"
WR,George,Humphries,6 - 4,177,(Jr),3.5,4.0,West Virginia,13,39,507,6,13.00,"39.00
"
WR,Francisco,Gibson,6 - 1,216,Fr,2.0,5.0,Washington,1,2,12,1,6.00,"12.00
"
WR,Quintavius,Pearson,6 - 0,196,So,2.5,4.5,Louisville,9,32,455,4,14.22,"50.56
"
TE,Santana,Sellers,6 - 6,240,(So),4.0,4.0,Michigan State,9,18,215,1,11.94,"23.89
"
WR,Jeremy,Finney,5 - 10,154,So,2.0,2.5,South Carolina,1,2,18,0,9.00,"18.00
"
RB,Bobby,Dodd,6 - 0,181,Sr,3.0,3.0,Wake Forest,3,5,71,1,14.20,"23.67
"
WR,Eddie,McFadden,6 - 4,163,Jr,5.0,5.0,Baylor,12,37,467,1,12.62,"38.92
"
WR,Kelvin,Harris,6 - 1,178,Jr,2.5,3.0,UCF,10,16,234,0,14.62,"23.40
"
WR,Patrick,Burke,6 - 4,165,Jr,5.0,5.0,Auburn,12,42,635,7,15.12,"52.92
"
RB,Rickie,Baird,5 - 11,171,Sr,5.0,5.0,Cincinnati,2,2,35,1,17.50,"17.50
"
WR,Tim,Baldacci,6 - 0,193,Jr,3.0,3.0,LSU,12,47,647,5,13.77,"53.92
"
WR,Ron,Rattay,5 - 11,186,(Sr),3.5,3.5,West Virginia,13,35,400,5,11.43,"30.77
"
WR,Dick,Schwedes,5 - 9,196,(Sr),2.0,2.0,Minnesota,1,1,23,0,23.00,"23.00
"
FB,Greg,Le,5 - 11,221,Sr,3.0,3.0,Rice,1,1,6,1,6.00,"6.00
"
WR,Marcus,Erickson,6 - 6,167,Sr,3.5,3.5,South Carolina,12,26,328,2,12.62,"27.33
"
WR,Larry,Clark,5 - 11,201,(Jr),3.0,3.0,Kansas,11,29,384,3,13.24,"34.91
"
QB,Adrian,Jenkins,6 - 1,188,So,3.0,4.0,Fresno State,1,1,27,1,27.00,"27.00
"
WR,Sonny,Beckett,6 - 6,188,(Jr),5.0,5.0,Miami,12,39,666,4,17.08,"55.50
"
WR,Harry,Whiteside,6 - 5,169,(So),4.0,5.0,Texas,13,28,401,3,14.32,"30.85
"
RB,Kendrick,Graham,5 - 8,197,(Sr),3.0,3.0,California,1,3,34,1,11.33,"34.00
"
TE,Rick,Philcox,6 - 2,221,Jr,4.5,4.5,Miami,6,12,146,0,12.17,"24.33
"
TE,Chris,Cano,6 - 2,242,(Fr),2.0,2.5,Vanderbilt,6,17,179,2,10.53,"29.83
"
WR,Harold,Rice,6 - 2,169,Fr,2.5,2.5,Navy,8,17,244,0,14.35,"30.50
"
WR,Frisman,Edelman,6 - 2,169,(So),3.5,3.5,Arkansas,12,54,846,9,15.67,"70.50
"
WR,Dale,Villa,6 - 5,218,Fr,2.5,4.0,Vanderbilt,13,40,582,8,14.55,"44.77
"
TE,Derrick,Wuerffel,6 - 3,239,Sr,3.5,4.0,USC,2,3,36,1,12.00,"18.00
"
TE,Nate,Blue,6 - 2,239,Sr,5.0,5.0,Notre Dame,8,32,382,3,11.94,"47.75
"
WR,Marty,Hoover,5 - 9,195,(Fr),2.5,2.5,NC State,1,4,53,1,13.25,"53.00
"
WR,Garret,Clark,6 - 1,188,Sr,3.0,3.0,New Mexico,12,39,488,6,12.51,"40.67
"
RB,George,Rodgers,6 - 0,182,(Jr),3.0,4.0,LSU,1,2,31,1,15.50,"31.00
"
WR,Brent,Jones,6 - 4,177,So,1.5,2.5,UCLA,1,3,37,0,12.33,"37.00
"
WR,Jason,Cornelius,5 - 11,179,(So),3.0,3.5,Rutgers,3,7,74,1,10.57,"24.67
"
WR,Lee,Lowe,6 - 6,180,(Sr),4.5,4.5,Utah,12,36,585,5,16.25,"48.75
"
WR,Curtis,Settles,6 - 0,207,So,3.0,5.0,Penn State,12,39,566,4,14.51,"47.17
"
WR,Willie,Davis,6 - 5,165,Jr,5.0,5.0,Missouri,10,51,804,7,15.76,"80.40
"
RB,Charles,Watkins,5 - 10,184,(Jr),4.5,4.5,Rutgers,1,1,20,1,20.00,"20.00
"
TE,Dorne,McMillan,6 - 1,231,Sr,3.5,3.5,Syracuse,5,13,148,2,11.38,"29.60
"
WR,Kendall,Hartings,6 - 4,195,(Fr),2.0,3.0,Army,1,2,26,1,13.00,"26.00
"
WR,Gordon,Kleinsasser,6 - 6,200,Jr,4.5,5.0,Michigan,12,45,558,2,12.40,"46.50
"
WR,Arnold,Gardner,6 - 0,208,Sr,3.0,3.0,Colorado State,12,76,836,8,11.00,"69.67
"
WR,Charles,Garcia,72,166,Fr,1.5,4.0,Miami,1,1,29,0,29.00,"29.00
"
WR,Carlo,Alvarez,6 - 1,195,(Sr),3.5,3.5,Northwestern,8,14,183,1,13.07,"22.88
"
