 Position 
ATH,Jackson,Gibson,76,240,2018,Run Blocking,3.0,5.0,Auburn,7,22,350,5,15.91
1,2,17,1,8.50,219,RB,Donte,Pringle,67,Fr,Power,2.5,2.5,Ole Miss
2018,2,6,113,2,67,"
",RB,Logan,Pruitt,232,Jr,Power,4.5,4.5
North Carolina,2018,4,10,116,Rambo,11.60,"
",RB,Don,76,198,(Sr),Power,3.0
3.0,Utah,2018,1,3,Ricardo,1,9.67,"
",RB,Reed,69,201,Sr,Power
5.0,5.0,Connecticut,2018,1,RB,28,0,14.00,"
",K.J.,Richards,71,229,(Sr)
Speed,4.0,4.0,Minnesota,2018,"
",14,202,5,14.43,RB,Justin,Samuels,76,187
(Sr),Power,4.0,4.0,Fresno State,11.94,6,17,203,6,"
",RB,Terry,Saunders,70
194,(Jr),Speed,1.5,2.0,0,2018,2,4,49,12.25,"
",RB,Brian,Schlichter
71,206,(Sr),Power,4.5,41,Colorado,2018,1,3,1,13.67,"
",RB,William
Serrano,69,187,(So),Speed,2,2.0,Charlotte,2018,1,24,0,12.00,"
",RB
Jerome,Shafer,68,225,Sr,3,3.5,3.5,Virginia,2018,9,118,4,13.11,"
"
RB,C.J.,Sheffield,71,192,2018,Power,5.0,5.0,Purdue,1,2,18,1,9.00
"
",RB,Josh,Shiancoe,74,UCLA,(Sr),Power,5.0,5.0,2018,2,3,39,1
13.00,"
",RB,Gabriel,Shields,4.0,176,(Fr),Speed,2.0,Western Michigan,2018,3,7,93
1,13.29,"
",RB,Jared,4.5,68,191,(Sr),Speed,4.5,BYU,2018,2,6
68,2,11.33,"
",RB,Power,Sowell,75,194,(Sr),5.0,5.0,Wisconsin,2018,3
7,110,1,15.71,"
",So,Jamal,Suggs,66,196,Power,1.5,3.5,Utah State,2018
1,3,28,1,9.33,231,RB,Larry,Sullivan,72,(Jr),Power,3.5,3.5,Northwestern
2018,3,12,132,2,73,"
",RB,Troy,Tanner,191,(So),Speed,3.5,4.0
Wyoming,2018,1,4,41,Taylor,10.25,"
",RB,Josh,70,178,Sr,Power,4.5
4.5,USF,2018,1,3,Preston,1,15.67,"
",RB,Tolliver,73,216,So,Power
4.0,4.0,Tulane,2018,1,RB,58,0,11.60,"
",Ernest,Tomlinson,73,193,(So)
Speed,3.5,4.5,USF,2018,"
",2,40,0,20.00,RB,Omar,Triplett,72,200
Fr,Speed,2.5,3.5,Oregon,10.00,1,2,20,0,"
",RB,Xavier,Valentine,68
174,Fr,Speed,3.0,4.5,1,2018,1,2,42,21.00,"
",RB,Stephen,Waters
67,198,(Jr),Power,4.0,83,Vanderbilt,2018,2,7,2,11.86,"
",RB,Marcus
Williams,70,219,(Jr),Speed,7,5.0,Nebraska,2018,3,77,3,11.00,"
",RB
Nathan,Wilson,68,224,(Jr),3,4.5,5.0,Alabama,2018,10,192,3,19.20,"
"
RB,Nate,Wooten,67,220,2018,Power,3.0,3.5,Rice,2,6,78,2,13.00
"
",RB,Mamadou,Wynn,73,Buffalo,So,Power,4.0,4.0,2018,4,9,125,2
13.89,"
",TE,Derick,Aguirre,4.0,208,(Fr),Run Blocking,2.5,Temple,2018,8,23,286
5,12.43,"
",TE,Abraham,4.0,74,216,(Sr),Run Blocking,4.0,Navy,2018,3,9
110,2,12.22,"
",TE,Run Blocking,Allen,72,242,(Jr),3.5,3.5,Vanderbilt,2018,2
3,30,1,10.00,"
",(Jr),Elias,Allen,76,261,Run Blocking,3.5,3.5,Oregon State,2018
1,1,8,1,8.00,219,TE,Eric,Anderson,75,(Jr),Run Blocking,3.5,3.5,Wyoming
2018,10,38,432,1,79,"
",TE,Kerry,Armstead,252,Sr,Run Blocking,2.5,2.5
Navy,2018,3,6,42,Arnold,7.00,"
",TE,Floyd,74,233,(Jr),Pass Blocking,4.0
4.5,Colorado State,2018,5,30,Marlon,5,9.60,"
",TE,Barkley,74,239,(Fr),Run Blocking
2.5,3.0,Toledo,2018,10,TE,479,8,14.52,"
",Jason,Barnes,72,225,(Sr)
Pass Blocking,3.0,3.0,Texas A&M,2018,"
",6,84,1,14.00,TE,Matthew,Barone,74,216
So,Run Blocking,2.0,3.0,New Mexico,13.56,9,41,556,8,"
",TE,Arturo,Barrios,74
218,Jr,Run Blocking,3.5,4.0,6,2018,9,26,358,13.77,"
",TE,Michael,Baxter
77,240,(Jr),Pass Blocking,4.5,370,Houston,2018,6,28,6,13.21,"
",TE,Brian
Becker,75,216,Jr,Pass Blocking,38,4.0,Connecticut,2018,9,580,8,15.26,"
",TE
Chance,Billingsley,75,224,So,4,4.0,5.0,Fresno State,2018,25,277,3,11.08,"
"
TE,Ahmed,Bland,75,234,2018,Run Blocking,2.5,4.0,Texas Tech,8,38,565,8,14.87
"
",TE,Darrell,Boyd,76,Texas,(Jr),Run Blocking,3.5,3.5,2018,1,2,18,1
9.00,"
",TE,Stephen,Brown,2.5,221,(Sr),Run Blocking,2.5,Tulane,2018,5,11,172
3,15.64,"
",TE,Carter,2.5,74,208,So,Pass Blocking,3.0,Syracuse,2018,1,1
5,1,5.00,"
",TE,Pass Blocking,Bull,77,200,(So),3.0,4.0,Iowa,2018,4
10,179,1,17.90,"
",(So),Jasiah,Burden,74,224,Run Blocking,2.5,3.0,Ole Miss,2018
9,28,355,3,12.68,239,TE,Michael,Callahan,73,(Jr),Pass Blocking,2.5,3.0,FIU
2018,11,28,320,2,75,"
",TE,Kameron,Cannon,210,(So),Pass Blocking,3.0,3.5
UCF,2018,1,2,29,Cantu,14.50,"
",TE,Eduardo,73,237,(Fr),Run Blocking,2.0
4.0,Washington State,2018,9,29,Jeremiah,8,13.93,"
",TE,Carrillo,74,234,(So),Run Blocking
2.5,3.5,Virginia,2018,2,TE,64,1,16.00,"
",Bryce,Carroll,76,236,Sr
Pass Blocking,1.5,1.5,UTSA,2018,"
",2,27,0,13.50,TE,Shane,Christy,74,215
(So),Run Blocking,2.5,3.0,Army,14.00,9,26,364,4,"
",TE,Leonard,Cortez,77
233,So,Run Blocking,1.5,2.5,0,2018,2,2,8,4.00,"
",TE,Joseph,Counts
74,232,(Jr),Pass Blocking,3.5,264,Memphis,2018,8,23,5,11.48,"
",TE,Luis
Covarrubias,74,234,Jr,Run Blocking,2,3.5,Nevada,2018,1,23,0,11.50,"
",TE
Kenneth,Crenshaw,74,223,Jr,8,3.0,4.0,ECU,2018,24,321,5,13.38,"
"
TE,Juan,Crow,73,247,2018,Run Blocking,3.0,3.0,UCLA,1,2,16,1,8.00
"
",TE,Alex,Dareus,74,Illinois,(Sr),Run Blocking,3.5,3.5,2018,3,7,73,0
10.43,"
",TE,Dewayne,Davis,4.0,219,So,Pass Blocking,2.0,Louisiana Tech,2018,10,45,558
4,12.40,"
",TE,Sal,4.0,77,247,(Sr),Pass Blocking,4.0,Florida,2018,4,22
283,5,12.86,"
",TE,Run Blocking,Dodson,78,227,Jr,3.0,3.0,Bowling Green,2018,5
16,177,2,11.06,"
",(So),Tyler,Dotson,77,210,Pass Blocking,2.5,4.0,Notre Dame,2018
4,10,124,1,12.40,198,TE,Isiah,Dudley,75,(Fr),Pass Blocking,2.0,3.0,Central Michigan
2018,6,20,276,3,74,"
",TE,Jeffrey,Dupree,215,(So),Run Blocking,3.0,4.0
Wisconsin,2018,5,13,187,Eaton,14.38,"
",TE,Sylvester,76,250,(Jr),Run Blocking,2.5
3.5,Texas Tech,2018,1,2,Gary,1,9.50,"
",TE,Eaves,76,222,(Jr),Run Blocking
3.0,3.0,Fresno State,2018,2,TE,72,2,14.40,"
",Kristian,Echols,73,226,Jr
Run Blocking,3.0,3.0,Clemson,2018,"
",2,40,1,20.00,TE,Floyd,Ellison,77,223
(Jr),Pass Blocking,2.5,2.5,Central Michigan,12.50,1,4,50,0,"
",TE,Qio,Esera,75
235,Jr,Run Blocking,2.5,2.5,0,2018,2,6,55,9.17,"
",TE,Israel,Flood
72,235,(So),Run Blocking,3.0,95,California,2018,3,7,1,13.57,"
",TE,Martin
Flores,76,247,(Jr),Run Blocking,25,4.0,Florida State,2018,7,324,5,12.96,"
",TE
Chu'a,Foreman,76,193,(Fr),7,2.0,3.5,Oklahoma State,2018,19,244,2,12.84,"
"
TE,Nathan,Fournier,77,253,2018,Run Blocking,3.5,3.5,Georgia Tech,10,43,593,5,13.79
"
",TE,Shannon,Frank,75,USF,So,Pass Blocking,2.0,3.0,2018,9,27,344,2
12.74,"
",TE,Kai,Freeman,3.0,190,So,Pass Blocking,2.5,Ball State,2018,2,5,65
0,13.00,"
",TE,James,4.0,72,239,Sr,Pass Blocking,4.0,Oregon State,2018,7,33
405,2,12.27,"
",TE,Run Blocking,Garvin,73,236,(So),3.0,4.0,LSU,2018,5
24,298,5,12.42,"
",(Jr),Frank,Goff,76,231,Run Blocking,3.5,4.0,Tulsa,2018
10,42,603,7,14.36,239,TE,Hunter,Goodson,74,(Jr),Run Blocking,4.0,4.0,Pittsburgh
2018,10,50,638,13,76,"
",TE,William,Graves,238,(Jr),Pass Blocking,3.5,3.5
BYU,2018,1,3,40,Greenwood,13.33,"
",TE,Marius,74,228,(Sr),Run Blocking,4.5
4.5,South Carolina,2018,7,21,Jonathan,2,14.24,"
",TE,Greer,74,217,(So),Run Blocking
3.5,5.0,Virginia,2018,6,TE,382,5,11.94,"
",Clifford,Guevara,76,234,(Jr)
Pass Blocking,3.5,3.5,Northwestern,2018,"
",34,417,5,12.26,TE,Ronald,Harrington,75,260
Sr,Run Blocking,2.5,2.5,Minnesota,5.00,1,1,5,1,"
",TE,Danny,Harris,76
229,Jr,Pass Blocking,2.5,2.5,4,2018,4,13,132,10.15,"
",TE,Howard,Hart
74,229,(Jr),Run Blocking,3.0,417,Kentucky,2018,7,35,7,11.91,"
",TE,Ibrahim
Herbert,75,191,(So),Pass Blocking,15,4.0,Colorado,2018,6,217,6,14.47,"
",TE
C.J.,Hickman,72,231,(So),8,3.5,4.5,Washington,2018,34,431,5,12.68,"
"
TE,Thomas,Hicks,76,221,2018,Run Blocking,1.0,2.0,Western Kentucky,2,3,30,0,10.00
"
",TE,Erasmus,High,72,Alabama,(Sr),Run Blocking,5.0,5.0,2018,8,32,449,5
14.03,"
",TE,Gary,Hill,4.0,258,(Jr),Pass Blocking,4.0,USC,2018,9,44,632
12,14.36,"
",TE,Hector,1.0,76,226,(Fr),Pass Blocking,2.5,UNLV,2018,1,3
37,0,12.33,"
",TE,Pass Blocking,Hills,74,206,Fr,3.0,5.0,Kansas,2018,9
32,502,6,15.69,"
",(Jr),Jim,Ho,76,244,Pass Blocking,1.5,2.0,Charlotte,2018
10,28,315,3,11.25,191,TE,Shawn,Holley,73,So,Pass Blocking,3.0,3.0,Cincinnati
2018,5,9,91,0,73,"
",TE,Joseph,Holloman,214,Sr,Run Blocking,2.5,2.5
Marshall,2018,10,33,394,Holloway,11.94,"
",TE,Vincent,75,256,Sr,Run Blocking,3.0
3.0,South Carolina,2018,1,1,Will,0,24.00,"
",TE,Holly,74,237,(Sr),Run Blocking
4.5,4.5,UTEP,2018,10,TE,381,2,16.57,"
",Makai,Horne,73,239,So
Pass Blocking,2.0,3.0,Miami (OH),2018,"
",25,329,3,13.16,TE,Stanley,Hutton,75,247
Sr,Run Blocking,2.5,2.5,Cincinnati,16.00,1,1,16,0,"
",TE,Chris,Irizarry,75
203,(So),Pass Blocking,2.5,4.0,2,2018,3,13,157,12.08,"
",TE,Christopher,Jackson
73,226,(Sr),Run Blocking,2.0,28,Toledo,2018,1,2,0,14.00,"
",TE,Kristian
Jackson,73,202,(So),Pass Blocking,37,4.0,BYU,2018,11,560,8,15.14,"
",TE
Ronald,Jacobson,79,246,Sr,1,3.5,3.5,Iowa State,2018,3,55,0,18.33,"
"
TE,Emory,Johnson,79,255,2018,Pass Blocking,4.5,5.0,Northern Illinois,7,26,356,5,13.69
"
",TE,Nero,Johnson,73,Indiana,Sr,Pass Blocking,3.0,3.0,2018,1,3,38,1
12.67,"
",TE,William,Johnson,5.0,257,(Jr),Pass Blocking,5.0,Michigan State,2018,5,16,182
2,11.38,"
",TE,William,4.0,74,257,(Jr),Run Blocking,4.0,Stanford,2018,8,38
457,4,12.03,"
",TE,Run Blocking,Jones,76,258,(Jr),3.5,3.5,Michigan State,2018,1
1,5,1,5.00,"
",(Jr),Robert,Jones,76,220,Pass Blocking,2.0,2.0,Eastern Michigan,2018
3,5,59,1,11.80,218,TE,Sean,Jones,74,(Sr),Pass Blocking,3.5,3.5,Oklahoma
2018,8,27,434,5,74,"
",TE,Ibrahim,Jordan,191,Jr,Pass Blocking,3.5,3.5
Texas A&M,2018,7,37,477,Kearns,12.89,"
",TE,Jayson,76,191,So,Run Blocking,2.5
3.5,Colorado,2018,1,1,Robert,0,20.00,"
",TE,Kelley,76,261,(Jr),Run Blocking
4.0,4.0,Penn State,2018,8,TE,404,3,13.03,"
",Isaiah,Lanier,75,235,Fr
Run Blocking,2.0,3.0,Rutgers,2018,"
",2,19,1,9.50,TE,Bobby,LeBlanc,77,193
(So),Pass Blocking,3.5,4.0,Georgia State,13.53,6,19,257,3,"
",TE,Toa,Lealofi,76
193,Jr,Pass Blocking,2.5,4.0,10,2018,11,60,767,12.78,"
",TE,Eric,Lehmann
77,235,Sr,Run Blocking,2.0,36,UTEP,2018,1,3,0,12.00,"
",TE,Emanuelu
Lesa,76,196,(So),Pass Blocking,23,4.5,TCU,2018,6,310,4,13.48,"
",TE
Maurice,Malone,77,210,Jr,7,3.5,4.0,Syracuse,2018,34,361,4,10.62,"
"
TE,Steven,Maloney,77,195,2018,Pass Blocking,3.5,5.0,Texas,12,67,836,12,12.48
"
",TE,Greg,Mattingly,73,SMU,(So),Run Blocking,2.5,4.0,2018,8,22,362,5
16.45,"
",TE,Justin,Maurer,3.0,219,(Jr),Pass Blocking,2.5,Kent State,2018,6,23,240
3,10.43,"
",TE,Marquise,2.5,76,204,So,Pass Blocking,3.0,Bowling Green,2018,1,3
20,0,6.67,"
",TE,Pass Blocking,McMullin,73,231,(Fr),2.5,3.5,Ball State,2018,6
11,140,2,12.73,"
",Sr,Steven,Medina,74,256,Pass Blocking,4.0,4.0,Arizona State,2018
1,2,19,1,9.50,220,TE,Vontae,Michaels,74,(Sr),Pass Blocking,3.0,3.0,Oregon
2018,4,13,169,0,73,"
",TE,Darius,Mitchell,216,(Sr),Run Blocking,4.5,4.5
Nebraska,2018,4,16,227,Mulinu'u,14.19,"
",TE,Tanielu,74,221,So,Run Blocking,3.0
3.0,Rice,2018,5,26,David,2,11.96,"
",TE,Murray,76,243,Sr,Run Blocking
3.5,3.5,Missouri,2018,6,TE,235,3,12.37,"
",Amir,Nassib,72,229,Sr
Run Blocking,4.0,4.0,Cincinnati,2018,"
",25,309,4,12.36,TE,Bryan,Nicholson,75,236
(Jr),Pass Blocking,3.0,3.5,Western Kentucky,12.91,10,46,594,5,"
",TE,Thomas,Noel,77
209,So,Run Blocking,2.0,3.0,3,2018,11,32,445,13.91,"
",TE,Mason,Parks
73,232,(Fr),Pass Blocking,2.5,436,Nevada,2018,11,31,9,14.06,"
",TE,Jaiden
Parris,75,235,Fr,Run Blocking,29,3.5,Buffalo,2018,9,440,3,15.17,"
",TE
Charles,Paul,73,238,Jr,7,2.5,3.5,Duke,2018,16,208,2,13.00,"
"
TE,Arthur,Pearce,78,238,2018,Run Blocking,3.0,3.0,San Jose State,7,45,527,6,11.71
"
",TE,Josh,Peller,73,San Diego State,(Sr),Run Blocking,4.0,4.0,2018,7,14,167,1
11.93,"
",TE,Timothy,Perez,4.5,238,(Jr),Pass Blocking,4.5,Arizona,2018,3,9,127
2,14.11,"
",TE,Evan,4.0,75,212,Sr,Pass Blocking,4.0,North Texas,2018,6,24
223,1,9.29,"
",TE,Pass Blocking,Pickering,78,198,Jr,3.5,3.5,Vanderbilt,2018,6
17,217,3,12.76,"
",(Fr),Darnell,Pierre,73,223,Pass Blocking,3.5,4.0,Virginia Tech,2018
7,38,451,8,11.87,231,TE,Omar,Prescott,75,(So),Run Blocking,3.0,4.0,Georgia
2018,3,12,141,1,73,"
",TE,Omar,Pruitt,217,(Fr),Pass Blocking,2.0,3.0
Alabama,2018,1,2,11,Rector,5.50,"
",TE,Paul,75,243,Sr,Pass Blocking,3.5
3.5,Arkansas,2018,2,10,Omar,2,8.40,"
",TE,Redd,72,233,Jr,Run Blocking
3.0,3.0,Northwestern,2018,1,TE,5,1,5.00,"
",Cayden,Reese,75,207,(So)
Pass Blocking,3.0,5.0,Air Force,2018,"
",14,263,3,18.79,TE,Jack,Richey,78,190
So,Run Blocking,2.0,3.5,Wake Forest,11.38,7,21,239,2,"
",TE,Hastin,Rider,73
206,(Fr),Pass Blocking,2.5,5.0,4,2018,8,25,294,11.76,"
",TE,John,Riley
77,231,Jr,Pass Blocking,2.5,483,FAU,2018,9,47,3,10.28,"
",TE,Raymond
Rivera,75,253,Sr,Pass Blocking,48,4.0,Rutgers,2018,8,601,8,12.52,"
",TE
James,Robinson,76,236,Jr,1,1.5,2.5,Old Dominion,2018,1,9,0,9.00,"
"
TE,Jariel,Rosario,72,215,2018,Run Blocking,4.5,4.5,Michigan,7,26,400,6,15.38
"
",TE,Denzel,Salgado,77,West Virginia,So,Run Blocking,2.5,3.5,2018,8,30,423,3
14.10,"
",TE,Robert,Schneider,3.0,248,Sr,Pass Blocking,3.0,UTSA,2018,9,22,282
3,12.82,"
",TE,Zachary,2.0,73,226,So,Pass Blocking,3.5,Utah State,2018,1,2
20,0,10.00,"
",TE,Pass Blocking,Self,76,250,(Jr),3.5,4.0,Tennessee,2018,8
27,363,6,13.44,"
",So,Victor,Serrano,74,215,Run Blocking,2.0,2.5,Eastern Michigan,2018
6,17,198,2,11.65,260,TE,Grover,Shaffer,76,Sr,Run Blocking,3.0,3.0,Kansas State
2018,6,13,149,2,72,"
",TE,Mark,Shaw,229,Jr,Run Blocking,3.5,3.5
Mississippi State,2018,8,26,335,Sherrill,12.88,"
",TE,Oliver,75,199,So,Run Blocking,2.0
4.5,NC State,2018,8,25,Steven,7,12.48,"
",TE,Simpkins,74,196,So,Pass Blocking
2.5,2.5,Oklahoma State,2018,1,TE,22,0,11.00,"
",Winfred,Sinclair,76,224,Sr
Pass Blocking,3.0,3.0,Ohio,2018,"
",18,216,3,12.00,TE,Alberto,Smith,76,227
Jr,Run Blocking,1.5,2.5,Middle Tennessee,9.55,6,29,277,4,"
",TE,Patrick,Stehl,77
245,(Sr),Run Blocking,4.0,4.0,2,2018,8,25,308,12.32,"
",TE,Theo,Stephens
76,232,Sr,Pass Blocking,2.5,29,Georgia Tech,2018,2,3,1,9.67,"
",TE,Joseph
Stinson,78,247,Jr,Pass Blocking,10,2.0,UNLV,2018,5,103,1,10.30,"
",TE
Sean,Stinson,73,233,(So),1,3.0,4.0,Purdue,2018,1,17,1,17.00,"
"
