 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,John,Whisenhunt,6 - 3,170,R,67, - ,Green Bay,1,2,9,1,4.50,"9.00
"
WR,Jake,Bates,5 - 8,181,R,78, - ,New York Giants,12,50,692,5,13.84,"57.67
"
WR,Mario,Dickson,6 - 6,189,1,55, - ,Jacksonville,5,9,133,1,14.78,"26.60
"
TE,Will,Tensi,6 - 2,238,R,63, - ,Oakland,2,2,29,1,14.50,"14.50
"
RB,James,Bush,6 - 1,242,R,83, - ,Jacksonville,1,5,89,0,17.80,"89.00
"
WR,Sam,Salaam,6 - 3,193,1,66, - ,Baltimore,11,19,245,0,12.89,"22.27
"
RB,Shawn,Carr,6 - 0,177,1,74, - ,Baltimore,1,2,28,1,14.00,"28.00
"
RB,Quincy,Turner,6 - 1,200,R,81, - ,Detriot,1,2,31,0,15.50,"31.00
"
RB,Keena,Kane,5 - 9,180,R,72, - ,Green Bay,2,3,48,1,16.00,"24.00
"
WR,M.L.,Kriewaldt,5 - 8,170,R,78, - ,Dallas,12,38,640,7,16.84,"53.33
"
FB,Michael,Banks,6 - 2,247,R,59, - ,Oakland,1,1,5,1,5.00,"5.00
"
WR,Art,Baber,5 - 9,201,R,74, - ,Atlanta,14,56,926,9,16.54,"66.14
"
TE,Brian,Gary,6 - 6,267,R,81, - ,Oakland,11,34,471,7,13.85,"42.82
"
WR,Curley,Rivera,5 - 10,174,R,69, - ,New England,2,7,95,1,13.57,"47.50
"
WR,Rod,Woodley,6 - 2,199,1,62, - ,New York Jets,2,5,52,0,10.40,"26.00
"
RB,Fred,Preston,5 - 9,191,R,76, - ,Atlanta,1,2,31,0,15.50,"31.00
"
WR,Ken,Peelle,6 - 6,214,1,77, - ,Detriot,13,41,582,6,14.20,"44.77
"
WR,Dan,Nomellini,73,182,1,85, - ,Carolina,14,97,1395,7,14.38,"99.64
"
TE,Gary,Jones,6 - 5,238,R,79, - ,New England,14,59,782,10,13.25,"55.86
"
WR,Mike,Wiggins,5 - 9,179,1,60, - ,St. Louis,3,9,124,3,13.78,"41.33
"
TE,Vishante,Freeman,6 - 7,260,1,70, - ,Baltimore,3,6,68,0,11.33,"22.67
"
RB,Drew,Pierce,5 - 8,193,R,67, - ,New Orleans,2,5,63,1,12.60,"31.50
"
TE,Jamal,Hawkins,6 - 4,247,R,76, - ,St. Louis,14,50,689,6,13.78,"49.21
"
WR,Audray,Gabriel,6 - 2,189,1,59, - ,Miami,4,10,168,0,16.80,"42.00
"
WR,Ron,Porter,6 - 2,207,1,54, - ,New York Giants,1,2,18,1,9.00,"18.00
"
WR,Charlie,White,6 - 0,171,1,70, - ,New York Giants,3,13,199,3,15.31,"66.33
"
RB,Shaun,Evans,5 - 8,191,R,81, - ,New York Giants,3,10,107,2,10.70,"35.67
"
TE,Cameron,Duncan,6 - 3,249,R,67, - ,New Orleans,2,3,45,1,15.00,"22.50
"
WR,Ken,Brown,6 - 5,174,R,73, - ,Houston,13,30,485,2,16.17,"37.31
"
TE,Joe,Barrett,6 - 3,249,R,75, - ,New York Giants,9,33,387,3,11.73,"43.00
"
WR,Brandon,Snead,6 - 1,205,R,69, - ,Atlanta,10,36,502,5,13.94,"50.20
"
TE,Vaughn St.,Clair,6 - 2,233,R,70, - ,Cincinnati,8,24,321,4,13.38,"40.12
"
RB,Chad,Dess,6 - 1,241,R,81, - ,Green Bay,3,8,135,2,16.88,"45.00
"
RB,Don,Williams,5 - 10,226,1,84, - ,Cleveland,1,2,25,0,12.50,"25.00
"
RB,Trace,Buchanan,6 - 0,187,1,63, - ,Cleveland,1,1,19,0,19.00,"19.00
"
WR,David,Gaines,6 - 2,190,1,73, - ,St. Louis,9,36,570,7,15.83,"63.33
"
WR,Joe,Wallace,5 - 11,193,R,71, - ,Minnesota,2,3,34,0,11.33,"17.00
"
TE,Scott,Howard,6 - 6,236,R,76, - ,Baltimore,11,34,459,7,13.50,"41.73
"
WR,Paul,Godfrey,6 - 1,180,R,64, - ,New Orleans,5,11,162,0,14.73,"32.40
"
WR,Tony,Gross,6 - 4,188,R,73, - ,Indianapolis,14,37,585,5,15.81,"41.79
"
TE,Paul,Johnson,6 - 2,257,1,72, - ,Tampa Bay,10,29,368,4,12.69,"36.80
"
TE,James,Ware,6 - 8,236,R,75, - ,Dallas,1,3,39,1,13.00,"39.00
"
WR,Wesly,Anderson,6 - 0,196,R,75, - ,Jacksonville,14,42,676,4,16.10,"48.29
"
RB,Russ,Martin,72,215,R,78, - ,Carolina,1,3,29,1,9.67,"29.00
"
WR,Dean,Porter,5 - 11,188,R,69, - ,Tampa Bay,6,10,113,1,11.30,"18.83
"
TE,Obafemi,Chamberlin,6 - 6,243,1,69, - ,Houston,10,23,333,2,14.48,"33.30
"
WR,Robert,Shipp,5 - 10,168,R,68, - ,Atlanta,2,4,48,1,12.00,"24.00
"
TE,Jack,Stewart,6 - 4,227,1,64, - ,Cleveland,12,35,506,7,14.46,"42.17
"
RB,O.J.,Carano,5 - 11,217,R,81, - ,New York Jets,2,4,42,1,10.50,"21.00
"
RB,Bobby,Givan,5 - 11,188,R,80, - ,Indianapolis,1,2,24,0,12.00,"24.00
"
WR,Greg,Newman,5 - 9,168,1,83, - ,New Orleans,14,53,805,3,15.19,"57.50
"
WR,Walt,Peck,6 - 5,203,1,89, - ,St. Louis,14,78,1344,15,17.23,"96.00
"
WR,Kirk,Pierce,6 - 1,171,R,69, - ,Green Bay,4,10,103,1,10.30,"25.75
"
WR,Mike,Tripplett,6 - 3,173,R,80, - ,Oakland,14,65,1065,11,16.38,"76.07
"
TE,Derek,Harrison,6 - 1,251,1,84, - ,Miami,12,52,715,11,13.75,"59.58
"
WR,Otis,Turner,5 - 11,209,R,75, - ,Green Bay,12,33,444,5,13.45,"37.00
"
WR,Isaac,Campfield,6 - 6,168,R,63, - ,Cleveland,3,6,88,1,14.67,"29.33
"
RB,Vaughan,Abraham,5 - 10,201,1,84, - ,Dallas,3,6,69,2,11.50,"23.00
"
TE,Jim,Page,6 - 4,248,R,65, - ,Houston,3,4,37,1,9.25,"12.33
"
WR,Kurt,Hill,5 - 9,196,1,83, - ,Dallas,14,49,831,6,16.96,"59.36
"
WR,Paul,Howell,6 - 0,191,R,78, - ,Baltimore,14,43,684,3,15.91,"48.86
"
WR,Michael,Potts,6 - 1,196,R,68, - ,New York Jets,8,21,320,1,15.24,"40.00
"
TE,Spec,Davidson,6 - 2,243,1,79, - ,New Orleans,8,19,245,6,12.89,"30.62
"
TE,Ron,Jensen,6 - 2,265,R,68, - ,Atlanta,1,2,28,0,14.00,"28.00
"
TE,Bill,Jenkins,6 - 5,242,R,80, - ,Minnesota,13,46,614,9,13.35,"47.23
"
RB,Booker T.,Washington,6 - 1,208,R,70, - ,Baltimore,2,3,100,1,33.33,"50.00
"
WR,Tom,Grant,6 - 0,172,1,74, - ,New Orleans,11,29,428,3,14.76,"38.91
"
TE,Jim,Morgan,6 - 6,238,R,71, - ,New York Giants,2,2,35,1,17.50,"17.50
"
WR,Terrence,Barker,6 - 2,204,1,53, - ,New England,1,3,30,1,10.00,"30.00
"
WR,Gary,Faneca,6 - 5,189,1,84, - ,Detriot,12,41,736,6,17.95,"61.33
"
RB,James,Otero,5 - 8,191,R,80, - ,Miami,1,3,39,1,13.00,"39.00
"
RB,Dub,Spanno,6 - 0,184,1,69, - ,New York Giants,1,2,32,1,16.00,"32.00
"
WR,Ray Lee,Marconi,6 - 5,180,1,75, - ,Cleveland,11,30,447,3,14.90,"40.64
"
WR,Willie,Hodge,6 - 5,194,R,70, - ,Oakland,12,30,546,3,18.20,"45.50
"
WR,Matt,Kreutz,6 - 3,199,R,69, - ,Dallas,10,21,273,2,13.00,"27.30
"
WR,Ryan,Mitchell,5 - 11,176,R,76, - ,Cincinnati,12,46,722,5,15.70,"60.17
"
TE,Jason,Lee,6 - 1,232,1,75, - ,Indianapolis,14,36,566,7,15.72,"40.43
"
WR,Andy,Goode,6 - 2,166,R,73, - ,Indianapolis,10,20,320,1,16.00,"32.00
"
WR,Steve,Warner,6 - 2,193,R,75, - ,Cincinnati,13,32,404,2,12.62,"31.08
"
WR,Riddick,Smith,6 - 0,185,1,76, - ,Miami,15,69,1195,11,17.32,"79.67
"
WR,Billy,Williams,6 - 6,172,R,70, - ,New York Giants,10,37,466,2,12.59,"46.60
"
WR,Wayne,Wegert,6 - 5,188,1,78, - ,Green Bay,13,45,790,6,17.56,"60.77
"
WR,Brandon,Burks,6 - 5,178,R,66, - ,Oakland,5,16,202,1,12.62,"40.40
"
WR,Buddy,Heap,6 - 4,177,R,72, - ,Jacksonville,14,39,538,5,13.79,"38.43
"
TE,Preston,Gold,6 - 3,259,R,74, - ,Atlanta,10,25,320,3,12.80,"32.00
"
WR,Vaughn,Gash,6 - 3,183,1,72, - ,Houston,14,22,286,1,13.00,"20.43
"
TE,Charlie,Bryson,6 - 6,231,R,67, - ,New York Jets,1,3,43,0,14.33,"43.00
"
WR,Wesly,Anderson,6 - 0,170,1,79, - ,Cleveland,11,34,465,4,13.68,"42.27
"
TE,Ralph,Wells,6 - 6,239,1,62, - ,Cleveland,3,5,78,0,15.60,"26.00
"
TE,Wilbert,Stoutmire,6 - 2,247,1,76, - ,Detriot,9,25,322,4,12.88,"35.78
"
WR,Tommy,Furrey,6 - 6,178,1,74, - ,New England,14,57,873,7,15.32,"62.36
"
WR,Brandon,Lane,5 - 11,187,R,69, - ,Houston,2,3,9,1,3.00,"4.50
"
WR,Jason,Voigt,5 - 9,176,1,74, - ,Tampa Bay,14,29,372,0,12.83,"26.57
"
WR,Richard,Wilson,6 - 5,173,R,79, - ,Tampa Bay,12,41,781,7,19.05,"65.08
"
WR,Adrian,Tuiasosopo,6 - 1,189,R,64, - ,Detriot,7,11,178,0,16.18,"25.43
"
TE,Bernard,Taylor,6 - 1,267,1,81, - ,Green Bay,11,40,544,8,13.60,"49.45
"
TE,Kevin,Knight,6 - 8,234,1,69, - ,Indianapolis,3,4,76,1,19.00,"25.33
"
WR,Aric,Greene,6 - 0,214,R,74, - ,New England,14,52,694,5,13.35,"49.57
"
