 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
K,Steve,Abraham,6 - 1,197,(Jr),1.5,1.5,Houston,10,4,0,1,5,0,"0
"
K,Roscoe,Sanchez,5 - 9,216,(Sr),3.5,3.5,Purdue,14,3,0,0,8,3,"0
"
K,Gino,Chiaverini,6 - 3,206,So,4.0,5.0,Texas,10,0,0,0,3,6,"1
"
K,Skip,Gibson,6 - 0,178,(Jr),5.0,5.0,Georgia,9,2,0,1,2,3,"1
"
K,Nmandi,Brown,5 - 11,195,(Sr),3.0,3.0,Ohio State,7,2,0,0,2,2,"1
"
K,John,Lawson,5 - 8,186,Jr,2.0,2.0,Duke,2,0,0,0,1,1,"0
"
K,Fred,Sanford,5 - 8,170,Sr,3.5,3.5,Iowa State,9,1,0,0,4,4,"0
"
K,George,Drummond,6 - 0,204,(Fr),1.0,1.0,TCU,1,1,0,0,0,0,"0
"
K,Paul,McGowan,5 - 10,189,Sr,4.0,4.0,Mississippi State,9,1,0,0,3,5,"0
"
K,Willie,Gaffney,6 - 1,183,(So),3.5,5.0,Iowa,5,0,0,0,2,3,"0
"
K,Dennis,Clark,5 - 11,180,Fr,1.0,1.5,Florida State,1,0,0,0,1,0,"0
"
K,Robbie,Fitzpatrick,6 - 2,186,Fr,2.0,4.0,ECU,13,1,0,0,9,3,"0
"
K,Kent,Evans,5 - 9,192,(Sr),4.5,4.5,Ole Miss,6,0,0,0,3,3,"0
"
K,Stanley,Brewster,6 - 1,204,So,4.5,5.0,Pittsburgh,14,2,0,1,6,5,"0
"
K,Bernie,White,6 - 1,179,(Sr),2.5,2.5,Virginia,10,0,0,0,6,4,"0
"
K,Keith,Calhoun,6 - 3,199,Jr,2.5,3.0,Navy,7,1,0,0,6,0,"0
"
K,John,Phipps,5 - 10,179,Jr,2.0,2.0,South Carolina,1,0,0,0,1,0,"0
"
K,Michael,Cipa,5 - 9,162,So,2.5,3.0,Tennessee,7,2,0,0,3,2,"0
"
K,Erik,Senser,5 - 11,166,So,2.0,3.0,Texas Tech,4,0,0,0,1,3,"0
"
K,Henry,Williams,6 - 3,167,(Jr),3.0,3.0,Oregon State,5,0,0,0,4,1,"0
"
P,Sylvester,Word,6 - 3,192,Jr,4.0,5.0,Missouri,7,2,0,0,4,1,"0
"
K,William,Buckley,5 - 10,214,(Sr),3.5,3.5,BYU,13,1,0,1,5,6,"0
"
??,Eric,Mason,? - ??,???,(??),??,??,Texas,9,1,0,0,7,1,"0
"
K,Tom,Salave'a,6 - 4,195,So,2.5,3.5,Oklahoma State,6,0,0,0,3,2,"1
"
K,Nick,Easy,8 - May,177,(Fr),2.0,3.0,Colorado,13,1,0,1,9,2,"0
"
K,Ted,Parham,6 - 1,200,Jr,2.0,2.0,SDSU,5,1,0,0,3,1,"0
"
K,Lloyd,Williams,6 - 2,183,Sr,4.0,4.0,Washington,17,2,0,0,3,11,"1
"
K,Darryl,Lemus,5 - 10,181,(So),4.0,4.5,Northwestern,10,0,0,2,2,5,"1
"
K,Lew,Roberg,6 - 0,177,Jr,4.0,4.5,North Carolina,9,0,0,0,2,7,"0
"
K,Mitch,Hughes,5 - 11,171,Fr,1.5,4.0,NC State,15,5,0,1,7,2,"0
"
K,Ronald,Daniel,5 - 8,184,So,3.5,5.0,Baylor,11,0,0,0,4,6,"1
"
K,Ken,Stroud,6 - 2,215,Sr,1.5,1.5,Stanford,1,1,0,0,0,0,"0
"
K,Lee,Avery,5 - 11,202,Jr,3.0,3.0,UCF,4,0,0,0,3,1,"0
"
K,Ryan,Levcik,5 - 9,177,(Jr),5.0,5.0,Alabama,12,0,0,0,6,4,"2
"
K,Dennis,Scott,6 - 1,206,So,4.0,5.0,Florida State,6,0,0,0,3,3,"0
"
K,Jan - Christian,Engelhardt,6 - 2,203,Fr,2.0,3.5,Syracuse,4,0,0,0,1,3,"0
"
P,Joe,Wood,5 - 9,192,Sr,5.0,5.0,Michigan,2,1,0,0,1,0,"0
"
K,Donnie,Izzo,6 - 2,218,Sr,3.0,3.0,Auburn,6,1,0,0,3,2,"0
"
K,Chris,Scobee,5 - 11,176,Fr,1.5,2.0,Missouri,1,0,0,0,1,0,"0
"
K,Brian,Evans,5 - 9,175,So,3.5,5.0,Florida,11,0,0,0,5,6,"0
"
K,Daniel,Thompson,5 - 8,220,(Sr),2.5,2.5,Arizona,10,1,0,0,6,3,"0
"
K,Frank,McFarlane,5 - 10,197,Sr,4.0,4.0,Wisconsin,6,0,0,1,0,5,"0
"
K,Mike,Yates,5 - 10,189,(So),3.5,3.5,Louisville,7,1,0,0,3,3,"0
"
K,Daniel,Brooks,6 - 3,187,So,1.0,1.0,Cincinnati,9,4,0,0,4,1,"0
"
K,James,Call,6 - 3,192,So,2.5,2.5,Indiana,12,0,0,0,10,2,"0
"
P,Christopher,Massey,5 - 10,197,Sr,3.0,3.0,Kansas,9,1,0,1,6,1,"0
"
K,Brent,Hankton,6 - 4,215,Sr,5.0,5.0,West Virginia,6,0,0,0,0,1,"5
"
P,Bob,Keys,5 - 11,183,Sr,3.0,3.0,TCU,7,3,0,0,2,2,"0
"
K,Leonard,Parros,6 - 4,201,Sr,4.0,4.0,Oklahoma,6,0,0,0,2,4,"0
"
K,Daryl,Holmes,5 - 9,192,Sr,4.0,4.0,Michigan State,11,3,0,0,3,4,"1
"
K,Jose,Lopez,5 - 10,184,So,2.0,2.0,Kansas State,3,0,0,0,3,0,"0
"
K,Brad,Weathersby,6 - 2,204,Sr,5.0,5.0,Georgia Tech,18,1,0,0,4,8,"5
"
K,Harold,Bridges,5 - 9,189,So,2.0,2.5,Arkansas,8,0,0,0,7,1,"0
"
K,Jay,Hill,5 - 10,172,Sr,1.0,1.0,Georgia State,5,2,0,0,2,1,"0
"
P,Tommy,Brown,6 - 0,171,Sr,4.5,4.5,Minnesota,12,2,0,0,7,3,"0
"
K,Michael,Turner,5 - 10,187,Sr,4.5,5.0,Notre Dame,21,2,0,0,5,13,"1
"
K,Eric,Anderson,5 - 8,193,So,2.5,4.0,Michigan,10,1,0,0,7,2,"0
"
K,Ken,Chatman,6 - 1,172,Sr,3.5,3.5,Penn State,2,0,0,0,1,1,"0
"
K,Henry,Lane,6 - 4,180,Jr,3.0,3.5,Kentucky,10,1,0,1,6,2,"0
"
K,Chris,Hoag,6 - 2,184,So,4.0,5.0,UCLA,7,0,0,0,4,3,"0
"
K,Elijah,Little,6 - 4,205,So,2.0,2.0,Oregon,11,1,0,0,7,3,"0
"
K,Billy,Robinson,5 - 8,186,Jr,3.0,3.5,Illinois,8,2,0,0,3,3,"0
"
K,Keith,White,5 - 8,207,So,2.5,3.5,Boston College,7,0,0,0,7,0,"0
"
P,David,Quinn,5 - 10,190,(Jr),3.0,3.0,Texas Tech,6,1,0,0,3,2,"0
"
K,Richard,Watson,6 - 1,203,Sr,2.5,2.5,SMU,10,2,0,0,7,1,"0
"
