 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA ," YPG
"
QB,Derek,Keys,6 - 0,195,Sr,4.0,4.0,Penn State,12,160,253,62.61,1742,10,2,129.11,6.89,"145.17
"
QB,Erasmus,McCready,6 - 2,225,Jr,4.0,5.0,Alabama,12,210,296,71.81,2624,20,5,167.27,8.86,"218.67
"
QB,Stephen,Wilkinson,6 - 4,194,Jr,3.0,3.0,SMU,12,269,437,61.72,2834,25,6,132.96,6.49,"236.17
"
QB,Horace,Johnson,5 - 11,199,(So),3.0,4.0,Texas A&M,3,57,102,54.95,488,2,1,98.54,4.78,"162.67
"
QB,Javier,Fields,6 - 0,195,(Sr),5.0,5.0,Kentucky,12,256,364,70.04,3143,25,8,160.10,8.63,"261.92
"
QB,Sam,Armour,6 - 4,206,Sr,4.5,4.5,Georgia,12,225,364,62.52,2572,21,6,139.27,7.07,"214.33
"
??,Joseph,Bernard,? - ??,???,(??),??,??,Rutgers,4,47,108,42.86,472,0,2,75.59,4.37,"118.00
"
QB,Dick,Lewis,6 - 0,214,Sr,3.0,3.5,UCLA,11,103,187,55.18,1011,3,4,102.57,5.41,"91.91
"
QB,Nathan,Mullady,6 - 3,198,Jr,2.0,2.5,Houston,12,178,307,57.74,1842,13,3,120.22,6.00,"153.50
"
QB,Orly,Vaccaro,6 - 2,215,Fr,2.0,4.0,SDSU,8,109,156,69.28,1312,5,1,149.38,8.41,"164.00
"
QB,James,Francisco,6 - 1,177,Sr,3.5,4.5,Rutgers,8,149,245,60.56,1642,12,1,130.40,6.70,"205.25
"
QB,Ricky,Simmons,6 - 6,220,(Jr),2.5,2.5,Oklahoma State,12,148,275,53.79,1706,8,1,115.00,6.20,"142.17
"
QB,Doug,Reynolds,6 - 2,187,(So),2.5,3.5,Vanderbilt,2,23,45,53.52,265,3,2,118.61,5.89,"132.50
"
QB,C.J.,Logan,6 - 2,183,Jr,3.0,4.0,Clemson,4,122,180,68.04,1202,10,3,141.70,6.68,"300.50
"
QB,Harold,Simmons,6 - 1,180,Jr,5.0,5.0,Notre Dame,12,233,359,65.16,2848,19,3,148.14,7.93,"237.33
"
QB,Robert,Price,6 - 4,229,Sr,4.5,4.5,Oklahoma,10,267,419,64.41,2902,23,9,137.31,6.93,"290.20
"
??,Charles,Quinn,? - ??,???,(??),??,??,Texas,10,199,330,59.84,2263,19,3,134.42,6.86,"226.30
"
QB,James,Mitchell,6 - 0,214,Fr,1.5,3.5,UCF,4,24,56,43.75,237,1,0,85.54,4.23,"59.25
"
QB,Keith,Price,6 - 2,171,(So),3.5,4.0,Minnesota,12,169,243,69.70,1937,13,3,153.30,7.97,"161.42
"
QB,James,DeWitt,6 - 1,200,(Sr),2.5,2.5,Purdue,12,187,303,61.87,1953,8,3,123.32,6.45,"162.75
"
QB,Tom,Sinclair,5 - 11,182,(Sr),3.0,3.0,Georgia Tech,10,145,223,65.11,1559,5,7,125.55,6.99,"155.90
"
QB,Peter,McKee,6 - 0,186,Sr,3.0,3.0,Cincinnati,7,107,195,54.55,1280,7,2,119.58,6.56,"182.86
"
QB,Teddy,Rogers,6 - 0,192,Fr,3.0,3.0,Rice,12,308,459,67.16,3093,21,9,134.39,6.74,"257.75
"
QB,Damien,Rumph,6 - 1,198,Sr,2.5,2.5,Wake Forest,4,45,102,42.47,410,1,4,68.84,4.02,"102.50
"
QB,John,Jones,6 - 1,199,Sr,4.0,4.0,Texas,11,185,283,65.92,2045,13,9,136.29,7.23,"185.91
"
WR,Butch,Johnson,6 - 4,196,(Fr),2.0,2.5,TCU,1,1,2,50.00,18,1,0,290.60,9.00,"18.00
"
QB,Aaron,Devereaux,6 - 6,204,(So),5.0,5.0,LSU,12,252,376,67.33,3207,24,5,157.48,8.53,"267.25
"
QB,Keith,Simon,6 - 2,189,Sr,5.0,5.0,Florida,12,165,255,65.09,1825,9,3,134.53,7.16,"152.08
"
QB,Johnathan,Fowler,6 - 1,189,Sr,3.0,3.5,Texas A&M,9,124,200,62.47,1724,10,2,149.27,8.62,"191.56
"
QB,Sid,Shy,5 - 11,179,Sr,2.0,2.0,Hawaii,12,125,256,48.48,1226,5,10,87.06,4.79,"102.17
"
QB,Eric,Sowell,6 - 4,232,Sr,3.5,3.5,Washington,11,136,208,64.85,1446,7,1,132.43,6.95,"131.45
"
QB,Clifford,Abreu,6 - 2,191,(So),2.0,3.5,Air Force,12,125,215,58.94,1278,5,3,114.80,5.94,"106.50
"
QB,Jimmy,Smith,6 - 1,203,(Jr),2.5,2.5,Army,4,51,107,48.92,559,1,0,98.27,5.22,"139.75
"
QB,Thomas,Hunter,6 - 4,197,Jr,3.0,3.5,Northwestern,1,24,36,66.67,265,2,1,141.28,7.36,"265.00
"
QB,Nick,Hall,6 - 2,221,Sr,5.0,5.0,Syracuse,12,253,359,70.55,3430,26,5,171.48,9.55,"285.83
"
QB,John,Webster,6 - 2,168,So,2.5,3.0,Wake Forest,3,35,58,57.43,313,1,1,103.08,5.40,"104.33
"
QB,Todd,Lester,6 - 0,194,Jr,3.5,5.0,California,12,222,329,67.62,2721,13,3,149.31,8.27,"226.75
"
QB,Bobby,Viger,6 - 1,204,(Sr),3.5,3.5,Michigan State,12,222,348,63.89,2409,17,5,135.18,6.92,"200.75
"
QB,Ken,Eller,6 - 4,200,(So),3.5,4.5,UCLA,2,13,31,43.33,105,0,3,52.73,3.39,"52.50
"
QB,Bill,Garcia,6 - 2,220,(Jr),1.5,1.5,Georgia State,12,201,486,40.96,1670,8,22,65.56,3.44,"139.17
"
QB,Adam,Stave,6 - 4,220,Fr,2.0,4.0,Army,8,205,378,53.82,1987,10,11,99.56,5.26,"248.38
"
QB,Gary,Baldacci,5 - 11,183,(Sr),4.0,4.0,West Virginia,12,303,461,65.70,3518,23,2,145.50,7.63,"293.17
"
??,Byron,Harper,? - ??,???,(??),??,??,Texas,2,20,40,45.90,201,1,0,95.83,5.03,"100.50
"
QB,Norris,Brooksheer,6 - 3,207,(Fr),4.5,5.0,Oklahoma,2,54,78,71.03,512,4,2,138.92,6.56,"256.00
"
QB,Taylor,Heiden,6 - 3,197,Jr,4.0,4.5,Arkansas,12,293,440,67.02,3119,19,4,138.98,7.09,"259.92
"
QB,Robert,Hayes,3 - Jun,187,(Fr),2.5,3.0,Colorado,2,19,41,46.77,171,0,0,82.81,4.17,"85.50
"
QB,Derrick,Barber,6 - 1,188,(Jr),3.5,3.5,Virginia,12,153,250,61.22,1612,4,2,120.02,6.45,"134.33
"
QB,David,McKnight,6 - 0,178,Sr,3.0,3.0,Baylor,1,20,39,51.28,169,2,2,94.35,4.33,"169.00
"
QB,Erik,Wegert,6 - 4,218,(Jr),5.0,5.0,Wisconsin,12,324,481,67.32,3641,29,7,147.97,7.57,"303.42
"
QB,Julian,Webster,6 - 1,202,Sr,3.0,3.0,Boston College,12,290,478,60.48,3107,21,4,127.91,6.50,"258.92
"
QB,Jose,Kirkpatrick,5 - 11,208,(Jr),3.5,3.5,Maryland,12,216,394,55.15,2308,14,7,113.37,5.86,"192.33
"
QB,Nate,Craig,6 - 3,217,Sr,3.5,4.0,USC,12,209,298,69.66,2591,22,3,164.39,8.69,"215.92
"
QB,Harvey,Fagan,6 - 3,196,(Sr),3.0,3.0,Kansas State,12,266,440,60.41,2941,24,11,130.27,6.68,"245.08
"
QB,Charlie,Taylor,6 - 5,230,(Jr),2.5,3.5,Auburn,12,195,345,56.73,2246,15,4,124.50,6.51,"187.17
"
QB,Pat,Bostic,6 - 0,204,Sr,3.5,3.5,Nebraska,12,169,255,66.12,1956,15,4,144.89,7.67,"163.00
"
QB,Brian,Brown,6 - 4,228,Jr,5.0,5.0,Boise State,11,299,406,73.48,3732,42,5,182.43,9.19,"339.27
"
QB,Richard,Brown,6 - 0,207,(Sr),4.0,4.0,BYU,12,284,418,67.93,3029,17,1,141.77,7.25,"252.42
"
QB,Blake,Shell,6 - 5,194,Sr,5.0,5.0,Virginia Tech,12,269,409,65.84,3378,24,1,156.31,8.26,"281.50
"
QB,Steve,Bowers,6 - 5,189,So,1.5,2.5,Boise State,3,35,70,49.07,411,6,1,126.33,5.87,"137.00
"
QB,Jarius,Jones,6 - 1,205,(So),4.5,5.0,Iowa,12,329,496,66.53,3677,34,10,146.94,7.41,"306.42
"
QB,Aaron,Kotar,6 - 6,225,Sr,5.0,5.0,Ohio State,12,187,267,70.33,2552,21,2,174.55,9.56,"212.67
"
QB,Herman,Williams,6 - 5,234,Sr,3.0,3.0,Vanderbilt,10,149,238,61.93,1697,9,3,130.24,7.13,"169.70
"
QB,Ken,Kosier,6 - 0,183,Sr,3.5,4.5,Michigan,2,30,50,60.56,300,0,1,102.96,6.00,"150.00
"
QB,Kamau,Davis,6 - 2,218,(Sr),5.0,5.0,Indiana,12,278,410,67.38,3193,24,8,147.58,7.79,"266.08
"
QB,Willie,Carr,2 - Jun,210,Sr,3.0,3.0,Colorado,10,138,228,60.23,1451,8,5,119.82,6.36,"145.10
"
QB,Jeffrey,Ingram,6 - 3,202,Sr,3.5,4.0,Arizona,12,215,319,67.66,2799,21,8,158.72,8.77,"233.25
"
QB,Andre,Parker,6 - 0,184,(Sr),2.5,2.5,SDSU,4,57,119,49.53,557,2,5,89.18,4.68,"139.25
"
QB,Alfred,Spruill,6 - 0,202,Jr,2.0,3.0,Iowa State,12,177,317,55.39,1859,7,4,109.49,5.86,"154.92
"
QB,Jason,Fowler,6 - 0,205,(So),2.5,3.5,Stanford,4,68,113,59.38,802,6,1,136.73,7.10,"200.50
"
QB,Eduardo,Costa,6 - 2,200,(Sr),3.0,3.0,Navy,12,210,401,52.76,2049,11,7,101.51,5.11,"170.75
"
QB,Kevin,Moore,6 - 4,179,Sr,3.5,3.5,ECU,12,168,260,65.19,1811,11,3,137.01,6.97,"150.92
"
QB,Paul,Davenport,6 - 0,198,(Fr),4.0,5.0,Miami,12,168,249,67.49,2153,14,1,158.37,8.65,"179.42
"
QB,Justin,Hunter,6 - 0,210,Fr,2.5,4.0,Mississippi State,5,109,169,65.58,1169,8,4,136.78,6.92,"233.80
"
FB,Alex,Engram,6 - 1,252,Sr,4.0,4.0,TCU,1,1,2,50.00,8,0,1, - 16.40,4.00,"8.00
"
QB,A.J.,Jefferson,6 - 3,194,Fr,3.0,5.0,North Carolina,12,380,546,69.13,4489,39,17,154.93,8.22,"374.08
"
QB,Jasen,Broadnax,6 - 0,196,Jr,4.0,4.5,Oregon,12,201,307,65.49,2186,15,3,139.89,7.12,"182.17
"
QB,Aaron,Shaw,6 - 4,210,Sr,4.5,4.5,South Carolina,12,335,514,65.36,3585,25,4,139.70,6.97,"298.75
"
QB,Jim,Brooks,6 - 2,198,Sr,3.5,3.5,Clemson,8,113,182,61.27,1228,5,5,120.79,6.75,"153.50
"
QB,William,Patel,6 - 0,210,Sr,3.0,4.0,Northwestern,11,268,406,65.74,2998,18,3,139.77,7.38,"272.55
"
QB,Jasen,Warlick,6 - 3,223,(Sr),4.0,4.0,Tennessee,1,4,8,50.00,60,1,0,154.25,7.50,"60.00
"
QB,DeSean,Jenkins,6 - 4,195,Fr,1.5,4.5,Wake Forest,5,66,117,54.63,662,1,1,100.51,5.66,"132.40
"
QB,Robert,Wright,6 - 5,202,(So),2.5,4.0,Cincinnati,4,62,98,61.99,657,5,1,131.32,6.70,"164.25
"
QB,Joshua,Andrews,6 - 1,203,Sr,5.0,5.0,Baylor,12,323,502,64.38,3526,27,9,137.99,7.02,"293.83
"
QB,Craig,Bowie,6 - 0,202,Sr,3.0,3.0,Stanford,8,116,220,52.20,1021,5,1,98.71,4.64,"127.62
"
QB,Itula,Moore,6 - 5,207,(Sr),3.5,3.5,Ole Miss,12,160,243,65.02,1734,11,1,138.48,7.14,"144.50
"
QB,James,Dale,6 - 2,213,So,3.5,5.0,Pittsburgh,12,296,469,62.46,2970,19,9,124.03,6.33,"247.50
"
