 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
CB,Joshua,Sloan,5 - 11,208,4,83,JAX,3,16,0,0,0,0,0,0,"0
"
ILB,Zion,Adakwa,6 - 2,224,1,81,NYJ,5,37,0,1,0,0,0,0,"0
"
CB,Jim,Dupre,6 - 2,182,1,76,MIN,1,3,0,0.5,0,0,0,0,"0
"
CB,Tony,Ross,5 - 11,188,4,76,CHI,1,8,0,0,0,0,0,0,"0
"
DE,Freeman,Schubert,6 - 6,260,R,76,HOU,1,5,0,0,0,0,0,0,"0
"
CB,Jim,Brewer,6 - 2,195,1,76,MIN,1,2,1,0,0,0,0,1,"0
"
CB,David,Wilburn,5 - 10,195,4,99,ATL,8,33,3,0,0,0,0,0,"0
"
FS,Rob,Hamilton,5 - 11,188,1,79,KC,4,16,2,0,0,0,0,0,"0
"
DE,Gary,Redmon,6 - 1,289,3,76,PHI,4,12,0,2.5,0,1,0,1,"0
"
DE,Brant,Thomas,6 - 2,270,3,86,MIN,6,24,0,2.5,0,0,0,0,"0
"
DT,Jared,Lee,6 - 5,313,3,83,MIN,2,5,0,1.5,0,1,0,0,"0
"
ILB,Randy,Humphreys,6 - 1,252,2,88,TEN,10,70,0,1,2,2,0,0,"0
"
DE,Richard,Hicks,6 - 5,297,1,77,ARI,3,11,0,2.5,0,0,0,0,"0
"
OLB,Arlie,LeClair,6 - 2,245,4,90,MIN,2,14,1,1,0,0,0,0,"0
"
DT,Carl,Connor,6 - 6,285,1,76,TEN,4,17,0,1,0,1,0,0,"0
"
ILB,Art,Mills,6 - 1,230,2,84,CHI,10,66,1,0,0,0,0,0,"0
"
DE,Brett,Bailey,6 - 3,261,1,82,CIN,6,22,0,12,0,1,0,0,"0
"
OLB,Clarence,Harris,6 - 1,242,3,72,NYJ,1,3,1,0,0,0,0,0,"0
"
ILB,Gary,Bower,6 - 2,229,1,76,BAL,1,5,0,0.5,0,0,0,0,"0
"
FS,Mike,Jimenez,6 - 0,199,1,77,NO,1,6,0,0,0,0,0,0,"0
"
DT,Earl,Jackson,6 - 3,293,3,94,DET,7,25,0,7,0,2,0,0,"0
"
OLB,Tommy,Leonard,6 - 1,229,4,80,NYJ,3,17,0,2,0,0,0,0,"0
"
DT,Chad,Villalobos,6 - 7,292,3,78,SF,2,5,0,1,1,0,0,0,"0
"
FS,Nate,Gant,6 - 0,157,R,70,ARI,5,30,1,0,0,0,0,0,"0
"
OLB,W.M.,Mitchell,5 - 10,217,2,83,GB,8,47,0,1,2,1,0,1,"0
"
ILB,Malcolm,Douglas - Scott,6 - 0,239,2,92,SEA,9,66,0,0.5,3,1,0,0,"0
"
OLB,Keyuo,Clark,6 - 1,242,3,84,IND,5,28,0,3.5,0,0,0,0,"0
"
ILB,Cameron,Jonah,6 - 1,243,2,86,DEN,10,75,1,1,1,1,0,1,"0
"
FS,Reshad,Jenkins,5 - 11,198,R,78,NYJ,6,26,4,0,0,0,0,0,"0
"
ILB,Peyton,Roaches,6 - 2,224,R,80,GB,10,70,0,0,0,1,0,0,"0
"
CB,Tim,Kassell,5 - 11,191,2,80,PHI,1,3,1,0,0,0,0,1,"0
"
FS,Juan,Hutchinson,5 - 9,170,3,79,CHI,1,5,0,0,0,0,0,0,"0
"
CB,Joshua,Saunders,6 - 3,198,R,72,SD,1,2,1,0,0,0,0,0,"0
"
SS,Willie,Wood,6 - 1,198,3,80,NO,3,9,3,0,0,0,0,1,"0
"
DT,Nathan,Knowlton,6 - 6,277,1,81,HOU,2,5,0,2,1,1,0,0,"0
"
CB,Jaylen,Harris,5 - 10,173,R,76,OAK,1,2,1,0,0,0,0,0,"0
"
DT,Tommy,Brooks,6 - 7,285,1,77,DEN,4,17,0,2.5,0,0,0,0,"0
"
DE,Cory,Fonoti,6 - 7,279,3,73,DET,2,8,0,1,0,0,0,0,"0
"
DE,Ron,Rasby,6 - 1,275,R,72,NYG,1,2,0,1,0,0,0,0,"0
"
DT,Fred,Romanowski,6 - 2,279,3,90,OAK,7,36,0,8,0,1,0,0,"0
"
SS,Darren,Manning,6 - 4,189,2,87,MIN,4,28,3,0,0,0,0,0,"0
"
FS,Chris,Bengtson,6 - 1,193,2,79,BUF,1,2,1,0,0,0,0,0,"0
"
OLB,Randy,Lehr,6 - 1,231,4,87,NE,4,19,0,2,0,0,0,0,"0
"
CB,Michael,Bland,6 - 0,172,2,65,WAS,2,12,1,0,0,0,0,0,"0
"
OLB,Trent,Haynes,6 - 1,228,2,88,CAR,8,56,1,3.5,0,0,0,0,"0
"
OLB,Terry,Hill,6 - 0,221,2,83,CIN,1,6,0,0,0,0,0,0,"0
"
ILB,Lance,Nattiel,6 - 0,239,R,79,CLE,8,53,0,0.5,0,0,0,0,"0
"
DE,Thomas,Henry,6 - 6,295,R,70,STL,1,3,0,1,0,0,0,0,"0
"
SS,Joe,Johnson,6 - 0,206,1,82,PHI,1,4,1,0,0,0,0,0,"0
"
FS,Edward,Harrison,5 - 10,168,1,80,TB,3,11,2,0,0,0,0,0,"0
"
DT,Kendall,Hill,6 - 6,312,3,86,BUF,10,49,0,8,2,1,0,0,"0
"
ILB,Ron,Mobley,6 - 1,247,4,89,TB,6,49,2,0,0,0,0,1,"0
"
SS,Willard,McCready,6 - 0,189,R,80,DET,6,34,3,0,0,0,0,0,"0
"
DE,Jesus,Brooks,6 - 8,259,1,70,CHI,1,2,0,1,0,0,0,0,"0
"
OLB,Kwazi,Robb,6 - 1,232,4,89,NYJ,4,26,0,1.5,1,0,0,0,"0
"
ILB,Sylvester,Feeley,6 - 1,227,2,76,CIN,1,4,1,0,0,0,0,0,"0
"
ILB,Billy,Williams,6 - 1,240,2,77,WAS,9,57,0,0.5,0,0,0,0,"0
"
DE,Rudi,Sinceno,6 - 7,283,3,79,TB,2,5,0,2,0,0,0,0,"0
"
CB,Reggie,Griffin,5 - 10,192,2,85,DEN,3,17,2,0,0,0,0,1,"0
"
ILB,Marcus,Grant,6 - 2,239,R,77,ATL,2,11,0,0,0,0,0,0,"0
"
OLB,Joe,Palmer,6 - 1,242,2,83,ATL,2,11,0,0,0,0,0,0,"0
"
DT,Cris,LeBaron,6 - 7,282,1,75,ATL,2,13,0,0,0,0,0,0,"0
"
DT,Gregg,Martin,6 - 6,274,2,85,OAK,2,6,0,3.5,0,0,0,0,"0
"
DT,Charles,Polk,6 - 5,298,3,65,BUF,1,8,0,0,0,0,0,0,"0
"
FS,Patrick,Parks,5 - 9,184,1,78,WAS,3,14,1,0,0,0,0,1,"0
"
OLB,Chester,Williams,6 - 2,219,2,84,HOU,5,28,1,1.5,0,0,0,1,"0
"
OLB,Paul,Goodman,6 - 2,240,R,82,MIN,9,51,2,6.5,0,0,0,1,"0
"
SS,Adam,Newman,6 - 0,175,1,84,BAL,5,24,4,0,0,1,0,0,"0
"
DE,Dennis,Niland,6 - 4,284,2,87,MIN,4,14,0,1.5,0,0,0,0,"1
"
FS,Oronde,Jackson,5 - 10,173,R,80,STL,3,12,2,0,0,0,0,0,"0
"
CB,Laurent,Christensen,5 - 10,192,1,81,MIA,5,21,4,0,0,0,0,0,"0
"
FS,Daniel,Scott,6 - 1,172,1,73,BAL,1,3,1,0,0,0,0,0,"0
"
ILB,Cleveland,Merrill,6 - 1,236,3,94,MIN,11,93,2,0,0,0,0,1,"0
"
DE,Rickie,Bradley,6 - 3,253,2,75,ATL,3,10,0,2,0,0,0,0,"0
"
SS,Tywan,Tafoya,6 - 2,185,3,85,TEN,6,30,6,0,0,0,0,1,"0
"
OLB,Thomas,Barry,6 - 1,225,1,81,TB,4,23,0,3,0,0,0,0,"0
"
DT,Anthony,Beltran,6 - 5,299,R,81,STL,6,23,0,6.5,0,0,0,0,"0
"
FS,LaMichael,Jones,6 - 3,173,1,75,CLE,7,35,1,0,0,0,0,0,"0
"
DE,Barron,Anthony,6 - 3,278,3,91,BAL,8,24,0,10.5,0,0,0,0,"0
"
SS,Frederick,Fain,6 - 1,197,R,82,CAR,3,23,1,0,0,0,0,0,"0
"
CB,George,Brady,5 - 11,181,3,81,KC,9,43,5,0,0,0,0,0,"0
"
CB,Teddy,Walker,5 - 11,177,R,82,KC,3,9,2,0,0,0,0,0,"0
"
OLB,Jeff,Cox,5 - 11,220,R,78,STL,3,20,0,1,0,0,0,0,"0
"
DE,Bill,Young,6 - 4,291,2,80,SF,5,19,0,2.5,1,1,0,0,"0
"
SS,Kevin,Nguyen,5 - 10,159,R,80,TB,2,8,2,0,0,0,0,0,"0
"
OLB,Germane,Dixon,6 - 2,253,4,87,CIN,6,36,2,1.5,1,0,0,0,"0
"
CB,Marques,Warner,6 - 1,193,2,84,NYJ,2,7,2,0,0,0,0,0,"0
"
CB,Tony,Preston,5 - 10,166,2,71,NE,1,2,1,0,0,0,0,0,"0
"
CB,Jack,Ramsey,6 - 2,172,R,78,TEN,6,23,4,0,0,0,0,0,"0
"
CB,Mike,Gradishar,5 - 10,166,1,85,OAK,6,20,7,0,0,0,0,2,"0
"
ILB,Eric,Jones,6 - 1,238,2,85,MIN,1,8,0,0,0,0,0,0,"0
"
FS,Alyn,Namath,6 - 1,172,4,79,CHI,4,20,3,0,0,0,0,0,"0
"
OLB,David,Doherty,6 - 1,228,1,85,TEN,10,74,2,3,0,0,0,0,"0
"
DE,Steven,Jordan,6 - 7,279,3,82,SEA,1,4,0,1.5,0,0,0,0,"0
"
DE,Curtis,Lewis,6 - 8,283,2,90,NYG,7,23,0,10,0,0,0,0,"0
"
CB,Wayne,Hape,5 - 10,184,3,83,HOU,4,20,1,0,0,0,0,0,"0
"
CB,Jacoby,Seaverns,6 - 2,190,3,95,CIN,8,28,7,0,0,0,0,1,"0
"
OLB,John,Woodley,6 - 2,223,2,71,ARI,4,24,0,0,0,0,0,0,"0
"
OLB,Kenny,Salata,5 - 11,236,3,76,PHI,2,12,0,1,0,0,0,0,"0
"
DE,Darris,Hayes,6 - 6,289,1,81,TB,4,17,0,4,0,0,0,0,"0
"
DT,Lindsay,Powell,6 - 8,270,2,76,MIA,1,8,0,0,0,0,0,0,"0
"
OLB,Charlie,Johnson,6 - 2,230,1,81,PIT,5,31,0,1,0,0,0,0,"0
"
ILB,Daniel,Allen,5 - 11,220,R,68,ARI,3,19,0,0,0,0,0,0,"0
"
ILB,Michael,Patten,6 - 2,237,R,80,CAR,2,12,0,0,0,0,0,0,"0
"
CB,Will,Baker,5 - 11,190,4,74,KC,2,5,2,0,0,0,0,1,"0
"
ILB,Cleo,Blair,6 - 1,251,3,88,DAL,6,44,0,0,0,0,0,0,"0
"
CB,Russ,Barker,5 - 10,203,R,76,STL,1,1,1,0,0,0,0,0,"0
"
DT,John,Griffin,6 - 6,285,2,77,BAL,1,4,0,0,1,0,0,0,"0
"
CB,Sean,Hawthorne,5 - 8,182,2,75,TB,4,12,4,0,0,0,0,1,"0
"
ILB,Blair,Williams,6 - 2,247,3,89,HOU,11,74,0,1.5,1,0,0,0,"0
"
OLB,David,Kuppe,5 - 11,214,2,76,BUF,6,30,0,0.5,0,0,0,0,"0
"
CB,Cade,Donovan,5 - 11,172,2,80,PIT,2,9,1,0,0,0,0,0,"0
"
DT,Quentin,Smith,6 - 8,294,4,93,IND,10,36,1,14,0,1,0,0,"0
"
FS,Eric,Sochia,5 - 10,169,R,77,SD,3,13,1,0,0,0,0,0,"0
"
DT,Mike,Wohlabaugh,6 - 3,287,1,83,CAR,5,24,0,1.5,0,0,0,0,"0
"
DE,Ulysses,Smith,6 - 8,290,2,79,WAS,3,12,0,2.5,0,0,0,0,"0
"
DE,Kevin,Olford,6 - 5,275,1,74,DAL,4,11,0,4.5,0,0,0,0,"0
"
FS,Stephen,Elliott,6 - 3,197,4,92,PIT,4,19,3,0,0,0,0,0,"0
"
DE,Kaulana,Groth,6 - 7,304,3,85,HOU,7,28,0,7,0,2,0,0,"0
"
FS,Messiah,Henderson,6 - 1,182,R,75,NE,2,10,0,0,0,0,0,0,"0
"
SS,Julio,Barnes,5 - 11,194,R,79,GB,3,22,1,0,0,1,0,1,"0
"
DE,Jesse,Boyd,6 - 6,276,R,72,PIT,2,8,0,0.5,0,0,0,0,"0
"
OLB,Kyries,Brown,6 - 0,227,2,78,SEA,6,32,0,3.5,1,1,0,0,"0
"
OLB,Derrick,Martin,6 - 0,241,3,94,TB,7,46,0,5.5,0,0,0,0,"0
"
CB,Ivory,Hull,6 - 2,173,R,81,CHI,12,59,5,0,0,0,0,1,"0
"
OLB,Darian,Mathis,6 - 0,253,4,82,CLE,5,30,0,3.5,0,0,0,0,"0
"
OLB,Ray,Truax,6 - 1,233,4,83,DEN,5,30,0,2,1,0,0,0,"0
"
DE,Tommy,Wietecha,6 - 2,277,4,86,BAL,5,14,0,6,0,0,0,0,"0
"
ILB,Timmy,Flanigan,5 - 8,233,2,74,SD,1,6,0,0,0,0,0,0,"0
"
FS,Kevin,Johnson,6 - 0,174,R,78,JAX,4,22,1,0,0,0,0,0,"0
"
SS,Tavian,Oliphant,6 - 2,202,2,89,SD,5,28,3,1,1,1,0,2,"0
"
OLB,Lamar,Tennell,6 - 1,240,R,77,DET,4,21,0,1.5,0,0,0,0,"0
"
FS,Onome,Smith,6 - 1,191,R,77,SEA,3,8,3,0,0,0,0,0,"0
"
SS,Sebastian,Vaughn,6 - 1,194,R,80,NYJ,4,21,1,1,0,0,0,0,"0
"
OLB,Louis,Peterson,6 - 4,200,R,79,BAL,7,39,1,3,1,0,0,1,"0
"
ILB,Rodrick,Milligan,6 - 2,254,4,92,PHI,12,90,0,0,0,1,0,0,"0
"
FS,Albert,White,5 - 10,184,3,76,DAL,5,20,3,0,0,0,0,1,"0
"
CB,Jason,Brown,6 - 1,186,1,70,SF,2,2,2,0,0,0,0,1,"0
"
CB,David,Simpson,6 - 2,191,3,74,DEN,1,4,1,0,0,0,0,1,"0
"
OLB,Mike,Johnson,6 - 0,240,1,77,MIN,2,13,0,0.5,0,0,0,0,"0
"
OLB,Kenyatta,Henderson,5 - 11,228,2,90,NYG,12,85,1,10,0,1,0,1,"0
"
CB,Nate,Tensi,6 - 0,196,3,92,CAR,2,5,2,0,0,0,0,0,"0
"
ILB,Phillip,Moore,5 - 11,216,1,83,MIA,6,44,1,1,0,1,0,0,"0
"
DE,Billy,Stevenson,6 - 7,259,2,79,PIT,6,22,0,2,0,0,0,0,"0
"
SS,R.C.,Rone,6 - 1,204,4,94,ATL,8,50,3,2,0,0,0,1,"0
"
OLB,Todd,Byers,6 - 2,251,2,73,DEN,1,5,0,0,0,0,0,0,"0
"
DE,Adam,Williams,6 - 8,266,R,76,OAK,2,4,0,1.5,0,0,0,0,"0
"
CB,Corey,Quinn,6 - 0,191,1,84,SEA,6,21,5,0,0,0,0,1,"0
"
FS,Jim,Sisemore,5 - 10,181,4,90,CIN,1,3,1,0,0,0,0,0,"0
"
DE,Blair,Kopay,6 - 3,275,4,88,ATL,1,3,0,1.5,0,0,0,0,"0
"
DE,Dhani,Panfil,6 - 2,284,3,76,SD,1,4,0,0.5,0,0,0,0,"0
"
SS,Chekwume,Angacho,6 - 0,203,1,72,OAK,1,0,0,0,0,1,0,1,"0
"
CB,Joe,Gammon,6 - 0,184,3,81,SF,1,3,1,0,0,0,0,0,"0
"
OLB,Jeff,Williams,6 - 2,237,3,88,JAX,2,11,0,0.5,0,0,0,0,"0
"
CB,Jamie,Mixon,6 - 1,187,2,76,NE,2,8,2,0,0,0,0,0,"0
"
SS,Keyshawn,Ayanbadejo,6 - 1,217,4,86,BUF,3,21,3,0,0,0,0,0,"0
"
CB,Joel,Prince,6 - 1,207,4,87,PIT,2,11,1,0,0,0,0,0,"0
"
CB,Brent,Johnson,5 - 11,181,R,75,HOU,3,8,3,0,0,0,0,0,"0
"
DE,Charles,Johnson,6 - 8,261,R,81,DEN,8,32,0,9.5,0,1,0,0,"0
"
DE,Ron,Rice,6 - 6,275,2,90,CAR,12,43,0,11.5,0,1,0,1,"0
"
CB,Keyshawn,Thompson,6 - 2,181,3,96,DET,7,22,6,0,0,0,0,2,"0
"
SS,Romulus,Jackson,6 - 0,193,1,84,DAL,3,21,1,0,0,0,0,0,"0
"
CB,Dan,Weaver,5 - 9,169,R,72,BAL,1,2,1,0,0,0,0,0,"0
"
DE,Doug,Carolan,6 - 0,263,R,82,DET,5,19,0,8,0,0,0,0,"0
"
SS,Mark,Brown,6 - 2,180,3,84,CLE,2,12,1,0,0,0,0,0,"0
"
OLB,Rob,Walls,6 - 1,227,1,74,IND,3,14,0,0.5,0,0,0,0,"0
"
OLB,Adam,Taylor,6 - 3,227,R,74,DAL,2,12,0,0,0,0,0,0,"0
"
OLB,Leigh,Davey,6 - 1,232,1,83,STL,4,22,0,1,1,0,0,0,"0
"
ILB,Dennis,Smith,6 - 0,251,3,79,NYG,2,15,1,0,0,0,0,0,"0
"
DT,Carnell,Meadows,6 - 5,273,1,83,PIT,4,17,0,4,0,0,0,0,"0
"
CB,Jonathan,Blankenship,6 - 1,190,R,76,MIN,5,21,2,0,0,0,0,0,"0
"
ILB,Reece,Westbrook,6 - 1,216,R,74,DEN,1,8,0,0,0,0,0,0,"0
"
CB,Duke,Burchfield,5 - 11,163,R,72,SEA,2,7,2,0,0,0,0,0,"0
"
ILB,Kelly,Mitchell,6 - 3,217,R,82,IND,9,68,0,0,0,1,0,0,"0
"
DE,Eric,Scott,6 - 4,300,3,74,STL,4,12,0,3.5,0,0,0,0,"0
"
OLB,Donnie,Bavaro,6 - 2,239,3,86,OAK,3,22,0,0,0,0,0,0,"0
"
OLB,Andre,Gasaway,6 - 0,220,1,77,CAR,1,6,0,0,0,0,0,0,"0
"
FS,Mike,Henderson,5 - 10,193,2,79,TEN,1,4,1,0,0,0,0,1,"0
"
SS,Jeff,Hudson,6 - 0,183,4,79,SEA,2,14,1,0,0,0,0,0,"0
"
OLB,Charley,Rivers,6 - 2,254,4,84,ARI,9,54,0,1,1,0,0,0,"0
"
DE,Dainard,Breedlove,6 - 2,273,R,76,DAL,2,6,0,1.5,0,0,0,0,"0
"
DE,Dennis,Abdullah,6 - 5,281,4,80,WAS,7,32,0,3.5,0,1,0,0,"0
"
FS,Gray,Corbin,5 - 11,159,2,84,DEN,11,50,5,0,0,0,0,1,"0
"
OLB,Morris,Millen,6 - 0,246,3,92,CHI,7,49,1,5,0,0,0,0,"0
"
DT,Ken,Wells,6 - 4,316,3,72,ARI,4,20,0,1.5,0,0,0,0,"0
"
DE,Derrick,Thomas,6 - 7,272,2,78,OAK,4,13,0,3.5,0,1,0,0,"0
"
CB,John,Queen,5 - 11,196,4,88,NYJ,3,16,1,0,1,1,0,0,"0
"
DT,Steve,Poole,6 - 7,288,R,79,SD,4,14,0,3,1,0,0,0,"0
"
OLB,Vince,Smith,6 - 1,234,3,76,WAS,5,27,0,0.5,1,0,0,0,"0
"
SS,Walter,Dorow,5 - 11,200,1,80,NYG,1,7,1,0,0,0,0,0,"0
"
OLB,Craig,Davis,6 - 1,221,2,80,SEA,1,7,0,0,0,0,0,0,"0
"
DT,Kenneth,Clarke,6 - 1,308,1,76,CLE,1,8,0,0,0,0,0,0,"0
"
CB,Sammy,Muhammad,5 - 10,178,2,85,BAL,2,8,2,0,0,0,0,1,"0
"
DE,Richard,Coleman,6 - 4,257,R,68,BUF,1,3,1,0,0,0,0,0,"0
"
DE,Michael,Schuster,6 - 3,265,3,80,ATL,1,5,0,1,0,0,0,0,"0
"
ILB,Kevin,Harris,6 - 0,249,4,94,MIA,4,26,1,0,0,0,0,0,"0
"
CB,Maury,Gregg,6 - 0,168,1,82,CAR,2,7,1,0,0,0,0,0,"0
"
CB,Alphonso,Greisen,5 - 10,196,1,72,MIA,3,5,3,0,0,0,0,0,"0
"
OLB,Patrick,Murphy,6 - 2,201,R,82,PIT,10,57,1,3,1,1,0,0,"0
"
OLB,Asante,Willis,6 - 1,229,R,78,SD,5,35,0,0.5,0,0,0,0,"0
"
CB,Antonio,Burch,6 - 2,188,2,83,GB,8,33,5,0,1,0,0,2,"0
"
OLB,Jeff,Mangum,6 - 2,256,4,90,DAL,11,70,0,7.5,0,1,0,0,"0
"
CB,Matt,Cowan,6 - 2,172,2,92,SEA,8,30,7,0,0,0,0,2,"0
"
CB,Moe,McMillan,5 - 10,183,2,80,BUF,1,1,1,0,0,0,0,0,"0
"
CB,Ken,Whiting,6 - 2,181,R,72,CHI,2,2,2,0,0,0,0,0,"0
"
DE,E.J.,McQuarters,6 - 7,257,2,78,CIN,5,16,0,4,0,0,0,0,"0
"
DE,Jeff,Holleyman,6 - 3,297,4,85,CHI,5,17,0,5.5,0,0,0,0,"1
"
DT,Kevin,Nitschke,6 - 2,270,3,82,WAS,2,9,0,1,0,0,0,0,"0
"
CB,Lee,Davis,6 - 2,174,R,72,CLE,3,11,2,0,0,0,0,0,"0
"
ILB,Steven,Irwin,5 - 11,214,R,70,TEN,2,12,0,0,0,0,0,0,"0
"
DT,Josh,Wilson,6 - 7,278,2,87,MIA,6,25,0,7.5,1,1,0,1,"0
"
ILB,Jack,Muhammad,6 - 2,248,3,81,PIT,11,72,0,1,0,0,0,0,"0
"
CB,Paul,Olson,5 - 11,174,1,71,ARI,2,9,1,0,0,0,0,0,"0
"
SS,Larry,Reeves,5 - 11,204,4,91,JAX,5,33,2,0,0,0,0,0,"0
"
DE,Kendrick,Droughns,6 - 6,294,2,86,CAR,7,18,1,7,0,0,0,1,"0
"
DT,Frank,Williams,6 - 8,293,3,94,TB,9,41,0,14.5,0,0,0,0,"0
"
CB,DeAndre,Hawkins,6 - 2,180,2,89,NE,5,24,4,0,0,0,0,0,"0
"
ILB,Tim,McDuffie,6 - 2,238,2,71,CAR,1,7,0,0,0,0,0,0,"0
"
OLB,Jeff,Brooks,6 - 0,230,1,77,HOU,7,38,0,1,1,0,0,0,"0
"
CB,Khary,Miller,5 - 9,146,R,72,OAK,1,2,1,0,0,0,0,0,"0
"
DT,Reggie,Howard,6 - 6,306,3,79,SEA,3,9,0,3.5,0,0,0,0,"0
"
ILB,Kay,Anderson,6 - 1,231,3,83,ATL,7,45,0,0,0,0,0,0,"0
"
ILB,Rabih,Delaney,6 - 1,237,3,89,NO,5,35,1,0,0,0,0,0,"0
"
ILB,Mike,Bledsoe,6 - 1,231,3,82,BUF,8,53,0,0,0,0,0,0,"0
"
ILB,Nick,Upshaw,6 - 2,241,4,92,CIN,7,49,1,0.5,0,0,0,0,"0
"
SS,Jonathan,Parker,6 - 2,183,4,78,DEN,2,12,0,0,0,0,0,0,"0
"
SS,Tyler,Trent,5 - 10,210,R,77,HOU,2,6,2,0,0,0,0,0,"0
"
DE,Jason,Johnson,6 - 3,264,1,71,KC,2,5,0,2,1,1,0,0,"0
"
DE,Justin,Glass,6 - 3,283,3,80,TEN,5,14,0,5,0,1,0,0,"0
"
DE,Andrew,Fazande,6 - 4,265,3,91,STL,3,8,0,5,0,0,0,0,"0
"
DE,Ryan,Frey,6 - 6,277,R,83,PHI,7,25,0,8,1,0,0,0,"1
"
OLB,Ray,Flores,6 - 1,234,4,86,NO,2,12,0,1,0,0,0,0,"0
"
CB,Isaiah,Polsfoot,5 - 11,183,2,86,STL,3,19,1,0,0,0,0,0,"0
"
FS,Randall,Jones,6 - 2,190,3,88,OAK,3,18,3,0,0,0,0,0,"0
"
OLB,Tyrone,Jones,5 - 11,233,3,99,BAL,12,90,0,6.5,1,2,0,0,"1
"
ILB,Richard,Wilson,6 - 2,231,3,85,JAX,11,84,1,0,0,0,0,0,"0
"
CB,Bashir,Rodriguez,6 - 1,194,3,90,SF,11,49,7,0,0,0,0,1,"0
"
CB,Antonio,Hotchkiss,5 - 9,187,1,75,HOU,1,3,1,0,0,0,0,0,"0
"
ILB,Alex,Martin,6 - 0,240,1,83,OAK,11,84,2,0,1,0,0,0,"0
"
DT,Joe,Micho,6 - 7,300,4,83,NYG,3,14,0,4,0,1,0,0,"0
"
DT,Shawn,Bowers,6 - 1,305,3,87,DAL,3,12,0,3.5,0,0,0,0,"0
"
FS,Kevin,Hartley,6 - 0,157,R,77,PHI,5,26,3,0,0,0,0,0,"0
"
OLB,Alexander,Baumgartner,6 - 0,224,1,75,OAK,4,23,0,0.5,0,0,0,0,"0
"
DE,Brian,Glenn,6 - 6,291,3,83,SEA,7,24,0,11,1,3,0,0,"2
"
SS,Arthur,Flores,5 - 10,166,R,79,WAS,5,21,3,0,0,0,0,0,"0
"
OLB,Devin,Stephens,6 - 1,237,R,79,KC,9,46,0,4.5,0,1,0,0,"0
"
OLB,Brian,Hernandez,6 - 3,217,R,80,BUF,6,41,0,6.5,0,0,0,0,"0
"
DE,Anthony,Ortiz,6 - 7,262,1,87,BUF,7,20,0,7.5,1,2,0,0,"0
"
