 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
DE,Arnold,Smith,6 - 1,267,Jr,3.0,4.0,Arkansas,1,1,0,2.0,0,0,0,0,"0
"
DE,Peter,Griggs,6 - 7,251,So,3.0,3.5,Kansas,2,2,0,4.0,0,0,0,0,"0
"
??,Ben,Lane,? - ??,???,(??),??,??,Northwestern,5,38,0,0.0,0,0,0,0,"0
"
OLB,Chester,Williams,6 - 2,219,(Jr),4.0,5.0,Auburn,10,64,0,0.0,0,0,0,0,"0
"
ILB,John,Barber,6 - 2,235,Sr,2.0,2.0,Iowa State,2,12,0,0.0,0,0,0,0,"0
"
FS,Mario,Haik,5 - 10,164,Sr,3.0,3.5,Georgia Tech,1,8,0,0.0,0,0,0,0,"0
"
DE,Kaulana,Groth,6 - 7,304,(Sr),4.5,4.5,Ohio State,4,12,0,6.0,0,0,0,0,"0
"
DE,Jackie,Moore,6 - 7,255,(Sr),3.5,3.5,Boston College,3,14,0,3.0,0,0,0,0,"0
"
CB,Darren,Holt,5 - 9,176,(Jr),3.0,3.0,NC State,1,6,0,0.0,0,0,0,0,"0
"
CB,Carlos,Worley,5 - 10,157,Jr,2.5,2.5,Colorado State,1,1,1,0.0,0,0,0,0,"0
"
OLB,Tim,Kinderman,5 - 11,230,Sr,3.5,4.0,Georgia,4,32,0,0.0,0,0,0,0,"0
"
DE,John,Gay,6 - 0,262,(Jr),3.0,4.0,LSU,1,0,0,2.0,0,0,0,0,"0
"
ILB,Harvey,Ingram,6 - 1,252,(Jr),3.0,3.0,SDSU,3,27,0,0.0,0,0,0,0,"0
"
SS,Joe,Davison,5 - 9,164,So,2.0,2.5,Virginia Tech,4,22,1,0.0,0,0,0,0,"0
"
OLB,Alton,Smith,6 - 2,211,(So),2.5,3.5,Army,6,36,0,0.0,0,0,0,0,"0
"
DE,Steve,Roberts,6 - 8,261,So,3.0,4.0,Texas Tech,2,7,0,0.0,0,0,0,0,"0
"
FS,Brad,Chandler,6 - 0,164,Sr,3.0,3.5,Wake Forest,4,11,2,0.0,0,0,0,0,"0
"
DE,Dhani,Panfil,6 - 2,284,Sr,4.0,4.0,Washington,5,15,0,5.0,1,1,0,0,"0
"
FS,Albert,White,5 - 10,184,(Sr),4.5,4.5,Mississippi State,3,11,1,0.0,0,0,0,1,"0
"
OLB,Jeffrey,Anderson,5 - 10,211,(Jr),3.0,3.5,Illinois,6,32,0,0.0,0,0,0,0,"0
"
ILB,Steve,Tilley,6 - 0,226,So,2.5,3.5,Hawaii,8,55,0,0.0,0,0,0,0,"0
"
DE,Ron,Baker,6 - 7,290,Sr,2.5,3.5,West Virginia,1,4,0,1.0,0,0,0,0,"0
"
FS,Darius,Jones,6 - 1,205,Fr,3.5,5.0,Washington,3,8,2,0.0,0,0,0,0,"0
"
CB,Robert,Webster,6 - 1,197,(So),3.0,3.0,Cincinnati,1,6,0,0.0,0,0,0,0,"0
"
DT,Garrison,Johnson,6 - 7,274,(Sr),3.0,3.0,Rice,1,4,0,0.0,0,0,0,0,"0
"
OLB,Terry,Bush,6 - 2,239,So,2.5,4.0,Pittsburgh,7,47,0,0.0,0,0,0,0,"0
"
ILB,Mike,Badon,5 - 9,226,Sr,2.0,2.0,Rice,1,8,0,0.0,0,0,0,0,"0
"
OLB,Theodore,Davis,6 - 0,240,Sr,3.0,3.0,SMU,8,60,0,0.0,0,0,0,0,"0
"
OLB,Leigh,Davey,6 - 1,232,(So),4.0,5.0,Minnesota,6,51,0,2.0,0,0,0,0,"0
"
FS,Joseph,Miranda,6 - 0,164,Sr,2.0,2.5,Indiana,3,11,1,0.0,0,0,0,0,"0
"
DT,Todd,Scott,6 - 1,284,Sr,3.0,4.0,West Virginia,1,0,0,1.0,0,0,0,0,"0
"
FS,Michael,Bowman,5 - 10,181,Jr,2.5,3.0,Illinois,4,19,0,0.0,0,0,0,0,"0
"
FS,Kevin,Collins,5 - 11,196,(Sr),4.0,4.0,Alabama,2,3,2,0.0,0,0,0,0,"0
"
OLB,Robert,Cruz,6 - 3,229,Fr,2.0,3.5,Louisville,1,3,0,0.0,0,0,0,0,"0
"
OLB,Charlie,Edwards,5 - 11,231,(Jr),3.5,3.5,Texas,3,26,0,1.0,0,0,0,0,"0
"
OLB,Trent,Haynes,6 - 1,228,So,4.0,5.0,Tennessee,8,71,0,0.0,0,0,0,0,"0
"
DE,Daniel,Williams,6 - 0,271,Sr,3.0,3.0,Cincinnati,2,8,0,0.0,0,0,0,0,"0
"
ILB,Eric,Gil,5 - 11,228,Sr,2.5,2.5,Georgia State,2,8,0,0.0,0,0,0,0,"0
"
OLB,Chris,Reed,6 - 1,230,So,3.0,4.5,Oklahoma State,2,19,0,1.0,0,0,0,0,"0
"
DE,Matt,Brown,6 - 1,281,(Sr),3.5,3.5,Miami,6,10,0,11.0,0,0,0,0,"0
"
FS,Robert,Rockwell,6 - 0,164,(So),2.5,3.0,Duke,2,5,1,0.0,0,0,0,1,"0
"
FS,Jesse,Griffin,5 - 11,160,(Fr),2.5,3.5,Army,3,9,2,0.0,0,0,0,1,"0
"
FS,Charles,Lopez,5 - 11,213,(Jr),4.0,4.0,Iowa State,4,17,0,0.0,0,0,0,0,"0
"
CB,Khary,Miller,5 - 9,146,Fr,2.5,4.0,Oklahoma State,2,16,0,0.0,0,0,0,0,"0
"
CB,Oliver,Yarbrough,6 - 1,171,Jr,3.5,4.5,Kansas State,5,25,2,0.0,0,0,0,0,"0
"
CB,Ed,Jones,5 - 10,177,So,2.5,3.0,Missouri,1,7,0,0.0,0,0,0,0,"0
"
ILB,Marques,Jackson,6 - 1,226,Sr,3.5,3.5,Miami,9,66,1,1.0,0,0,0,0,"0
"
CB,Ben,McCormick,5 - 10,170,So,2.5,3.5,LSU,1,7,0,0.0,0,0,0,0,"0
"
SS,Patrick,Carr,5 - 10,201,Fr,2.0,4.0,Navy,3,7,2,0.0,0,0,0,0,"0
"
OLB,Josh,Means,5 - 11,219,Sr,3.0,3.0,Oklahoma State,1,5,0,1.0,0,0,0,0,"0
"
FS,Thomas,James,6 - 1,186,Sr,3.5,3.5,Rutgers,3,16,0,0.0,0,0,0,0,"0
"
OLB,Jacques,Dupre,6 - 0,227,Sr,3.5,3.5,Cincinnati,8,57,0,1.0,0,0,0,0,"0
"
DT,Robert,Adams,6 - 6,280,(Jr),2.5,2.5,Navy,1,5,0,0.0,0,0,0,0,"0
"
OLB,Andre,Gasaway,6 - 0,220,Jr,3.5,5.0,West Virginia,3,28,0,1.0,0,0,0,0,"0
"
CB,Dallas,Gelbaugh,5 - 10,164,So,2.5,3.5,Virginia,1,1,1,0.0,0,0,0,0,"0
"
SS,Danny,Steele,1 - Jun,196,(Jr),3.5,4.0,Colorado,2,8,2,0.0,0,0,0,0,"0
"
DT,Jeffrey,Bryant,6 - 7,303,(Sr),4.5,4.5,ECU,1,0,0,1.0,0,0,0,0,"0
"
OLB,Tony,Cochran,5 - 11,237,Sr,4.0,4.0,Mississippi State,8,61,0,0.0,0,0,0,0,"0
"
CB,Joe,Gammon,6 - 0,184,(Sr),4.0,4.0,Syracuse,6,27,3,0.0,0,0,0,0,"0
"
DE,Freeman,Schubert,6 - 6,260,(Fr),3.0,4.5,Arizona State,1,0,0,1.0,0,0,0,0,"0
"
FS,Jake,Pugh,5 - 11,193,So,3.0,4.0,Florida State,3,6,3,0.0,0,0,0,0,"0
"
CB,Jack,Beattie,6 - 2,173,(Jr),4.0,4.0,Maryland,5,19,3,0.0,0,0,0,0,"0
"
DT,Wayne,Hilbenberg,6 - 3,303,(Jr),2.5,2.5,Arkansas,1,1,0,1.0,0,0,0,0,"0
"
OLB,Timothy,Smith,5 - 11,212,(Fr),2.0,4.5,Arizona,2,8,0,0.0,0,0,0,0,"0
"
CB,Nathaniel,Knapp,5 - 10,170,Sr,3.0,3.0,Rutgers,1,2,1,0.0,0,0,0,0,"0
"
DT,Charles,Polk,6 - 5,298,(Sr),4.0,4.0,Clemson,1,2,0,1.0,0,0,0,0,"0
"
FS,Michael,Jenkins,6 - 0,195,Sr,3.5,4.0,Notre Dame,2,14,0,0.0,0,0,0,0,"0
"
FS,Daniel,Scott,6 - 1,172,(So),4.0,4.5,Maryland,2,14,0,0.0,0,0,0,0,"0
"
OLB,Craig,Davis,6 - 1,221,Jr,3.0,4.5,Syracuse,2,11,0,2.0,0,0,0,0,"0
"
DE,Gary,Bonner,6 - 6,280,(Jr),2.5,3.0,SMU,5,15,0,5.0,0,0,0,0,"0
"
FS,Scott,Morgan,6 - 0,165,Sr,3.5,3.5,Texas A&M,2,6,1,0.0,0,0,0,0,"0
"
ILB,Javier,Wilder,6 - 2,229,(Jr),3.0,3.5,Illinois,5,30,0,0.0,0,0,0,0,"0
"
ILB,Cliff,Santiago,6 - 0,220,(So),2.5,3.0,UCF,3,15,0,0.0,0,0,0,0,"0
"
CB,Aaron,Samuelsson,6 - 2,202,Fr,2.5,4.5,Michigan State,5,23,3,0.0,0,0,0,0,"0
"
SS,Brandon,Sauter,6 - 2,200,So,3.5,5.0,Michigan State,1,6,1,0.0,0,0,0,1,"0
"
OLB,Billy,Anderson,6 - 3,241,Sr,4.0,4.5,USC,5,42,0,0.0,0,0,0,0,"0
"
CB,Isaac,Ricard,6 - 0,169,(Fr),2.0,3.5,Hawaii,4,17,1,0.0,0,0,0,0,"0
"
DE,Rudi,Sinceno,6 - 7,283,Sr,4.5,4.5,Texas A&M,2,8,0,3.0,0,0,0,0,"0
"
ILB,Thomas,Cooke,6 - 2,232,Sr,4.0,4.0,Kansas,7,71,0,1.0,0,0,0,0,"0
"
CB,Bashir,Rodriguez,6 - 1,194,Sr,4.5,5.0,Georgia Tech,4,21,4,0.0,0,0,0,0,"0
"
DE,Charlie,Bacon,6 - 4,269,(Fr),3.0,4.0,Ole Miss,1,3,0,1.0,1,0,0,0,"0
"
DT,Doug,Bertelsen,6 - 3,269,So,1.5,2.0,Houston,1,2,0,1.0,0,0,0,0,"0
"
OLB,Rolando,Brown,6 - 0,223,Sr,4.0,4.0,Oregon State,5,35,0,2.0,0,0,0,0,"0
"
ILB,Willy,Mitchell,6 - 2,225,Jr,3.5,4.0,Boston College,5,46,0,1.0,0,0,0,0,"0
"
FS,James,Cooke,6 - 3,176,So,2.5,3.5,Arizona State,2,9,1,0.0,0,0,0,0,"0
"
CB,Curtis,Howard,5 - 10,175,Fr,2.0,3.5,TCU,4,15,3,0.0,0,0,0,0,"0
"
CB,Donnie,Thomas,6 - 3,171,(Fr),3.0,4.0,Kentucky,8,39,2,0.0,0,0,0,0,"0
"
CB,Joe,Holcomb,6 - 0,169,So,2.0,3.0,Wake Forest,1,2,1,0.0,0,0,0,0,"0
"
ILB,Kelvin,Brown,5 - 9,232,(Sr),2.5,2.5,Hawaii,4,30,0,0.0,0,0,0,0,"0
"
CB,Marcus,Farmer,6 - 1,177,Sr,3.5,3.5,Louisville,3,12,3,0.0,0,0,0,0,"0
"
DE,John,Bond,6 - 7,271,So,2.5,3.5,Oregon State,2,5,0,2.0,0,0,0,0,"0
"
CB,D.J.,Wright,5 - 11,221,Fr,2.0,3.0,Indiana,3,5,3,0.0,0,0,0,1,"0
"
ILB,Steven,Irwin,5 - 11,214,So,2.5,4.0,Iowa State,4,36,0,0.0,0,0,0,0,"0
"
CB,Marcus,Carroll,5 - 11,172,Sr,3.5,3.5,Northwestern,3,7,3,0.0,0,0,0,1,"0
"
CB,Curtis,Martin,5 - 11,169,Fr,1.0,3.0,Georgia Tech,1,5,0,0.0,0,0,0,0,"0
"
ILB,Jamie,Palma,6 - 2,226,Sr,2.5,2.5,Colorado State,5,30,0,4.0,1,0,0,0,"0
"
FS,Jay,Freeman,6 - 2,203,Sr,3.5,3.5,Miami,1,8,1,0.0,0,0,0,0,"0
"
OLB,Terry,Tarkenton,6 - 1,228,Sr,3.5,3.5,Virginia Tech,9,79,0,0.0,0,0,0,0,"0
"
SS,James,Elder,5 - 10,198,Fr,2.5,3.5,Houston,2,5,2,0.0,0,0,0,0,"0
"
ILB,Keith,Lynch,6 - 1,233,(Sr),3.5,3.5,North Carolina,10,84,1,3.0,0,0,0,0,"0
"
OLB,George,Arrington,5 - 9,213,Sr,2.5,3.0,Arizona,8,60,0,1.0,1,1,0,0,"0
"
FS,James,Ponder,5 - 10,183,Jr,3.5,4.0,Florida,1,0,1,0.0,0,0,0,0,"0
"
CB,Makao,Giaquinto,5 - 11,178,So,2.0,2.0,UCF,2,5,1,0.0,0,0,0,0,"0
"
DE,Willie,Anderson,6 - 2,288,Sr,4.5,4.5,South Carolina,2,3,0,4.0,0,0,0,0,"0
"
DE,Lucio,Booth,6 - 1,275,(So),2.5,3.0,SDSU,4,12,0,5.0,0,1,0,0,"0
"
SS,Walter,Dorow,5 - 11,200,So,3.5,5.0,Georgia,2,7,1,1.0,0,0,0,0,"0
"
ILB,Charles,Pucillo,6 - 1,221,Jr,3.0,3.0,Missouri,2,13,0,0.0,0,0,0,0,"0
"
FS,Michael,Hawkins,6 - 0,167,Sr,2.5,3.0,Navy,2,8,0,0.0,0,0,0,0,"0
"
CB,Ronnie,Brown,5 - 9,162,Sr,3.0,3.5,Houston,7,37,1,0.0,0,0,0,0,"0
"
DT,Ken,Wells,6 - 4,316,Sr,4.5,4.5,Ohio State,1,3,0,2.0,0,0,0,0,"0
"
CB,Benito,Herbert,5 - 8,164,(Jr),2.5,3.0,Illinois,3,12,2,0.0,0,0,0,0,"0
"
DT,James,Strickland,6 - 8,288,Sr,3.0,3.0,Cincinnati,2,3,0,1.0,0,0,0,0,"0
"
CB,Marcus,Dewveal,5 - 10,168,Sr,3.0,3.0,Wake Forest,6,18,4,0.0,0,0,0,1,"0
"
ILB,J.T.,Holcomb,5 - 11,230,(Jr),3.0,4.5,Michigan,10,83,0,3.0,0,0,0,0,"0
"
OLB,Patrick,Murphy,6 - 2,201,Fr,2.5,5.0,Minnesota,5,43,0,2.0,0,0,0,0,"0
"
DE,Clayton,Niklos,6 - 8,263,(Jr),3.5,3.5,Georgia Tech,5,15,0,8.0,0,0,0,0,"0
"
DE,Tinker,Cross,6 - 4,287,Sr,3.5,3.5,Notre Dame,1,3,0,2.0,0,0,0,0,"0
"
SS,Myron,Loud,5 - 11,201,(Fr),2.0,4.5,Iowa,1,5,0,0.0,0,0,0,0,"0
"
OLB,Tom,Johnson,6 - 1,218,Fr,2.0,4.0,Georgia State,11,58,0,0.0,0,0,0,0,"0
"
OLB,Danny,Johnston,6 - 1,219,(Jr),3.0,3.0,NC State,7,61,0,0.0,0,0,0,0,"0
"
CB,Damon,Burress,6 - 1,170,Sr,1.5,2.5,Hawaii,3,9,1,0.0,0,0,0,0,"0
"
FS,Stacy,Green,5 - 9,179,Jr,2.5,2.5,Kansas,1,12,0,0.0,0,0,0,0,"0
"
DT,Chris,Farris,6 - 4,276,(Jr),3.0,3.0,Boston College,1,3,0,0.0,0,0,0,0,"0
"
OLB,Wayne,Randle,6 - 0,228,Sr,2.5,2.5,California,1,6,0,0.0,0,0,0,0,"0
"
OLB,Reginald,Rice,6 - 1,220,Sr,2.5,2.5,Duke,4,23,0,0.0,0,0,0,0,"0
"
DE,Barron,Anthony,6 - 3,278,(Jr),5.0,5.0,USC,6,18,0,10.0,0,0,0,0,"0
"
SS,Brandon,Franklin,6 - 2,181,(Sr),3.5,3.5,Stanford,5,26,2,0.0,0,0,0,0,"0
"
DE,Todd,Wiley,6 - 0,252,(So),3.0,3.0,Rice,2,7,0,2.0,0,0,0,0,"0
"
CB,Gary,Chamberlain,6 - 1,174,(Jr),4.0,4.5,Notre Dame,5,24,3,0.0,0,0,0,1,"0
"
ILB,Dennis,Smith,6 - 0,251,(Sr),5.0,5.0,Northwestern,5,56,0,2.0,0,0,0,0,"0
"
CB,Francisco,Diaz,6 - 1,165,So,3.0,4.0,Colorado State,5,24,2,0.0,0,0,0,0,"0
"
SS,Miguel,Grimes,6 - 0,180,(Jr),2.5,2.5,Air Force,6,25,2,0.0,0,0,0,0,"0
"
OLB,Benjamin,Lin,6 - 2,224,Sr,3.5,3.5,Kansas,9,74,1,1.0,0,0,0,0,"0
"
CB,Lynn,Perry,6 - 3,187,So,3.0,4.5,LSU,1,6,0,0.0,0,0,0,0,"0
"
DE,Allen,DeLong,6 - 6,280,Sr,3.5,3.5,Washington State,1,0,0,1.0,0,0,0,0,"0
"
CB,Bob,Thomas,6 - 1,185,Sr,3.0,4.5,Penn State,2,7,2,0.0,0,0,0,0,"0
"
OLB,Lamar,Tennell,6 - 1,240,(Fr),3.5,4.5,Washington,5,37,0,1.0,0,0,0,0,"0
"
ILB,Willard,Arnold,6 - 2,249,(Sr),5.0,5.0,Texas,9,102,0,1.0,0,0,0,0,"0
"
ILB,Mike,Davenport,6 - 0,239,(Jr),3.0,3.0,Arizona State,6,44,0,0.0,0,0,0,0,"0
"
CB,David,Simpson,6 - 2,191,Sr,4.5,4.5,Baylor,5,22,2,0.0,0,0,0,0,"0
"
DE,Josh,Kassulke,6 - 4,298,Jr,3.5,4.5,Michigan,1,0,0,1.0,0,0,0,0,"0
"
DT,Jeremy,Miller,6 - 1,304,(Jr),4.0,5.0,Texas Tech,4,10,0,5.0,0,0,0,0,"0
"
FS,Bob,Johns,5 - 9,154,So,1.5,2.5,TCU,1,6,0,0.0,0,0,0,0,"0
"
ILB,Ben,Flores,6 - 1,223,So,2.5,4.0,Mississippi State,8,65,0,2.0,0,0,0,0,"0
"
CB,Kemp,Jasper,6 - 2,182,(Fr),3.0,4.0,Arizona State,8,36,4,0.0,0,0,0,1,"0
"
ILB,Justin,Bullard,6 - 0,230,Sr,4.0,4.0,Missouri,10,101,0,4.0,0,0,0,0,"1
"
DE,Grover,Walker,6 - 4,259,Jr,3.0,4.5,Kentucky,5,11,0,6.0,0,0,0,0,"0
"
OLB,Eddie,Ogden,5 - 9,227,(Sr),2.0,2.0,ECU,1,10,0,0.0,0,0,0,0,"0
"
DE,Alan,Slaughter,6 - 6,257,(Jr),3.5,3.5,Rice,2,10,0,2.0,0,0,0,0,"0
"
OLB,Jason,Mcpherson,6 - 1,223,Sr,3.5,3.5,Kansas State,1,7,0,0.0,0,0,0,0,"0
"
ILB,Michael,Williams,6 - 1,231,Jr,3.5,3.5,Pittsburgh,9,76,0,3.0,0,0,0,0,"0
"
DE,Brian,Bynum,6 - 6,275,So,2.5,4.5,Kansas State,2,8,0,2.0,0,0,0,0,"0
"
OLB,Bob,Boozer,6 - 1,218,So,3.0,3.0,Texas A&M,7,49,0,0.0,0,0,0,0,"0
"
FS,Shyrone,Dayne,5 - 11,165,Jr,2.5,2.5,Oregon,4,12,2,0.0,0,0,0,0,"0
"
DE,Alex,Fulcher,6 - 2,268,Jr,3.5,4.5,Clemson,3,7,0,3.0,0,0,0,0,"0
"
DT,Todd,Lewis,6 - 8,320,Sr,4.0,4.0,Oregon,1,4,0,1.0,0,0,0,0,"0
"
DT,Marcellus,Dodd,6 - 6,270,So,1.5,2.5,Rice,1,1,0,2.0,0,0,0,0,"0
"
CB,Laurent,Christensen,5 - 10,192,Fr,2.0,4.5,Army,5,21,4,1.0,0,0,0,0,"0
"
SS,Kyle,Smith,6 - 0,155,So,2.5,3.0,Maryland,1,2,1,0.0,0,0,0,0,"0
"
ILB,Najeh,Blue,6 - 1,225,Jr,2.5,3.5,Oregon,8,70,0,4.0,1,1,0,1,"0
"
OLB,Andrew,Sherrard,6 - 0,225,Jr,2.5,3.5,Wake Forest,3,26,0,0.0,0,0,0,0,"0
"
CB,Dale,Denney,6 - 1,193,Jr,3.5,4.0,Minnesota,1,0,1,0.0,0,0,0,0,"0
"
DT,Keyon,Borum,6 - 4,294,(Jr),3.0,3.0,Oklahoma,1,0,0,2.0,0,0,0,0,"0
"
DE,Earl,Redman,6 - 8,288,Sr,3.5,3.5,Louisville,1,2,0,1.0,0,0,0,0,"0
"
ILB,Jamal,Dickinson,5 - 11,232,(Sr),3.0,3.0,Virginia,2,13,0,0.0,0,0,0,0,"0
"
??,Doug,Moore,? - ??,???,(??),??,??,Texas,1,6,0,0.0,0,0,0,0,"0
"
ILB,Curtis,Hsu,6 - 2,218,Jr,4.0,4.0,Baylor,7,64,0,0.0,0,0,0,0,"0
"
DT,Frederick,Franco,6 - 3,267,(So),2.5,3.0,SMU,4,9,0,4.0,0,0,0,0,"0
"
SS,Clint,Brown,6 - 0,184,Jr,2.5,3.0,Penn State,1,5,0,0.0,0,0,0,0,"0
"
FS,Rob,Hamilton,5 - 11,188,(So),3.0,4.5,UCLA,1,10,0,0.0,0,0,0,0,"0
"
CB,Antonio,Powers,5 - 11,158,Sr,3.5,4.0,Virginia Tech,1,0,1,0.0,0,0,0,0,"0
"
FS,Claudis,Humphrey,6 - 2,183,Sr,3.5,4.0,Penn State,2,11,0,0.0,0,0,0,0,"0
"
ILB,Nolan,Thomas,6 - 2,222,Jr,2.5,3.0,Rice,10,86,0,1.0,0,0,0,0,"0
"
CB,Adrian,Benitez,5 - 11,221,Fr,2.5,3.0,Georgia State,5,18,1,0.0,0,0,0,0,"0
"
