 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Catches , Yards , TDs , Fumbles , YPC ," YPG
"
TE,LeRoy,Dunn,6 - 6,239,1,73,CLE,1,1,25,0,0,25,"25
"
WR,Carlos,Warren,5 - 11,178,3,80,CIN,15,42,561,6,0,13.36,"37.4
"
WR,Samuel,Jolley,6 - 2,218,R,80,PIT,11,31,413,3,0,13.32,"37.55
"
TE,Nate,Blue,6 - 2,239,2,77,KC,3,14,164,2,0,11.71,"54.67
"
WR,Jarius,Shaw - Dodd,5 - 11,213,R,82,SF,13,55,996,7,0,18.11,"76.62
"
WR,Cotton,Lewis,6 - 1,182,1,83,NYG,14,69,985,6,0,14.28,"70.36
"
WR,Walt,Peck,6 - 5,203,4,97,STL,14,90,1088,14,0,12.09,"77.71
"
RB,Keena,Kane,5 - 9,180,3,80,GB,1,1,9,1,0,9,"9
"
WR,Jerome,Smith,5 - 11,220,R,66,NO,1,2,40,1,0,20,"40
"
TE,Rick,Philcox,6 - 2,221,1,77,SD,2,3,59,0,0,19.67,"29.5
"
WR,Keith,Setzer,6 - 2,213,R,76,NYG,5,27,376,3,0,13.93,"75.2
"
WR,Lenny,Knott,6 - 1,180,1,63,KC,1,3,39,0,0,13,"39
"
TE,Stanley,Sherk,6 - 7,232,R,79,HOU,1,2,35,0,0,17.5,"35
"
RB,Akili,Wallace,5 - 10,180,2,94,ATL,1,5,60,0,0,12,"60
"
RB,Troy,McCray,6 - 0,205,R,80,SF,2,6,74,2,0,12.33,"37
"
TE,Donnie,Allen,6 - 5,247,R,81,CHI,5,21,324,4,0,15.43,"64.8
"
WR,Terry,Cross,6 - 2,173,2,70,JAX,5,15,225,1,0,15,"45
"
WR,David,Workman,6 - 3,201,1,67,KC,3,10,153,2,0,15.3,"51
"
RB,Don,Williams,5 - 10,226,4,87,CLE,1,2,37,1,0,18.5,"37
"
WR,Richard,Frazier,5 - 8,181,2,83,SD,13,45,606,2,0,13.47,"46.62
"
WR,Greg,Newman,5 - 9,168,4,89,NO,13,101,1133,10,0,11.22,"87.15
"
WR,Eddie,McFadden,6 - 4,163,1,83,CAR,6,32,497,4,0,15.53,"82.83
"
TE,James,Ware,6 - 8,236,3,83,WAS,5,18,232,5,0,12.89,"46.4
"
RB,Bradie,Sapp,5 - 11,185,4,79,TEN,2,5,69,1,0,13.8,"34.5
"
WR,Ken,Brown,6 - 5,174,3,80,NYJ,6,27,317,3,0,11.74,"52.83
"
WR,Ricky,Chambers,6 - 1,193,1,83,TB,12,42,651,5,0,15.5,"54.25
"
WR,Jim,Umenyiora,6 - 2,197,2,83,SEA,8,49,588,7,0,12,"73.5
"
WR,Jake,Bates,5 - 8,181,3,82,NE,11,69,867,4,0,12.57,"78.82
"
RB,Rickie,Baird,5 - 11,171,2,81,HOU,1,5,53,1,0,10.6,"53
"
WR,Zach,Fiore,6 - 2,191,3,72,WAS,4,16,193,3,0,12.06,"48.25
"
WR,Tommy,Pottios,6 - 6,183,R,81,SEA,16,84,1221,7,0,14.54,"76.31
"
WR,Allama,Banta,6 - 0,185,2,78,STL,10,51,706,8,0,13.84,"70.6
"
TE,Jerry,Cipa,6 - 0,236,1,82,TB,8,27,351,4,0,13,"43.88
"
TE,Matt,Thomas,6 - 3,219,R,76,OAK,3,8,139,3,0,17.38,"46.33
"
WR,Kevin,Williams,6 - 0,165,2,74,TB,1,1,9,1,0,9,"9
"
WR,Michael,Potts,6 - 1,196,3,80,BAL,5,18,246,2,0,13.67,"49.2
"
WR,Peter,Foster,6 - 1,174,1,75,CHI,5,16,249,2,0,15.56,"49.8
"
RB,Rob,Blackmon,6 - 0,206,4,88,NE,1,3,83,1,0,27.67,"83
"
RB,Tony,Peaks,5 - 10,239,4,87,IND,6,14,199,5,0,14.21,"33.17
"
FB,Broderick,Snell,5 - 11,235,4,79,HOU,1,1,6,1,0,6,"6
"
WR,Bob,Standlee,6 - 6,163,2,78,DET,2,4,74,2,0,18.5,"37
"
RB,Vaughan,Abraham,5 - 10,201,4,97,DAL,4,8,196,3,0,24.5,"49
"
WR,Brandon,Lane,5 - 11,187,3,77,CIN,6,16,249,3,0,15.56,"41.5
"
WR,Ibrahim,Smiley,6 - 0,168,R,75,BAL,4,17,234,4,0,13.76,"58.5
"
WR,Butch,Harper,6 - 5,165,R,78,ARI,9,44,615,3,0,13.98,"68.33
"
WR,Marvin,White,6 - 4,184,2,85,OAK,10,65,834,9,0,12.83,"83.4
"
WR,Patrick,Burke,6 - 4,165,1,82,SEA,5,21,292,3,0,13.9,"58.4
"
TE,Scott,Brown,6 - 1,250,2,80,PHI,2,4,69,1,0,17.25,"34.5
"
WR,Robert,Hunt,6 - 4,192,2,64,MIN,1,2,32,1,0,16,"32
"
TE,Brian,Gary,6 - 6,267,4,94,OAK,3,18,218,3,0,12.11,"72.67
"
WR,Rod,Woodley,6 - 2,199,4,72,NYJ,1,3,28,1,0,9.33,"28
"
TE,Paul,Johnson,6 - 2,257,4,79,BUF,9,29,330,2,0,11.38,"36.67
"
FB,John,Bills,5 - 11,210,R,75,OAK,2,3,13,2,0,4.33,"6.5
"
WR,Otto,Laing,6 - 3,196,3,69,TEN,2,5,57,2,0,11.4,"28.5
"
RB,Lavontae,Jackson,5 - 10,234,R,77,OAK,1,2,14,1,0,7,"14
"
RB,Shawn,Cole,5 - 9,188,3,89,SD,2,5,64,2,0,12.8,"32
"
WR,George,Lewis,5 - 11,181,R,78,NE,6,27,325,3,0,12.04,"54.17
"
RB,James,Bush,6 - 1,242,4,84,PIT,1,4,70,1,0,17.5,"70
"
RB,Paul,Gibbs,5 - 9,189,1,75,NO,2,6,69,2,0,11.5,"34.5
"
WR,Greg,Cobb,6 - 3,188,1,81,MIA,8,38,479,4,0,12.61,"59.88
"
WR,Rex,Walsh,5 - 11,165,R,81,OAK,5,21,280,4,0,13.33,"56
"
WR,Aaron,Pagliei,6 - 3,185,1,78,DET,9,50,604,1,0,12.08,"67.11
"
TE,Gary,Jones,6 - 5,238,3,87,NE,7,29,388,5,0,13.38,"55.43
"
WR,Tai,Miller,6 - 4,186,1,85,CLE,14,82,1219,10,0,14.87,"87.07
"
WR,Mosi,Bartos,5 - 8,161,2,90,IND,8,59,852,7,0,14.44,"106.5
"
RB,Jerry,Rambo,5 - 10,220,2,86,DEN,2,4,39,1,0,9.75,"19.5
"
TE,Paul,Carter - Williams,6 - 6,237,1,76,DAL,2,4,65,2,0,16.25,"32.5
"
WR,Tom,Branch,5 - 9,174,R,72,DET,10,33,433,6,0,13.12,"43.3
"
WR,Matt,Kreutz,6 - 3,199,3,76,IND,7,22,283,4,0,12.86,"40.43
"
WR,Ryan,Mitchell,5 - 11,176,3,87,BUF,14,66,975,8,0,14.77,"69.64
"
WR,Kenny,Cross,6 - 1,179,2,75,BAL,8,29,365,1,0,12.59,"45.63
"
WR,Riddick,Smith,6 - 0,185,4,89,ATL,15,81,1166,5,0,14.4,"77.73
"
WR,Adrian,Allen,6 - 4,183,1,81,WAS,12,70,928,7,0,13.26,"77.33
"
WR,Marion,Reeder,5 - 11,210,2,81,DEN,10,37,495,3,0,13.38,"49.5
"
WR,Richard,Zimmerman,6 - 2,189,3,79,CAR,7,44,561,5,0,12.75,"80.14
"
WR,Frank,Weiss,6 - 4,173,2,70,SD,4,10,105,4,0,10.5,"26.25
"
WR,Wayne,Wegert,6 - 5,188,4,84,GB,8,35,519,1,1,14.83,"64.88
"
FB,Donnie,Hubbert,5 - 11,229,1,85,CAR,2,2,15,2,0,7.5,"7.5
"
WR,Jamie,Keeton,6 - 5,191,4,71,BUF,4,10,145,3,0,14.5,"36.25
"
WR,Otis,Turner,5 - 11,209,3,71,GB,1,4,39,0,0,9.75,"39
"
WR,Douglas,Chadwick,5 - 10,182,1,73,CIN,2,4,45,1,0,11.25,"22.5
"
WR,Wesly,Anderson,6 - 0,196,3,78,BUF,8,26,339,3,0,13.04,"42.38
"
WR,Paul,Howell,6 - 0,191,3,90,NYJ,13,84,1109,6,0,13.2,"85.31
"
TE,Jason,Lee,6 - 1,232,4,82,IND,6,24,336,4,0,14,"56
"
TE,Isaiah,Davidson,6 - 6,247,2,83,HOU,10,42,547,4,0,13.02,"54.7
"
TE,George,Cox,6 - 6,243,2,72,NO,4,23,212,1,0,9.22,"53
"
WR,Tommy,Furrey,6 - 6,178,4,84,TEN,12,72,1037,5,0,14.4,"86.42
"
WR,Todd,Druckenmiller,5 - 9,186,1,80,SD,11,56,797,4,0,14.23,"72.45
"
WR,Art,Baber,5 - 9,201,3,83,ATL,7,22,321,1,0,14.59,"45.86
"
WR,Buddy,Heap,6 - 4,177,4,78,WAS,8,32,451,7,0,14.09,"56.38
"
RB,Mike,Latta,6 - 0,209,1,85,CAR,6,17,248,4,0,14.59,"41.33
"
WR,Brandon,Snead,6 - 1,205,3,85,CHI,11,41,547,2,0,13.34,"49.73
"
RB,Ben,Offerdahl,5 - 11,189,R,79,KC,2,6,50,2,0,8.33,"25
"
RB,Will,Craven,6 - 1,177,1,70,TB,1,2,24,1,0,12,"24
"
WR,Joe,Wallace,5 - 11,193,3,79,DEN,3,13,163,3,0,12.54,"54.33
"
WR,Spencer,Saul,6 - 3,197,R,70,STL,4,17,235,4,0,13.82,"58.75
"
WR,Anthony,McCardell,6 - 1,186,1,79,PIT,9,22,312,3,0,14.18,"34.67
"
RB,Quincy,Turner,6 - 1,200,3,83,CHI,3,6,52,3,0,8.67,"17.33
"
RB,Rickie,Edwards,6 - 1,176,2,75,KC,1,1,6,1,0,6,"6
"
TE,A.J.,Carter,6 - 6,226,3,77,DAL,4,8,130,2,0,16.25,"32.5
"
RB,Bryan,Davis,5 - 8,195,4,83,PHI,2,3,39,1,0,13,"19.5
"
WR,Quintavius,Pearson,6 - 0,196,R,78,TB,8,30,446,5,0,14.87,"55.75
"
TE,Jake,Schmidt,6 - 6,235,2,83,PIT,3,11,134,1,0,12.18,"44.67
"
WR,Bo,Woodall,6 - 1,202,R,81,ATL,12,51,703,6,0,13.78,"58.58
"
WR,Mark,Walker,5 - 11,190,4,80,ARI,9,44,633,5,0,14.39,"70.33
"
TE,Jamal,Hawkins,6 - 4,247,3,86,STL,4,16,201,4,0,12.56,"50.25
"
TE,Charlie,Bryson,6 - 6,231,3,76,NYJ,5,19,203,4,0,10.68,"40.6
"
TE,Anthony,Fasani,6 - 6,222,2,88,DET,3,20,257,4,0,12.85,"85.67
"
TE,Danny,Patrick,6 - 5,223,2,86,BAL,7,37,474,2,0,12.81,"67.71
"
RB,Chad,Dess,6 - 1,241,3,92,BUF,3,7,85,1,0,12.14,"28.33
"
TE,Quentin,McCullough,6 - 7,240,1,72,CAR,2,4,50,2,0,12.5,"25
"
WR,Cecil,Windsor,6 - 5,188,4,73,SF,7,21,285,2,0,13.57,"40.71
"
FB,Donald,Johns,5 - 11,239,R,75,ARI,1,2,20,1,0,10,"20
"
TE,Bernard,Taylor,6 - 1,267,4,92,GB,8,39,496,4,0,12.72,"62
"
RB,Marvin,Washington,5 - 8,178,R,75,NYJ,4,8,189,4,0,23.63,"47.25
"
WR,Steve,Warner,6 - 2,193,3,86,WAS,10,57,792,5,0,13.89,"79.2
"
TE,Johnny,Symonette,6 - 6,222,3,80,GB,5,14,193,2,0,13.79,"38.6
"
TE,Kelly,Littleton,6 - 3,239,1,81,CAR,6,25,332,5,0,13.28,"55.33
"
WR,Ron,Crouse,5 - 9,177,1,69,ARI,3,7,124,1,0,17.71,"41.33
"
WR,Ken,Peelle,6 - 6,214,4,86,SEA,6,31,355,2,0,11.45,"59.17
"
WR,E.J.,Steed,6 - 2,217,R,69,ATL,6,17,227,4,0,13.35,"37.83
"
TE,Eugene,Jackson,6 - 5,253,R,82,MIN,9,45,620,5,0,13.78,"68.89
"
WR,Jermaine,Bishop,6 - 4,194,R,77,CAR,12,63,926,9,0,14.7,"77.17
"
TE,Wilbert,Stoutmire,6 - 2,247,4,84,ARI,5,30,324,6,0,10.8,"64.8
"
WR,Rashad,Simon,6 - 4,187,2,86,IND,10,48,713,5,0,14.85,"71.3
"
TE,Scott,Howard,6 - 6,236,3,93,SD,13,53,767,11,0,14.47,"59
"
TE,Spec,Davidson,6 - 2,243,4,88,NO,5,35,386,8,0,11.03,"77.2
"
TE,Joe,Barrett,6 - 3,249,3,83,NYG,8,31,385,4,0,12.42,"48.13
"
WR,Mike,Tripplett,6 - 3,173,3,95,OAK,13,78,1114,7,0,14.28,"85.69
"
RB,Emmett,Spears,5 - 10,195,R,78,OAK,5,11,200,5,0,18.18,"40
"
WR,Darrell,Mack,6 - 2,156,1,83,DEN,14,77,1097,8,0,14.25,"78.36
"
FB,Marc,Ladner,6 - 0,210,1,73,PIT,1,2,16,1,0,8,"16
"
TE,Chris,Gano,6 - 4,235,R,79,NYG,3,6,103,2,0,17.17,"34.33
"
WR,Derrick,Schwartz,6 - 0,155,R,76,STL,12,87,1127,6,0,12.95,"93.92
"
RB,Elvis,Williams,5 - 11,181,4,89,DET,4,12,160,2,0,13.33,"40
"
RB,James,Otero,5 - 8,191,3,89,TB,2,5,66,2,0,13.2,"33
"
RB,Fred,Tindale,5 - 11,204,2,89,SEA,2,4,42,1,0,10.5,"21
"
TE,Robert,Ford,6 - 4,232,R,70,KC,5,18,210,2,0,11.67,"42
"
WR,Christopher,Harris,6 - 2,177,R,69,CIN,1,3,51,1,0,17,"51
"
WR,Al,Divito,6 - 0,186,1,75,HOU,3,9,103,3,0,11.44,"34.33
"
RB,Ron,Thomas,6 - 0,194,R,83,CIN,2,4,68,0,0,17,"34
"
TE,Charlie,Wilson,6 - 7,247,3,87,NYJ,2,7,82,1,0,11.71,"41
"
TE,Jeffrey,Jackson,6 - 3,230,R,72,SEA,1,1,26,1,0,26,"26
"
TE,Johnny,Duerson,6 - 5,238,R,76,TEN,1,2,22,1,0,11,"22
"
WR,Billy,Rodgers,6 - 1,164,2,86,HOU,11,58,710,4,0,12.24,"64.55
"
WR,Hines,Mertens,5 - 8,176,1,83,KC,12,69,977,7,0,14.16,"81.42
"
WR,Jacky,Walters,6 - 1,179,1,72,MIA,1,2,18,1,0,9,"18
"
WR,Sid,Wilson,6 - 1,205,1,70,MIN,9,34,439,6,0,12.91,"48.78
"
WR,Dan,Nomellini,6 - 1,182,4,96,GB,15,122,1422,11,0,11.66,"94.8
"
RB,Gil,Novacek,5 - 11,188,R,77,GB,6,16,199,5,0,12.44,"33.17
"
WR,Joe,Coleman,5 - 10,172,2,73,DAL,1,2,27,1,0,13.5,"27
"
TE,D.J.,Gibson,6 - 5,232,R,82,MIA,12,47,661,8,0,14.06,"55.08
"
WR,Malaefou,Lewis,5 - 8,181,R,68,PIT,5,12,172,2,0,14.33,"34.4
"
RB,Booker T.,Washington,6 - 1,208,3,87,BAL,3,9,111,1,0,12.33,"37
"
WR,Curtis,Settles,6 - 0,207,R,80,JAX,15,71,968,7,0,13.63,"64.53
"
WR,Sam,Salaam,6 - 3,193,4,74,BAL,2,6,74,0,0,12.33,"37
"
RB,Sterling,Brown,6 - 0,174,2,88,NYG,2,5,43,2,0,8.6,"21.5
"
WR,Mark,Harrington,6 - 6,177,1,82,NYG,10,60,795,8,0,13.25,"79.5
"
WR,Alex,Gash,6 - 5,186,R,71,DAL,10,32,481,7,0,15.03,"48.1
"
WR,Kurt,Hill,5 - 9,196,4,86,DAL,14,61,799,2,0,13.1,"57.07
"
WR,M.L.,Kriewaldt,5 - 8,170,3,84,DAL,12,43,534,3,0,12.42,"44.5
"
WR,Cameron,Whelahan,6 - 4,211,R,76,PHI,14,43,635,8,0,14.77,"45.36
"
WR,Orlando,Bielski,5 - 10,181,2,72,CAR,2,8,114,2,0,14.25,"57
"
WR,Drew,Jackson,6 - 6,177,2,75,ARI,1,8,89,2,0,11.13,"89
"
TE,Doug,Bosley,6 - 4,245,2,76,DEN,4,8,91,2,0,11.38,"22.75
"
TE,Uriel,Leach,6 - 1,239,R,70,OAK,3,10,129,2,0,12.9,"43
"
RB,Rasheed,Kent,6 - 1,205,2,80,MIN,4,11,122,3,0,11.09,"30.5
"
RB,John,Adams,5 - 11,171,R,74,JAX,1,2,19,1,0,9.5,"19
"
TE,Derek,Harrison,6 - 1,251,4,94,JAX,11,52,792,6,0,15.23,"72
"
TE,Shane,Kaufman,6 - 2,237,R,76,IND,2,2,32,1,0,16,"16
"
FB,Cory,Hendricks,6 - 1,239,R,78,IND,1,1,9,1,0,9,"9
"
WR,Gordon,Kleinsasser,6 - 6,200,1,81,HOU,10,63,761,8,0,12.08,"76.1
"
WR,Wesly,Chandler,6 - 0,170,4,81,JAX,13,74,1069,9,0,14.45,"82.23
"
WR,Cap,Christian,6 - 3,176,2,82,TEN,14,73,978,8,0,13.4,"69.86
"
TE,Damani,Spillman,6 - 0,230,R,78,PHI,4,11,105,4,0,9.55,"26.25
"
WR,Clint,Wiley,6 - 6,178,R,70,DAL,1,3,35,0,0,11.67,"35
"
WR,Aric,Greene,6 - 0,214,3,75,NYG,5,12,194,3,0,16.17,"38.8
"
WR,Henry,Hamilton,6 - 4,200,1,68,KC,4,13,172,2,0,13.23,"43
"
RB,Jeff,Collett,5 - 11,193,1,77,WAS,4,12,201,4,0,16.75,"50.25
"
WR,Bill,Hardy,5 - 11,190,1,78,MIA,6,23,284,4,0,12.35,"47.33
"
WR,Harry,Whiteside,6 - 5,169,R,79,KC,7,28,415,2,0,14.82,"59.29
"
RB,Joseph,Bowen,5 - 9,185,1,82,ARI,1,2,29,1,0,14.5,"29
"
WR,Steve,Alexander,6 - 6,184,2,80,NO,9,42,492,2,0,11.71,"54.67
"
TE,Kendall,Brandon,6 - 6,240,1,74,MIA,6,12,198,4,0,16.5,"33
"
WR,Kevin,Branch,6 - 5,187,2,87,SF,16,89,1298,11,0,14.58,"81.13
"
RB,Chester,Henson,5 - 11,226,4,99,MIN,1,3,42,1,0,14,"42
"
WR,John,Whisenhunt,6 - 3,170,3,75,SF,1,3,41,1,0,13.67,"41
"
RB,Keith,Dunn,5 - 11,179,3,80,MIA,2,2,24,2,0,12,"12
"
RB,Nick,Engelberger,5 - 8,186,1,75,PIT,2,6,82,2,0,13.67,"41
"
TE,Oscar,Fisk,6 - 8,245,R,78,ATL,5,15,180,2,0,12,"36
"
TE,Cameron,Duncan,6 - 3,249,3,76,STL,1,2,25,1,0,12.5,"25
"
RB,Greg,Allen,5 - 10,206,R,70,BAL,1,2,18,1,0,9,"18
"
RB,John,Harris,5 - 11,181,1,80,TEN,1,3,29,1,0,9.67,"29
"
TE,Darren,Jones,6 - 7,241,R,82,DEN,11,51,771,9,0,15.12,"70.09
"
RB,John,McMurtry,5 - 11,212,3,77,DEN,2,6,90,0,0,15,"45
"
TE,Anthony,Baumhower,6 - 1,237,1,70,CIN,1,1,5,1,0,5,"5
"
WR,Tony,Gross,6 - 4,188,3,79,TEN,9,35,483,3,0,13.8,"53.67
"
RB,Ike,Nimmo,5 - 9,219,1,77,JAX,1,2,20,1,0,10,"20
"
