 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Catches , Yards , TDs , Fumbles , YPC ," YPG
"
WR,Hugh,Brown,6 - 6,194,R,63,JAX,9,28,360,0,0,12.86,"40
"
TE,Sean,Ryan,6 - 4,204,1,40,DAL,1,4,51,0,0,12.75,"51
"
TE,Bernard,Taylor,6 - 1,267,R,76,GB,10,44,538,6,0,12.23,"53.8
"
WR,Tommy,Furrey,6 - 6,178,R,71,NE,9,38,461,4,0,12.13,"51.22
"
WR,Sam,Salaam,6 - 3,193,R,60,NE,8,24,355,3,0,14.79,"44.38
"
WR,David,Gaines,6 - 2,190,R,69,NYJ,10,31,501,5,0,16.16,"50.1
"
TE,Vishante,Freeman,6 - 7,260,R,67,NO,8,23,248,2,0,10.78,"31
"
WR,Rod,Woodley,6 - 2,199,R,58,NYJ,9,27,268,0,0,9.93,"29.78
"
WR,Mark,Walker,5 - 11,190,R,72,MIN,11,56,666,8,0,11.89,"60.55
"
TE,Jerry,Walker,6 - 2,245,R,57,NE,1,3,38,0,0,12.67,"38
"
RB,Brian,Kiel,6 - 1,213,R,74,NYJ,2,5,57,0,0,11.4,"28.5
"
TE,Paul,Johnson,6 - 2,257,R,67,MIN,10,43,501,4,0,11.65,"50.1
"
WR,Ron,Porter,6 - 2,207,R,52,OAK,6,11,94,1,0,8.55,"15.67
"
WR,Eric,Falkred,6 - 2,190,1,40,STL,1,1,17,0,0,17,"17
"
WR,James,Anderson,5 - 11,205,1,40,CIN,7,7,67,0,0,9.57,"9.57
"
TE,Aaron,Cross,6 - 4,239,R,52,CIN,2,2,29,0,0,14.5,"14.5
"
WR,Gary,Faneca,6 - 5,189,R,77,DET,11,87,900,5,0,10.34,"81.82
"
WR,Peppi,Denson,6 - 4,177,R,53,CAR,5,23,241,0,0,10.48,"48.2
"
RB,David,Ortiz,5 - 10,207,R,70,GB,1,3,43,1,0,14.33,"43
"
RB,Elvis,Williams,5 - 11,181,R,76,NE,1,4,49,1,0,12.25,"49
"
RB,Justin,Buchanan,5 - 10,184,R,74,OAK,1,1,14,0,0,14,"14
"
WR,Ken,Peelle,6 - 6,214,R,74,DET,11,45,464,0,0,10.31,"42.18
"
TE,Monsanto,Williams,6 - 2,251,R,54,ATL,10,32,371,6,0,11.59,"37.1
"
WR,Charlie,White,6 - 0,171,R,68,ATL,11,31,404,5,0,13.03,"36.73
"
WR,Cecil,Windsor,6 - 5,188,R,67,ATL,9,21,213,1,0,10.14,"23.67
"
TE,Spec,Davidson,6 - 2,243,R,72,CAR,8,52,565,8,0,10.87,"70.63
"
WR,Benjamin,Barron,6 - 4,184,1,40,DAL,6,12,121,0,0,10.08,"20.17
"
RB,Vaughan,Abraham,5 - 10,201,R,80,DAL,2,5,59,0,0,11.8,"29.5
"
WR,Kawika,Clowney,6 - 1,183,1,40,IND,1,7,73,1,0,10.43,"73
"
WR,Wayne,Wegert,6 - 5,188,R,74,GB,11,56,709,7,0,12.66,"64.45
"
WR,Brian,LeBlanc,6 - 5,176,R,60,GB,8,27,418,3,0,15.48,"52.25
"
RB,Shawn,Carr,6 - 0,177,R,73,IND,4,7,71,0,0,10.14,"17.75
"
WR,Oliver,OConnor,6 - 0,195,1,40,CIN,11,22,232,0,0,10.55,"21.09
"
TE,Jason,Lee,6 - 1,232,R,72,IND,10,46,512,4,0,11.13,"51.2
"
TE,Jack,Stewart,6 - 4,227,R,62,CLE,11,36,426,4,0,11.83,"38.73
"
WR,Derek,Nelson,6 - 6,197,R,57,GB,3,12,138,3,0,11.5,"46
"
WR,Wesly,Anderson,6 - 0,170,R,78,CLE,11,30,362,3,0,12.07,"32.91
"
WR,RayLee,Marconi,6 - 5,180,R,70,CLE,11,43,537,3,0,12.49,"48.82
"
WR,Riddick,Smith,6 - 0,185,R,71,MIA,11,43,551,5,0,12.81,"50.09
"
TE,Obafemi,Chamberlin,6 - 6,243,R,65,NYJ,10,32,333,1,0,10.41,"33.3
"
WR,Buddy,Heap,6 - 4,177,R,69,JAX,9,38,540,5,0,14.21,"60
"
WR,Walt,Peck,6 - 5,203,R,83,STL,11,74,1075,15,0,14.53,"97.73
"
WR,Dan,Nomellini,6 - 1,182,R,80,CAR,10,96,1185,10,0,12.34,"118.5
"
WR,Jamie,Keeton,6 - 5,191,R,55,STL,11,34,418,2,0,12.29,"38
"
RB,Tony,Peaks,5 - 10,239,R,79,IND,5,16,229,2,0,14.31,"45.8
"
RB,Mario,Rattay,5 - 10,187,R,64,MIA,1,2,24,1,0,12,"24
"
WR,Mike,Wiggins,5 - 9,179,R,58,STL,3,9,113,0,0,12.56,"37.67
"
WR,Audray,Gabriel,6 - 2,189,R,57,MIA,9,34,307,2,0,9.03,"34.11
"
WR,Wayne,Grover,6 - 1,185,1,40,NYJ,2,2,30,0,0,15,"15
"
WR,Walter,Grzeskowiak,6 - 5,178,R,60,CAR,3,21,223,1,0,10.62,"74.33
"
TE,Orly,Jones,6 - 6,220,1,40,IND,1,1,18,0,0,18,"18
"
RB,Kevin,Richards,5 - 11,182,R,80,NO,1,1,17,0,0,17,"17
"
TE,Derek,Harrison,6 - 1,251,R,80,MIA,9,38,403,5,0,10.61,"44.78
"
WR,Vaughn,Gash,6 - 3,183,R,69,NO,6,21,178,0,0,8.48,"29.67
"
WR,James,Lysander,5 - 11,169,1,40,DAL,4,8,64,0,0,8,"16
"
WR,Tavon,King,6 - 4,189,1,40,DAL,1,1,18,0,0,18,"18
"
WR,Jason,Voigt,5 - 9,176,R,71,MIN,10,33,301,0,0,9.12,"30.1
"
WR,Jarius,Mitchell,6 - 4,164,1,40,IND,2,10,92,1,0,9.2,"46
"
WR,Greg,Newman,5 - 9,168,R,79,NO,10,41,548,7,0,13.37,"54.8
"
WR,Horace,Williams,6 - 2,200,R,53,NO,4,7,82,0,0,11.71,"20.5
"
WR,Ahmaad,Baxter,6 - 1,178,R,55,MIA,1,3,60,1,0,20,"60
"
TE,Kevin,Knight,6 - 8,234,R,66,DAL,7,23,233,0,0,10.13,"33.29
"
