 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
RB,Akili,Wallace,5 - 10,180,R,83, - ,Atlanta,3,7,143,2,20.43,"47.67
"
WR,Richard,Zimmerman,6 - 2,189,1,73, - ,Carolina,8,38,527,4,13.87,"65.88
"
RB,Chester,Henson,5 - 11,226,2,94, - ,Minnesota,6,22,259,6,11.77,"43.17
"
RB,Justin,Buchanan,5 - 10,184,2,81, - ,Oakland,5,18,239,5,13.28,"47.80
"
WR,Eric,Minter,6 - 4,187,1,76, - ,Minnesota,5,14,243,1,17.36,"48.60
"
WR,Tommy,Furrey,6 - 6,178,2,77, - ,Houston,7,22,299,3,13.59,"42.71
"
WR,Zach,Fiore,6 - 2,191,1,71, - ,Atlanta,4,8,129,0,16.12,"32.25
"
WR,Carlos,Warren,5 - 11,178,1,76, - ,Cincinnati,3,10,120,1,12.00,"40.00
"
FB,Anthony,Thomas,5 - 11,222,1,75, - ,Minnesota,1,2,19,1,9.50,"19.00
"
TE,Tom,Ellis,6 - 3,265,2,76, - ,Jacksonville,9,30,431,5,14.37,"47.89
"
TE,Isaiah,Davidson,6 - 6,247,R,75, - ,Houston,7,22,288,3,13.09,"41.14
"
WR,Joe,Wallace,5 - 11,193,1,75, - ,Denver,9,15,178,2,11.87,"19.78
"
TE,Doug,Bosley,76,245,R,70, - ,Denver,1,1,8,0,8.00,"8.00
"
RB,Steven,Curtis,6 - 0,186,2,77, - ,Cincinnati,1,4,48,1,12.00,"48.00
"
WR,Robert,Tomczak,6 - 6,194,1,69, - ,Seattle,1,1,19,0,19.00,"19.00
"
FB,Edgerrin,Petty,6 - 1,219,R,72, - ,Dallas,1,2,22,1,11.00,"22.00
"
WR,Ken,Brown,6 - 5,174,1,75, - ,Seattle,7,32,466,2,14.56,"66.57
"
FB,Brian,Gelbaugh,6 - 1,226,R,72, - ,New England,1,2,30,1,15.00,"30.00
"
RB,Rickie,Baird,5 - 11,171,R,79, - ,Houston,2,6,76,1,12.67,"38.00
"
WR,Mario,Dickson,6 - 6,189,2,59, - ,Jacksonville,1,2,28,0,14.00,"28.00
"
TE,Will,Tensi,6 - 2,238,2,70, - ,Oakland,1,3,34,1,11.33,"34.00
"
WR,Richard,Frazier,5 - 8,181,R,81, - ,San Diego,11,43,701,2,16.30,"63.73
"
RB,Jerry,Rambo,5 - 10,220,R,80, - ,Denver,1,1,7,0,7.00,"7.00
"
WR,Steve,Warner,6 - 2,193,1,77, - ,Cincinnati,8,28,410,3,14.64,"51.25
"
WR,Jim,Umenyiora,6 - 2,197,R,80, - ,New York Jets,3,9,147,1,16.33,"49.00
"
RB,Quincy,Turner,6 - 1,200,1,82, - ,Detriot,1,4,64,0,16.00,"64.00
"
RB,Keena,Kane,5 - 9,180,1,76, - ,Green Bay,1,1,8,1,8.00,"8.00
"
WR,M.L.,Kriewaldt,5 - 8,170,1,81, - ,Dallas,8,19,255,1,13.42,"31.88
"
WR,Orlando,Bielski,70,181,R,66, - ,Cincinnati,2,3,32,2,10.67,"16.00
"
WR,Art,Baber,5 - 9,201,1,77, - ,Atlanta,10,26,435,3,16.73,"43.50
"
TE,Brian,Gary,6 - 6,267,2,85, - ,Oakland,7,53,662,8,12.49,"94.57
"
WR,Matt,Kreutz,6'3,199,1,72, - ,San Diego,3,9,105,1,11.67,"35.00
"
WR,Rod,Woodley,6 - 2,199,2,65, - ,New York Jets,3,5,76,2,15.20,"25.33
"
WR,Ken,Peelle,6 - 6,214,2,81, - ,Detriot,7,33,370,0,11.21,"52.86
"
WR,Dan,Nomellini,73,182,2,89, - ,Carolina,12,96,1354,5,14.10,"112.83
"
TE,Tony,Saunders,6 - 0,233,2,52, - ,Jacksonville,2,5,65,0,13.00,"32.50
"
TE,Gary,Jones,6 - 5,238,1,85, - ,New England,9,44,543,6,12.34,"60.33
"
RB,Sterling,Brown,6 - 0,174,R,83, - ,New York Giants,3,11,119,3,10.82,"39.67
"
RB,Brian,Kiel,6'1,213,2,80, - ,San Francisco,1,2,37,1,18.50,"37.00
"
TE,Jamal,Hawkins,6 - 4,247,1,81, - ,St. Louis,5,18,226,3,12.56,"45.20
"
WR,Wesly,Anderson,6 - 0,170,2,80, - ,Baltimore,2,6,80,0,13.33,"40.00
"
WR,Bob,Standlee,6 - 6,163,R,78, - ,New England,7,31,437,1,14.10,"62.43
"
TE,Nate,Blue,74,239,R,75, - ,Cleveland,8,24,331,4,13.79,"41.38
"
TE,Anthony,Fasani,6 - 6,222,R,78, - ,Detriot,10,44,505,2,11.48,"50.50
"
RB,Marcus,Barry,6 - 0,193,R,81, - ,Tampa Bay,1,3,55,1,18.33,"55.00
"
WR,Ahmaad,Baxter,6 - 1,178,2,60, - ,Miami,1,1,10,1,10.00,"10.00
"
RB,Booker T.,Washington,6 - 1,208,1,77, - ,Baltimore,5,15,222,5,14.80,"44.40
"
TE,Joe,Barrett,6 - 3,249,1,79, - ,New York Giants,6,24,294,5,12.25,"49.00
"
TE,Monroe,McCormack,77,225,?,63, - ,San Diego,2,3,44,1,14.67,"22.00
"
WR,Brandon,Snead,6 - 1,205,1,76, - ,Atlanta,4,9,131,1,14.56,"32.75
"
TE,Obafemi,Chamberlin,6 - 6,243,2,74, - ,Houston,2,3,32,2,10.67,"16.00
"
WR,Scott,Vaughn,73,176,R,66, - ,Cincinnati,3,7,108,2,15.43,"36.00
"
RB,Chad,Dess,6 - 1,241,1,85, - ,Green Bay,3,9,132,2,14.67,"44.00
"
RB,Don,Williams,5 - 10,226,2,88, - ,Cleveland,3,11,175,4,15.91,"58.33
"
RB,J.J.,Hammond,5 - 11,229,2,71, - ,Tampa Bay,1,4,47,1,11.75,"47.00
"
WR,Mosi,Bartos,5 - 8,161,R,82, - ,Indianapolis,10,47,727,3,15.47,"72.70
"
RB,Trace,Buchanan,6 - 0,187,2,67, - ,Cleveland,1,1,7,1,7.00,"7.00
"
WR,David,Gaines,6 - 2,190,2,80, - ,St. Louis,11,43,642,5,14.93,"58.36
"
WR,Paul,Godfrey,6 - 1,180,1,69, - ,New Orleans,1,2,30,1,15.00,"30.00
"
WR,Kenny,Cross,73,179,R,69, - ,Baltimore,3,7,95,1,13.57,"31.67
"
WR,Tony,Gross,6 - 4,188,1,74, - ,Indianapolis,3,8,96,1,12.00,"32.00
"
WR,Otto,Laing,6 - 3,196,1,70, - ,Dallas,1,2,39,1,19.50,"39.00
"
WR,Mark,Walker,5 - 11,190,2,79, - ,Minnesota,10,40,577,2,14.43,"57.70
"
TE,James,Ware,6 - 8,236,1,76, - ,Dallas,8,20,313,4,15.65,"39.12
"
TE,Ben,Thomas,6 - 6,224,R,80, - ,San Francisco,8,29,371,4,12.79,"46.38
"
WR,Wesly,Anderson,6 - 0,196,1,77, - ,Jacksonville,7,25,343,1,13.72,"49.00
"
WR,Marcus,Banks,5 - 11,201,R,76, - ,Miami,7,24,343,5,14.29,"49.00
"
WR,David,Wells,6 - 5,187,R,75, - ,Baltimore,9,29,390,3,13.45,"43.33
"
WR,Luther,Peacock,6 - 1,204,1,61, - ,Minnesota,1,1,13,0,13.00,"13.00
"
RB,Russ,Martin,72,215,1,79, - ,Carolina,4,19,207,3,10.89,"51.75
"
WR,Cecil,Windsor,6 - 5,188,2,69, - ,San Francisco,5,11,162,0,14.73,"32.40
"
WR,Jake,Bates,5 - 8,181,1,79, - ,New England,12,59,855,2,14.49,"71.25
"
WR,Dean,Porter,5 - 11,188,1,70, - ,Tampa Bay,4,9,134,2,14.89,"33.50
"
TE,Vaughn St.,Clair,6 - 2,233,1,74, - ,Cincinnati,1,1,5,1,5.00,"5.00
"
WR,Lee,Lowe,6 - 6,180,R,74, - ,New York Giants,9,41,657,6,16.02,"73.00
"
TE,Cecil,Meinert,6 - 6,250,2,66, - ,New England,2,6,35,1,5.83,"17.50
"
TE,Scott,Brown,73,250,R,75, - ,Seattle,10,33,428,3,12.97,"42.80
"
WR,Peppi,Denson,76,177,2,55, - ,Carolina,3,12,158,1,13.17,"52.67
"
WR,Walt,Peck,6 - 5,203,2,94, - ,St. Louis,11,74,1142,13,15.43,"103.82
"
WR,Brian,LeBlanc,6 - 5,176,2,62, - ,Oakland,1,2,14,1,7.00,"14.00
"
RB,Bobby,Givan,5 - 11,188,1,81, - ,Indianapolis,1,2,25,1,12.50,"25.00
"
WR,Greg,Newman,5 - 9,168,2,85, - ,New Orleans,11,38,608,2,16.00,"55.27
"
RB,O.J.,Carano,5 - 11,217,1,87, - ,New York Jets,3,7,118,3,16.86,"39.33
"
WR,Cliff,Molden,5 - 11,214,1,67, - ,Green Bay,2,9,77,1,8.56,"38.50
"
WR,Bud,Farmer,75,195,R,65, - ,Denver,1,1,4,0,4.00,"4.00
"
WR,Mike,Tripplett,6 - 3,173,1,86, - ,Oakland,8,48,707,6,14.73,"88.38
"
RB,Keith,Dunn,5 - 11,179,1,77, - ,Dallas,1,3,29,1,9.67,"29.00
"
WR,Allama,Banta,6 - 0,185,R,72, - ,St. Louis,6,16,271,2,16.94,"45.17
"
TE,Derek,Harrison,6 - 1,251,2,90, - ,Miami,8,38,528,8,13.89,"66.00
"
WR,Christopher,Johnson,6 - 1,173,R,74, - ,Cleveland,8,28,451,2,16.11,"56.38
"
RB,Fred,Tindale,5 - 11,204,R,81, - ,Seattle,2,4,76,2,19.00,"38.00
"
RB,Vaughan,Abraham,5 - 10,201,2,89, - ,Dallas,1,2,40,1,20.00,"40.00
"
WR,Charlie,Paul,5 - 9,163,R,76, - ,New York Jets,10,37,601,2,16.24,"60.10
"
WR,Ray Lee,Marconi,6 - 5,180,2,78, - ,Cleveland,12,46,756,2,16.43,"63.00
"
WR,Paul,Howell,6 - 0,191,1,81, - ,Baltimore,12,54,895,7,16.57,"74.58
"
WR,Michael,Potts,6 - 1,196,1,73, - ,New York Jets,3,7,137,0,19.57,"45.67
"
TE,Spec,Davidson,6 - 2,243,2,82, - ,New Orleans,8,20,309,6,15.45,"38.62
"
FB,Ian,Smith,74,222,R,67, - ,Denver,2,2,40,0,20.00,"20.00
"
TE,Bill,Jenkins,6 - 5,242,1,85, - ,Minnesota,6,32,392,5,12.25,"65.33
"
TE,Tony,DeMarco,6 - 3,247,R,75, - ,Cincinnati,6,22,270,6,12.27,"45.00
"
TE,George,Cox,6 - 6,243,R,71, - ,New Orleans,1,2,27,0,13.50,"27.00
"
WR,Willie,Hodge,6 - 5,194,1,73, - ,Oakland,3,13,154,1,11.85,"51.33
"
WR,Todd,Walker,6 - 5,198,1,61, - ,New Orleans,1,1,20,0,20.00,"20.00
"
RB,Tony,Peaks,5 - 10,239,2,84, - ,Indianapolis,2,4,78,2,19.50,"39.00
"
RB,Elvis,Williams,5 - 11,181,2,82, - ,San Diego,1,1,13,0,13.00,"13.00
"
WR,John,Gross,78,185,R,77, - ,Green Bay,6,21,269,2,12.81,"44.83
"
WR,Tom,Grant,6 - 0,172,2,78, - ,New Orleans,7,19,287,1,15.11,"41.00
"
TE,Jim,Morgan,6 - 6,238,1,73, - ,New York Giants,2,4,47,1,11.75,"23.50
"
WR,Robert,Hunt,6 - 4,192,R,68, - ,New England,1,3,35,1,11.67,"35.00
"
WR,John,Whisenhunt,6 - 3,170,1,70, - ,San Francisco,8,23,304,0,13.22,"38.00
"
WR,Gary,Faneca,6 - 5,189,2,90, - ,Detriot,12,72,937,5,13.01,"78.08
"
RB,James,Otero,5 - 8,191,1,86, - ,Miami,2,4,72,2,18.00,"36.00
"
FB,Greg,Williams,72,251,2,63, - ,Carolina,1,2,12,1,6.00,"12.00
"
WR,Kurt,Hill,5 - 9,196,2,85, - ,Dallas,10,25,429,4,17.16,"42.90
"
TE,Scott,Howard,6'6,236,1,81, - ,San Diego,12,52,673,8,12.94,"56.08
"
WR,Cap,Christian,6 - 3,176,R,81, - ,New York Giants,7,30,393,2,13.10,"56.14
"
WR,Sam,Hill,77,176,R,65, - ,Denver,1,1,13,0,13.00,"13.00
"
FB,Alex,Engram,6 - 1,252,1,73, - ,Miami,1,2,38,0,19.00,"38.00
"
WR,Kevin,Branch,6 - 5,187,R,80, - ,San Francisco,12,45,639,3,14.20,"53.25
"
WR,Buddy,Heap,6 - 4,177,2,76, - ,Jacksonville,9,34,457,3,13.44,"50.78
"
TE,Jason,Lee,6 - 1,232,2,77, - ,Indianapolis,8,24,343,4,14.29,"42.88
"
WR,Brandon,Snead,6 - 1,205,1,76, - ,Miami,1,4,50,1,12.50,"50.00
"
WR,Rashad,Simon,6/4,187,R,79, - ,Indianapolis,7,21,304,2,14.48,"43.43
"
WR,Joe,Coleman,5 - 10,172,R,73, - ,Dallas,5,10,159,2,15.90,"31.80
"
WR,Juan,Armstead,69,191,R,64, - ,Cleveland,4,11,132,3,12.00,"33.00
"
WR,Audray,Gabriel,6 - 2,189,2,63, - ,San Francisco,2,5,63,0,12.60,"31.50
"
WR,Andy,Goode,6 - 2,166,1,74, - ,Indianapolis,1,1,16,1,16.00,"16.00
"
WR,Steve,Alexander,6 - 6,184,R,74, - ,New Orleans,7,21,284,4,13.52,"40.57
"
WR,Ryan,Mitchell,5 - 11,176,1,78, - ,Cincinnati,12,51,927,5,18.18,"77.25
"
WR,Riddick,Smith,6 - 0,185,2,84, - ,Miami,4,16,253,2,15.81,"63.25
"
WR,Kirk,Pierce,6 - 1,171,1,71, - ,Seattle,5,12,186,0,15.50,"37.20
"
WR,Billy,Williams,6 - 6,172,1,72, - ,New York Giants,1,3,39,0,13.00,"39.00
"
WR,Wayne,Wegert,6 - 5,188,2,80, - ,Green Bay,12,58,942,4,16.24,"78.50
"
RB,Shawn,Cole,5 - 9,188,1,81, - ,San Diego,4,8,123,4,15.38,"30.75
"
TE,Preston,Gold,6 - 3,259,1,78, - ,Atlanta,4,12,175,3,14.58,"43.75
"
WR,Vaughn,Gash,6 - 3,183,2,76, - ,Houston,5,15,188,3,12.53,"37.60
"
WR,Marion,Reeder,5 - 11,210,R,76, - ,Denver,11,23,306,0,13.30,"27.82
"
TE,Charlie,Bryson,6 - 6,231,1,69, - ,New York Jets,2,2,34,1,17.00,"17.00
"
RB,Elvis,Williams,5 - 11,181,2,82, - ,Detriot,2,8,99,2,12.38,"49.50
"
RB,Dick,Lilly,5 - 11,199,R,77, - ,Oakland,1,1,3,1,3.00,"3.00
"
WR,Wesly,Chandler,6 - 0,170,2,80, - ,Jacksonville,5,13,237,1,18.23,"47.40
"
TE,Cameron,Duncan,6 - 3,249,1,70, - ,St. Louis,2,3,66,0,22.00,"33.00
"
WR,Glenn,Franckowiak,6 - 0,201,R,76, - ,Atlanta,5,14,154,0,11.00,"30.80
"
WR,Brandon,Lane,5 - 11,187,1,72, - ,Houston,2,3,50,1,16.67,"25.00
"
WR,Jason,Voigt,5 - 9,176,2,75, - ,Tampa Bay,9,30,448,2,14.93,"49.78
"
WR,Kevin,Williams,6 - 0,165,R,69, - ,Tampa Bay,2,5,168,2,33.60,"84.00
"
WR,Richard,Wilson,6 - 5,173,1,82, - ,Tampa Bay,12,36,665,2,18.47,"55.42
"
WR,Adrian,Tuiasosopo,6 - 1,189,1,67, - ,Detriot,3,17,228,1,13.41,"76.00
"
TE,Bernard,Taylor,6 - 1,267,2,85, - ,Green Bay,5,25,385,3,15.40,"77.00
"
WR,Walter,Grzeskowiak,6 - 5,178,2,61, - ,Detriot,1,1,13,0,13.00,"13.00
"
TE,Kevin,Knight,6 - 8,234,2,72, - ,Indianapolis,1,1,5,1,5.00,"5.00
"
WR,Aric,Greene,6 - 0,214,1,76, - ,New England,3,15,187,2,12.47,"62.33
"
WR,Otis,Turner,5 - 11,209,1,76, - ,Green Bay,6,15,236,0,15.73,"39.33
"
