 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
K,Lee,Avery,5 - 11,202,Sr,3.0,3.0,UCF,9,0,0,0,3,6,"0
"
K,Ryan,Levcik,5 - 9,177,(Sr),5.0,5.0,Alabama,17,1,0,0,5,8,"3
"
K,Martin,Reeves,6 - 2,160,So,2.0,3.0,Arkansas,2,1,0,0,1,0,"0
"
K,Patrick,O'Neil,6 - 1,201,Sr,4.0,4.0,Virginia,11,0,0,3,3,5,"0
"
K,Dennis,Scott,6 - 1,206,Jr,5.0,5.0,Florida State,38,2,0,3,12,16,"5
"
K,Chris,Ritter,6 - 2,208,(Fr),2.5,5.0,Stanford,16,0,0,4,6,6,"0
"
K,Jan - Christian,Engelhardt,6 - 2,203,So,3.5,3.5,Syracuse,16,3,0,3,5,5,"0
"
P,A.J.,Kinney,5 - 9,205,Jr,4.5,4.5,West Virginia,18,5,0,0,8,5,"0
"
P,Jim,Brown,6 - 0,165,Sr,5.0,5.0,Auburn,14,4,0,1,5,4,"0
"
K,Chris,Scobee,5 - 11,176,So,2.0,2.0,Missouri,9,2,0,0,5,2,"0
"
K,Brian,Evans,5 - 9,175,Jr,5.0,5.0,Florida,14,2,0,1,1,8,"2
"
K,Keith,Calhoun,6 - 3,199,Sr,3.0,3.0,Navy,12,0,0,1,7,4,"0
"
K,James,Osborne,6 - 2,193,Sr,2.0,2.0,Army,13,3,0,1,6,3,"0
"
K,Mike,Yates,5 - 10,189,(Jr),3.5,3.5,Louisville,6,0,0,1,4,1,"0
"
K,Daniel,Brooks,6 - 3,187,Jr,1.0,1.0,Cincinnati,9,4,0,1,3,1,"0
"
K,James,Call,6 - 3,192,Jr,2.5,2.5,Indiana,1,0,0,0,0,1,"0
"
K,Zachary,Gonzalez,6 - 2,198,So,1.5,2.0,Connecticut,8,4,0,2,2,0,"0
"
K,Richie,Epps,6 - 2,184,(Fr),3.0,4.5,BYU,20,2,0,4,6,8,"0
"
K,Richie,O'Brien,6 - 3,191,So,1.5,2.0,Wisconsin,1,1,0,0,0,0,"0
"
K,Jose,Lopez,5 - 10,184,Jr,2.0,2.0,Kansas State,5,0,0,1,3,1,"0
"
K,Harold,Bridges,5 - 9,189,Jr,2.5,2.5,Arkansas,5,1,0,2,1,1,"0
"
K,Vince,Wilson,6 - 0,195,(Fr),3.0,3.0,Indiana,9,1,0,2,5,1,"0
"
K,Eric,Anderson,5 - 8,193,Jr,4.0,4.0,Michigan,17,2,0,1,5,8,"1
"
K,Henry,Lane,6 - 4,180,Sr,3.5,3.5,Kentucky,16,2,0,2,6,6,"0
"
K,Eric,Mason,5 - 9,183,Sr,2.5,2.5,Utah,5,0,0,1,2,2,"0
"
K,James,Parnell,6 - 2,178,So,2.0,2.0,Miami,6,1,0,0,3,2,"0
"
K,Chris,Hoag,6 - 2,184,Jr,5.0,5.0,UCLA,17,0,0,1,3,10,"3
"
K,Elijah,Little,6 - 4,205,Jr,2.0,2.0,Oregon,15,6,0,1,5,3,"0
"
P,Gary,Levels,6 - 1,198,(So),4.0,5.0,Michigan State,27,5,0,4,12,6,"0
"
K,Billy,Robinson,5 - 8,186,Sr,3.5,3.5,Illinois,22,1,0,4,11,6,"0
"
P,Elvin,Johnson,5 - 10,192,Sr,5.0,5.0,Wisconsin,10,1,0,1,4,4,"0
"
K,John,Riemersma,6 - 2,204,Jr,3.0,2.5,LSU,15,4,0,0,7,4,"0
"
K,Jerome,Albright,5 - 11,209,So,2.5,2.5,Ohio State,14,8,0,2,1,3,"0
"
