 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
K,Thomas,Fry,5 - 11,158,So,2.0,3.5,San Diego State,19,4,1,1,10,3,"0
"
P,Bud,McCullough,5 - 9,182,(Jr),5.0,5.0,Georgia,11,4,0,2,3,2,"0
"
K,Carlos,Cruz,6 - 2,197,Jr,4.5,4.5,Air Force,22,1,0,2,7,11,"1
"
K,Willie,Gaffney,6 - 1,183,(Sr),5.0,5.0,Iowa,17,0,0,4,5,4,"4
"
K,Robbie,Fitzpatrick,6 - 2,186,Jr,3.5,4.0,ECU,14,2,0,2,6,4,"0
"
K,Michael,Murphy,6 - 1,182,Sr,2.0,2.0,Wyoming,4,2,0,0,1,1,"0
"
K,Stanley,Brewster,6 - 1,204,Sr,5.0,5.0,Pittsburgh,21,1,0,2,5,13,"0
"
K,Abraham,Pierce,5 - 7,192,Fr,2.0,4.0,Connecticut,22,4,1,3,9,5,"0
"
K,Joshua,Mayer,6 - 3,214,Sr,1.0,1.0,Akron,5,4,0,1,0,0,"0
"
K,Jeremy,Doherty,5 - 8,222,Fr,1.5,3.0,Mississippi State,16,3,0,3,7,3,"0
"
K,Michael,Cipa,5 - 9,162,Sr,3.0,3.0,Tennessee,18,3,0,4,5,6,"0
"
K,Erik,Senser,5 - 11,166,Sr,3.0,3.0,Texas Tech,17,4,0,4,1,8,"0
"
K,Daniel,Timmons,6 - 2,219,Jr,3.0,4.0,Ohio State,12,1,0,0,7,4,"0
"
K,Lipa,Ferris,6 - 3,184,Fr,1.0,3.5,Oregon,3,3,0,0,0,0,"0
"
P,Zachary,Murphy,6 - 2,185,(Fr),2.5,5.0,Nebraska,18,5,0,3,5,5,"0
"
K,R.J.,Price,6 - 3,175,(So),3.0,3.0,Clemson,13,2,0,3,5,3,"0
"
K,Cyrus,Gruber,6 - 0,152,Fr,2.0,2.5,Navy,11,2,0,2,5,2,"0
"
P,Keith,Fontenot,5 - 8,183,(Sr),4.0,4.0,Minnesota,19,5,0,1,9,4,"0
"
K,R.J.,Wilson,5 - 9,162,Jr,2.5,3.5,LSU,14,4,0,1,6,3,"0
"
K,Walker,Gentry,6 - 3,166,So,2.5,3.5,Washington,32,6,0,0,13,13,"0
"
P,Joshua,Joseph,5 - 9,166,Sr,3.0,3.0,Utah,7,2,0,1,4,0,"0
"
K,Tom,Salave'a,6 - 4,195,Sr,3.5,3.5,Oklahoma State,14,0,0,0,7,7,"0
"
K,Will,Nichols,5 - 11,165,Jr,4.0,4.0,California,6,1,0,0,3,2,"0
"
P,Andre,Groce,6 - 3,173,Sr,2.0,2.0,Rice,11,8,0,2,1,0,"0
"
K,Jake,Fontaine,5 - 11,161,Fr,1.0,3.0,Houston,14,2,0,4,5,3,"0
"
K,Gerald,King,5 - 8,197,Sr,2.5,2.5,Utah State,3,0,0,0,3,0,"0
"
K,Darryl,Lemus,5 - 10,181,(Sr),4.5,4.5,Northwestern,14,0,0,1,6,7,"0
"
K,William,Haskins,6 - 4,203,Jr,1.5,1.5,Ball State,12,4,1,2,2,3,"0
"
K,Nick,Easy,5 - 8,177,(Jr),3.0,3.0,Colorado,11,1,1,3,5,1,"0
"
K,Mitch,Hughes,5 - 11,171,Jr,3.5,4.0,NC State,10,1,0,1,3,5,"0
"
K,Jack,Dunham,6 - 8,197,(Fr),2.0,4.0,Georgia,8,1,0,0,6,1,"0
"
K,Brandon,O'Brien,5 - 8,204,(So),1.0,1.0,Akron,7,2,0,2,2,1,"0
"
K,Ronald,Daniel,5 - 8,184,Sr,5.0,5.0,Baylor,10,0,0,1,4,4,"1
"
K,Dana,Currier,5 - 9,208,(Jr),4.0,5.0,Marshall,12,0,0,0,3,7,"2
"
K,James,Crist,5 - 11,208,Sr,1.0,1.0,Kent State,9,2,1,2,4,0,"0
"
K,Asher,Livingston,6 - 3,156,Fr,2.5,3.0,Virginia,10,1,1,3,2,3,"0
"
K,Christian,Valenzuela,5 - 11,179,(So),4.5,4.5,Boise State,11,0,0,0,4,7,"0
"
K,Mark,Steinbach,5 - 10,178,Sr,3.5,3.5,Washington State,12,1,0,0,3,8,"0
"
K,Martin,Reeves,6 - 2,160,Jr,3.0,3.0,Arkansas,9,0,0,0,2,7,"0
"
K,Dennis,Scott,6 - 1,206,Sr,5.0,5.0,Florida State,19,1,0,3,4,9,"2
"
K,Chris,Ritter,6 - 2,208,(So),4.0,5.0,Stanford,13,0,0,1,5,7,"0
"
K,Jan - Christian,Engelhardt,6 - 2,203,Jr,3.5,3.5,Syracuse,9,1,0,2,3,3,"0
"
K,Louis,Wilson,6 - 0,171,So,2.0,3.0,South Carolina,10,1,0,5,2,2,"0
"
P,A.J.,Kinney,5 - 9,205,Sr,4.5,4.5,West Virginia,15,4,0,1,5,5,"0
"
K,Stephen,Waters,5 - 11,169,So,2.0,3.0,SMU,12,3,0,1,6,2,"0
"
K,Alejandro,Aguirre,5 - 11,198,(So),4.0,5.0,Oklahoma,13,0,0,1,4,8,"0
"
K,Brian,Evans,5 - 9,175,Sr,5.0,5.0,Florida,15,0,0,1,2,11,"1
"
K,Sean,Doty,6 - 3,184,Fr,1.5,4.0,Wisconsin,25,1,0,6,12,6,"0
"
K,Mike,Yates,5 - 10,189,(Sr),3.5,3.5,Louisville,10,0,0,0,6,4,"0
"
K,Ralph,Phillips,6 - 2,192,(Fr),2.0,3.5,Western Michigan,9,0,0,1,7,1,"0
"
K,Anthony,Call,5 - 9,187,Fr,1.5,3.0,Buffalo,12,2,0,4,6,0,"0
"
K,Nathan,Grant,5 - 11,208,So,1.0,2.0,Eastern Michigan,17,5,0,3,6,3,"0
"
K,Jeffrey,Hearn,5 - 8,217,Fr,2.0,3.0,UCF,19,4,1,4,7,3,"0
"
K,Richie,Epps,6 - 2,184,(So),4.5,4.5,BYU,14,1,0,1,6,5,"1
"
K,Nick,Nolke,6 - 1,194,Jr,2.5,2.5,Wake Forest,5,0,0,2,1,2,"0
"
K,Jose,Lopez,5 - 10,184,Sr,2.0,2.0,Kansas State,22,6,0,3,9,4,"0
"
K,David,Hutson,5 - 10,186,Fr,1.5,3.0,Tulane,7,3,0,1,3,0,"0
"
P,Brett,Donahue,6 - 4,210,(So),4.0,4.5,Miami FL,12,2,0,1,1,8,"0
"
K,Vince,Wilson,6 - 0,195,(So),3.0,3.0,Indiana,9,0,0,3,3,3,"0
"
K,Nicholas,McMahon,6 - 4,207,Fr,1.0,4.0,Iowa State,11,2,1,1,4,3,"0
"
K,Charles,Schaffer,5 - 9,168,So,2.0,3.0,Kentucky,6,3,0,0,1,2,"0
"
K,Eric,Anderson,5 - 8,193,Sr,4.0,4.0,Michigan,13,0,0,1,7,4,"1
"
K,Chris,Hoag,6 - 2,184,Sr,5.0,5.0,UCLA,16,0,0,1,4,9,"2
"
K,Elijah,Little,6 - 4,205,Sr,2.0,2.0,Oregon,4,1,0,1,2,0,"0
"
K,Dennis,Lynn,5 - 9,220,Fr,2.5,3.0,Virginia Tech,15,2,1,5,3,4,"0
"
K,George,Davis,6 - 4,187,(Fr),1.0,1.5,Toledo,15,5,1,3,4,2,"0
"
K,Dan,DuBois,5 - 10,191,Jr,3.5,3.5,Michigan State,21,2,0,2,6,11,"0
"
K,Ewen,McDonald,6 - 3,176,Jr,2.5,2.5,Rutgers,9,3,1,0,3,2,"0
"
K,Paul,Peterson,6 - 3,212,So,2.0,3.0,TCU,12,2,0,1,6,3,"0
"
K,Clyde,Smith,5 - 8,207,(Fr),2.5,4.0,Georgia Tech,12,2,0,1,4,5,"0
"
K,Sam,Sarahi,6 - 1,203,Jr,5.0,5.0,Hawaii,13,0,0,1,3,5,"4
"
