 Team , Pass Yards , Rush Yards , Off. TDs , Def. TDs , Safeties , INTs , FF , FR , Fumbles, Pass Yards Against , Rush Yards Against , Off. TDs Against , Def. TDs Against , Safeties Against ," INTs Against
"
Colorado State,3217,393,26,2,0,8,0,0,1,2181,1113,37,1,1,"9
"
Vanderbilt,2036,1304,25,4,1,8,1,1,1,2089,886,17,0,0,"5
"
Arizona State,1692,1454,24,2,0,10,0,0,1,2896,1071,32,3,0,"10
"
Iowa State,1707,1109,21,2,0,7,0,0,0,2106,1375,37,3,0,"11
"
UCF,1652,1685,25,1,0,4,1,1,1,2887,812,40,2,0,"6
"
Connecticut,1231,1204,20,0,0,1,0,1,2,2987,1286,49,6,0,"9
"
Oregon State,2920,1171,25,1,0,3,0,0,0,2786,1301,47,4,0,"6
"
California,3063,1737,38,2,0,4,0,0,2,2528,1108,37,2,1,"8
"
TCU,1077,668,8,1,0,4,0,0,3,2999,1448,44,8,0,"19
"
West Virginia,1828,1354,32,0,4,4,0,0,0,2736,1277,36,4,0,"9
"
Ohio State,1858,1819,40,2,0,9,0,0,1,2556,1078,39,2,0,"9
"
Rutgers,2013,804,23,0,0,4,0,0,0,2060,1272,30,0,1,"8
"
Penn State,3754,1506,59,4,1,17,4,5,1,2513,1288,21,1,0,"6
"
Syracuse,2158,1495,33,4,0,11,1,1,1,2711,1000,32,3,0,"9
"
Northwestern,2069,1680,34,1,0,11,0,0,2,2606,798,30,0,0,"6
"
Georgia,2559,1571,41,6,2,16,3,3,3,2649,924,23,2,1,"5
"
Purdue,2798,1319,36,5,0,11,0,0,0,2628,1549,40,2,0,"5
"
Stanford,4031,831,42,5,0,15,0,1,0,2910,1029,23,2,0,"7
"
Miami,2007,1488,25,0,0,7,0,0,0,2623,830,33,1,0,"12
"
Ole Miss,2056,734,19,2,0,5,1,1,1,2128,985,21,1,0,"6
"
BYU,2611,810,24,2,0,12,0,0,2,2046,1161,21,3,0,"7
"
Florida,2629,1282,35,2,1,6,0,0,0,2214,1077,18,2,0,"4
"
Hawaii,3548,656,39,2,0,7,0,0,0,2429,1169,29,3,1,"12
"
Kentucky,2320,1092,28,2,0,6,1,1,0,2749,951,32,1,1,"5
"
Baylor,1462,1025,14,0,0,2,0,0,1,2277,1250,31,2,1,"5
"
Duke,2368,388,13,0,0,9,0,0,0,2784,1183,29,4,0,"9
"
Arizona,3466,1126,44,1,0,10,0,0,0,2292,1063,22,1,0,"7
"
Missouri,3064,806,20,4,0,7,1,1,0,2119,1273,35,1,1,"5
"
Wisconsin,3149,1048,47,3,0,8,2,2,0,1894,1222,31,1,0,"4
"
Alabama,3016,1272,38,6,0,17,1,1,1,2134,688,17,1,1,"5
"
Nebraska,1096,1196,15,1,1,3,1,1,4,2220,1083,31,3,0,"11
"
South Carolina,1327,955,14,0,0,7,1,1,0,2326,1004,26,0,2,"5
"
Notre Dame,3044,1190,31,3,0,12,0,0,1,2481,946,30,1,0,"8
"
NC State,2922,741,36,2,0,6,0,0,1,2718,1296,32,3,0,"8
"
Houston,3576,936,43,2,0,4,0,0,1,2672,1122,36,2,1,"7
"
Fresno State,2390,1049,29,3,0,6,1,1,0,2552,1200,37,3,0,"9
"
Nevada,1452,1340,20,0,0,5,0,0,0,3622,1104,48,2,0,"6
"
Cincinnati,2724,1008,30,2,0,6,0,0,0,2152,1219,37,0,0,"8
"
Colorado,1786,1060,26,1,0,6,3,3,0,2520,1074,31,3,0,"10
"
Mississippi State,2694,631,26,1,0,7,1,1,1,2646,1432,32,5,0,"8
"
Wake Forest,1812,1684,18,2,0,5,0,0,1,3132,937,38,3,0,"7
"
Virginia,3234,518,21,2,0,6,0,0,1,3156,1014,37,3,0,"15
"
Washington,2614,1106,28,2,1,6,1,2,0,2972,987,26,2,0,"5
"
Air Force,1795,1548,31,1,0,3,0,0,1,2549,816,28,1,0,"8
"
UCLA,2347,1133,28,1,0,6,1,1,1,2444,921,29,1,0,"6
"
North Carolina,4285,488,36,1,0,14,0,0,0,2403,967,28,3,0,"11
"
Texas Tech,2527,1305,38,3,0,10,2,2,0,1997,1032,12,1,0,"5
"
Georgia Tech,3797,558,42,2,0,9,0,0,0,2924,841,32,5,0,"13
"
Tennessee,2245,949,25,1,2,10,1,1,1,2438,861,22,1,0,"9
"
Texas A&M,4775,508,41,4,0,13,0,0,0,2292,1279,23,4,1,"16
"
Boise State,3571,1280,50,3,0,14,1,2,0,2528,946,25,2,0,"5
"
Navy,1618,1071,18,3,1,4,2,2,0,2128,1068,32,2,0,"7
"
SMU,2328,1228,30,1,0,3,0,0,0,2578,1378,30,2,0,"9
"
ECU,2004,1244,29,3,0,9,0,0,0,2678,1023,35,2,1,"9
"
Auburn,2660,1462,48,3,2,8,2,3,0,2729,726,21,2,0,"9
"
New Mexico,1423,660,13,1,0,2,0,0,0,3354,1658,57,5,1,"17
"
