 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
RB,Nick,Engelberger,5 - 8,186,R,72,PIT,16,291,1238,8,0,3,4.25,"77.38
"
RB,Ike,Nimmo,5 - 9,219,R,77,JAX,3,45,149,1,0,0,3.31,"49.67
"
QB,Rob,Corp,6 - 3,203,R,71,PIT,5,24,131,4,0,0,5.46,"26.2
"
RB,Shawn,Cole,5 - 9,188,2,88,SD,16,321,1595,19,1,9,4.97,"99.69
"
RB,Robert,Rodriguez,5 - 11,226,2,80,NYG,13,83,283,3,2,0,3.41,"21.77
"
RB,Kevin,Richards,5 - 11,182,3,92,NO,13,263,1175,11,0,5,4.47,"90.38
"
RB,Mike,Latta,6 - 0,209,R,80,CAR,16,320,1572,15,0,10,4.91,"98.25
"
RB,Chester,Henson,5 - 11,226,3,99,MIN,16,295,1734,21,0,10,5.88,"108.38
"
QB,Ryan,Clark,6 - 1,187,1,82,CLE,11,81,384,8,0,0,4.74,"34.91
"
RB,Justin,Gugliemi,5 - 10,181,R,71,CIN,2,35,108,1,0,0,3.09,"54
"
RB,Brian,Kanell,5 - 8,198,2,74,OAK,2,16,68,2,0,0,4.25,"34
"
RB,Greg,Hadnot,5 - 9,192,1,83,NE,13,223,963,10,0,1,4.32,"74.08
"
RB,Marcus,Barry,6 - 0,193,1,85,MIA,14,252,1327,16,0,4,5.27,"94.79
"
RB,Bradie,Sapp,5 - 11,185,3,81,STL,2,7,26,0,0,0,3.71,"13
"
RB,Mario,Rattay,5 - 10,187,3,73,MIA,2,45,159,1,0,0,3.53,"79.5
"
FB,Donnie,Hubbert,5 - 11,229,R,82,CAR,1,5,10,1,0,0,2,"10
"
QB,Allan,Taylor,6 - 0,202,3,96,JAX,16,107,559,10,0,0,5.22,"34.94
"
RB,Rickie,Edwards,6 - 1,176,1,73,KC,1,5,28,0,0,0,5.6,"28
"
RB,Rob,Blackmon,6 - 0,206,3,89,CIN,5,105,509,6,0,3,4.85,"101.8
"
QB,Will,Thompson,6 - 3,191,3,85,SD,1,3, - 14,0,1,0, - 4.67," - 14
"
RB,Michael,Duckworth,5 - 7,179,1,80,SEA,1,6,30,1,0,0,5,"30
"
RB,Shaun,Evans,5 - 8,191,2,81,NE,2,36,164,2,0,1,4.56,"82
"
FB,Billy,Davis,6 - 2,218,1,68,TEN,1,3,9,1,0,0,3,"9
"
FB,Joseph,Lopez,5 - 11,213,2,65,IND,1,3,3,1,0,0,1,"3
"
QB,Nick,Hall,6 - 2,221,2,92,OAK,1,2, - 5,0,1,0, - 2.5," - 5
"
RB,O.J.,Carano,5 - 11,217,2,94,NYJ,15,306,1354,13,0,7,4.42,"90.27
"
RB,Jerry,Rambo,5 - 10,220,1,85,DEN,16,299,1200,11,1,0,4.01,"75
"
RB,Dub,Spanno,6 - 0,184,3,72,SF,1,3,15,0,0,0,5,"15
"
RB,Keena,Kane,5 - 9,180,2,80,GB,13,246,1044,10,0,1,4.24,"80.31
"
RB,Fred,Tindale,5 - 11,204,1,86,SEA,16,352,1601,13,0,11,4.55,"100.06
"
RB,Bobby,Givan,5 - 11,188,2,85,IND,8,138,468,0,1,0,3.39,"58.5
"
RB,James,Harris,5 - 8,198,1,74,BAL,1,6,33,0,0,0,5.5,"33
"
FB,Robert,Williamson,6 - 2,245,3,75,BAL,3,8,9,3,0,0,1.13,"3
"
QB,Alexander,Williams,6 - 0,187,3,88,SEA,14,103,526,11,1,0,5.11,"37.57
"
RB,Paul,Gibbs,5 - 9,189,R,77,NO,4,84,326,5,0,1,3.88,"81.5
"
RB,Don,Williams,5 - 10,226,3,89,CLE,16,322,1434,16,0,2,4.45,"89.63
"
RB,Jeffrey,Gallagher,5 - 10,192,2,72,GB,1,2,6,1,0,0,3,"6
"
FB,Cyril,Harris,6 - 0,230,R,72,NYJ,1,2,8,1,0,0,4,"8
"
QB,Christopher,Brooks,5 - 11,207,2,76,JAX,1,4, - 2,0,0,0, - 0.5," - 2
"
RB,Jeff,Collett,5 - 11,193,R,75,WAS,14,237,1040,14,0,1,4.39,"74.29
"
